# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:30 AEST 2020 [seed=1595747309895]
# -threads 8 xml/biphone_binary_SSGS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
4230000	-15527.877344612643	-991.8278660779733	-14536.049478534671	7729.627018999854	7729.627018999854	294073.9965777792	0.0	249.09025440539781	3392.233643489075	2119.973438980677	2022.8022995253607	1711.4130653894385	1910.4594555689794	2388.7314114204055	2707.982006543592	2240.0072289818186	2574.493552523778	3539.608961657267	6413.022305991715	1795.9372742167584	2195.5500726044575	2821.314924410644	3774.281421671894	3246.6478938511773	2916.7594741667876	0.0	249.09025440539781	3392.233643489075	2119.973438980677	2022.8022995253607	1711.4130653894385	1910.4594555689794	2388.7314114204055	2707.982006543592	2240.0072289818186	2574.493552523778	3539.608961657267	6413.022305991715	1795.9372742167584	2195.5500726044575	2821.314924410644	3774.281421671894	3246.6478938511773	2916.7594741667876	5.610787082670202E-4	0.0	0.366	0.5996052619812126	3.067688597662647E-5	3.0676885976626484E-5	-14536.049478534671	0.0	-973.3378475667947
4240000	-15516.591974616627	-984.1631993242829	-14532.428775292345	7115.513611934308	7115.513611934308	276139.30547314323	0.0	378.80474233779887	2996.391049188391	1647.4273643862473	1188.2346423288056	1826.8264862258945	1771.484458276445	1736.2726337052989	2646.545865927499	2263.142846787852	2166.395233944398	3365.596439791445	6536.0244634975725	2074.30537905171	1729.6779905071394	3054.5302944275013	3265.9942930651755	3106.46564235954	2635.7616440352517	0.0	378.80474233779887	2996.391049188391	1647.4273643862473	1188.2346423288056	1826.8264862258945	1771.484458276445	1736.2726337052989	2646.545865927499	2263.142846787852	2166.395233944398	3365.596439791445	6536.0244634975725	2074.30537905171	1729.6779905071394	3054.5302944275013	3265.9942930651755	3106.46564235954	2635.7616440352517	5.781617591480678E-4	0.0	0.366	0.619825718671687	3.21098235936578E-5	3.210982359365779E-5	-14532.428775292345	0.0	-967.0633001850499
4250000	-15533.744744345717	-988.6751799246704	-14545.069564421046	7117.2815525271235	7117.2815525271235	287703.3672622014	0.0	367.8552865441671	2360.717363963128	2476.0520074861834	1214.7433695907307	1925.275999532052	1768.0729887533291	1806.5291308876858	2450.8972541813782	2783.445730176569	2528.9336627870393	3555.919260439869	6807.042996393061	2054.117378529031	1789.7119756115956	4133.159451390029	2828.0850695009085	3072.2765282728396	2869.6524009815503	0.0	367.8552865441671	2360.717363963128	2476.0520074861834	1214.7433695907307	1925.275999532052	1768.0729887533291	1806.5291308876858	2450.8972541813782	2783.445730176569	2528.9336627870393	3555.919260439869	6807.042996393061	2054.117378529031	1789.7119756115956	4133.159451390029	2828.0850695009085	3072.2765282728396	2869.6524009815503	5.668085856609324E-4	0.0	0.366	0.5832439297217014	3.196775768840018E-5	3.196775768840017E-5	-14545.069564421046	0.0	-971.3519586531845
4260000	-15524.043790295875	-991.8792286292365	-14532.164561666637	7307.115650914147	7307.115650914147	301070.4886749832	0.0	190.57410298218542	3711.6512952347366	1943.2117398981345	1968.2135884318195	2054.722618808419	1918.2025844531754	2196.4591483412737	3136.8063025201955	2399.42926018131	2235.289446356297	3449.61972440286	7027.021220908483	2459.0271744479496	2343.162705293502	3680.395088441235	3266.1035185286823	3138.420109902257	2471.560182787045	0.0	190.57410298218542	3711.6512952347366	1943.2117398981345	1968.2135884318195	2054.722618808419	1918.2025844531754	2196.4591483412737	3136.8063025201955	2399.42926018131	2235.289446356297	3449.61972440286	7027.021220908483	2459.0271744479496	2343.162705293502	3680.395088441235	3266.1035185286823	3138.420109902257	2471.560182787045	6.818974130541407E-4	0.0	0.366	0.6057069547182274	3.0338550738293603E-5	3.0338550738293603E-5	-14532.164561666637	0.0	-974.4703599888752
4270000	-15526.428887157519	-992.1057257693743	-14534.323161388145	7371.922440379855	7371.922440379855	300735.45125293086	0.0	242.20813079567563	3049.4588565409767	2325.795702110062	1271.5819158291004	1738.8815834606874	1710.9315592091361	1977.9361772118225	3250.5132104823874	2557.940007298174	2404.6307914719937	3447.5713969052413	6676.891658000645	2524.149594097362	1828.518589188348	5409.494553361914	3387.6291014636063	3150.449781806142	2955.784429135755	0.0	242.20813079567563	3049.4588565409767	2325.795702110062	1271.5819158291004	1738.8815834606874	1710.9315592091361	1977.9361772118225	3250.5132104823874	2557.940007298174	2404.6307914719937	3447.5713969052413	6676.891658000645	2524.149594097362	1828.518589188348	5409.494553361914	3387.6291014636063	3150.449781806142	2955.784429135755	5.685458917650496E-4	0.0	0.366	0.5557740619624748	3.1468449660038104E-5	3.1468449660038084E-5	-14534.323161388145	0.0	-974.6582323112692
4280000	-15514.323094162604	-983.4540612895756	-14530.869032873028	7151.3231149818685	7151.3231149818685	277800.3079726787	0.0	323.9871983649041	2065.737622649474	1890.2556082370807	1286.6612244309713	1846.2090792735619	1705.1849676228524	1732.4720474577807	2567.829684862082	2957.0371069124612	2250.108896240329	3203.7732344445126	6365.8167088078535	2058.2410839108966	1840.806908653977	4205.582268472286	3286.9960710369674	3257.4798880922363	2614.458322608438	0.0	323.9871983649041	2065.737622649474	1890.2556082370807	1286.6612244309713	1846.2090792735619	1705.1849676228524	1732.4720474577807	2567.829684862082	2957.0371069124612	2250.108896240329	3203.7732344445126	6365.8167088078535	2058.2410839108966	1840.806908653977	4205.582268472286	3286.9960710369674	3257.4798880922363	2614.458322608438	6.665153118413781E-4	0.0	0.366	0.5478204040406405	3.335846709266505E-5	3.3358467092665024E-5	-14530.869032873028	0.0	-966.8704325255676
4290000	-15518.678810987078	-982.7459806603516	-14535.932830326727	7071.539339421828	7071.539339421828	280002.90923734446	0.0	279.3370023494339	3048.429975906897	2453.7972334355845	1006.5727615211971	1547.4225300818605	1706.336991662086	1849.8816085780597	3019.6088139689846	2766.0888721348765	2015.0756361279841	3306.0092290900766	6298.834846240767	2498.5218328342403	1508.402317163103	3741.248597674838	3485.791589862322	3158.745443083307	3020.7504199425834	0.0	279.3370023494339	3048.429975906897	2453.7972334355845	1006.5727615211971	1547.4225300818605	1706.336991662086	1849.8816085780597	3019.6088139689846	2766.0888721348765	2015.0756361279841	3306.0092290900766	6298.834846240767	2498.5218328342403	1508.402317163103	3741.248597674838	3485.791589862322	3158.745443083307	3020.7504199425834	6.616592270266726E-4	0.0	0.366	0.6310830643301288	3.446720620823186E-5	3.44672062082319E-5	-14535.932830326727	0.0	-965.9849031816672
4300000	-15522.401675898514	-995.8263114578782	-14526.575364440636	7448.401815515797	7448.401815515797	308784.97235156863	0.0	243.08561331415288	3113.937314734966	2191.7729678686987	1501.602862176693	1761.8810377844993	1725.421649922582	1916.9941140719736	3135.932617234201	3452.1224339085034	2037.9388059568016	3652.4892392116103	7088.807651256156	2224.212967892989	1809.777008715099	3105.334543636267	3169.619034377186	3448.0640032945166	3033.143228717621	0.0	243.08561331415288	3113.937314734966	2191.7729678686987	1501.602862176693	1761.8810377844993	1725.421649922582	1916.9941140719736	3135.932617234201	3452.1224339085034	2037.9388059568016	3652.4892392116103	7088.807651256156	2224.212967892989	1809.777008715099	3105.334543636267	3169.619034377186	3448.0640032945166	3033.143228717621	5.511492025819014E-4	0.0	0.366	0.5728589854350591	3.003097596727117E-5	3.0030975967271184E-5	-14526.575364440636	0.0	-978.3745711566355
4310000	-15506.469343365396	-975.3813630697741	-14531.087980295622	6484.786054819013	6484.786054819013	261840.64056619816	0.0	306.47945305940755	2736.1682567805656	2777.2318561564543	1457.282381832295	1328.9486226939412	1479.7654039190575	1804.4061998013594	2707.4213340415554	2666.8624096980543	1753.2573754811185	3205.753776387098	6484.664660779335	1629.6235972335796	1762.6354423748314	2933.4178633169013	3127.268450411332	3139.261674211835	2407.9968925838425	0.0	306.47945305940755	2736.1682567805656	2777.2318561564543	1457.282381832295	1328.9486226939412	1479.7654039190575	1804.4061998013594	2707.4213340415554	2666.8624096980543	1753.2573754811185	3205.753776387098	6484.664660779335	1629.6235972335796	1762.6354423748314	2933.4178633169013	3127.268450411332	3139.261674211835	2407.9968925838425	7.13207997311286E-4	0.0	0.366	0.619047416477313	3.911186846102306E-5	3.9111868461023045E-5	-14531.087980295622	0.0	-959.6546044177911
4320000	-15522.093167196135	-989.1873968431156	-14532.90577035302	7433.63972909204	7433.63972909204	289094.85474105104	0.0	371.80076022507774	3166.80865732941	1980.4908574643448	2086.1295287387056	1602.7637534678108	1269.3307459420244	2371.3611773032567	2811.1836771031403	2411.4352280451676	2143.566323676237	3587.0081805788172	7312.093853158001	2105.5367111059895	1763.233151958209	3841.81044590422	3028.4334461146022	3215.1865042794875	2808.607885399669	0.0	371.80076022507774	3166.80865732941	1980.4908574643448	2086.1295287387056	1602.7637534678108	1269.3307459420244	2371.3611773032567	2811.1836771031403	2411.4352280451676	2143.566323676237	3587.0081805788172	7312.093853158001	2105.5367111059895	1763.233151958209	3841.81044590422	3028.4334461146022	3215.1865042794875	2808.607885399669	6.690342274701911E-4	0.0	0.366	0.6165083228649054	3.408975363949373E-5	3.408975363949373E-5	-14532.90577035302	0.0	-971.6093186529497
4330000	-15521.65023173921	-985.0839477989354	-14536.566283940274	6962.841388683324	6962.841388683324	282051.99935925764	0.0	339.23950100718724	3731.961770821836	3301.722681963711	900.5814571839994	1277.0531782367857	1548.9210268918766	1852.305465719182	2706.6602837357764	2085.6058285857134	2024.2488369199216	3517.982752429193	6922.852089845351	1890.4455152084581	1770.6398874140586	3632.7758236319487	2763.579032557603	3206.1566371723984	3424.4028251230598	0.0	339.23950100718724	3731.961770821836	3301.722681963711	900.5814571839994	1277.0531782367857	1548.9210268918766	1852.305465719182	2706.6602837357764	2085.6058285857134	2024.2488369199216	3517.982752429193	6922.852089845351	1890.4455152084581	1770.6398874140586	3632.7758236319487	2763.579032557603	3206.1566371723984	3424.4028251230598	6.355993211044547E-4	0.0	0.366	0.5837187485588567	3.520365043692797E-5	3.520365043692796E-5	-14536.566283940274	0.0	-968.7969800940408
4340000	-15530.133421208951	-989.9536429969953	-14540.179778211956	7302.029386325964	7302.029386325964	293880.0498861446	0.0	182.1874715585497	3527.081057896205	2200.4359684398055	1372.8716411541723	1538.0581300407805	1604.5910997334138	2021.7515070018987	3088.8460676781056	2163.3725572453986	2429.3298416887083	3647.989248250736	7077.4717274032355	1721.7605443271023	1777.5730504723047	3494.185103559712	2891.665718737792	3212.8958020012924	3173.994503347673	0.0	182.1874715585497	3527.081057896205	2200.4359684398055	1372.8716411541723	1538.0581300407805	1604.5910997334138	2021.7515070018987	3088.8460676781056	2163.3725572453986	2429.3298416887083	3647.989248250736	7077.4717274032355	1721.7605443271023	1777.5730504723047	3494.185103559712	2891.665718737792	3212.8958020012924	3173.994503347673	6.446825980499112E-4	0.0	0.366	0.5540601971413128	3.097487822442395E-5	3.097487822442396E-5	-14540.179778211956	0.0	-972.8855705030294
4350000	-15526.373789372727	-989.6329996880165	-14536.74078968471	7318.444433128259	7318.444433128259	290096.154907468	0.0	213.8010272031838	2902.6075935931085	2304.996417052561	1815.5487326713198	1962.1208316282025	1559.3542592654321	2040.5301872964792	2127.3194050502875	2193.2834536604855	2122.303896672617	4007.060648112222	6936.0488369234845	1881.8562682237944	1843.6849293126966	3329.5101319296687	3025.272463021813	3176.1869784723094	3304.411937536425	0.0	213.8010272031838	2902.6075935931085	2304.996417052561	1815.5487326713198	1962.1208316282025	1559.3542592654321	2040.5301872964792	2127.3194050502875	2193.2834536604855	2122.303896672617	4007.060648112222	6936.0488369234845	1881.8562682237944	1843.6849293126966	3329.5101319296687	3025.272463021813	3176.1869784723094	3304.411937536425	5.788929658898287E-4	0.0	0.366	0.6094557965561038	3.3662256366136243E-5	3.3662256366136243E-5	-14536.74078968471	0.0	-972.3203345210816
4360000	-15506.480455012406	-984.7590717567256	-14521.72138325568	6858.1830006974305	6858.1830006974305	280178.1232593937	0.0	173.91498881253221	3460.2563682954747	2113.1692899484815	1359.7410031351633	1829.31415962703	1500.579797235601	1825.0469847962509	2902.7556623574715	2179.768764301187	1919.4624648986548	3519.748061746193	6718.908497734791	2185.7540316867917	1800.5633011781943	3544.8198349007057	3126.960798447784	3099.2605851706994	2806.83232488684	0.0	173.91498881253221	3460.2563682954747	2113.1692899484815	1359.7410031351633	1829.31415962703	1500.579797235601	1825.0469847962509	2902.7556623574715	2179.768764301187	1919.4624648986548	3519.748061746193	6718.908497734791	2185.7540316867917	1800.5633011781943	3544.8198349007057	3126.960798447784	3099.2605851706994	2806.83232488684	7.058374941229287E-4	0.0	0.366	0.5612673889803782	3.2744699037046906E-5	3.2744699037046906E-5	-14521.72138325568	0.0	-968.3037452038163
4370000	-15538.471710508516	-1006.3926026696823	-14532.079107838834	7766.73473997078	7766.73473997078	330727.40357333637	0.0	335.5655484164601	3330.071833813237	2398.6641357060057	1602.2183455098964	2095.302687721992	2199.5115870786913	2494.875421158963	2996.2647940919846	2548.711405936611	2942.650435156988	3953.75735696921	7397.204698346624	2132.427279823448	1935.5633934888826	4075.9981142846273	3546.3491149812994	3031.161256260396	3107.421461222716	0.0	335.5655484164601	3330.071833813237	2398.6641357060057	1602.2183455098964	2095.302687721992	2199.5115870786913	2494.875421158963	2996.2647940919846	2548.711405936611	2942.650435156988	3953.75735696921	7397.204698346624	2132.427279823448	1935.5633934888826	4075.9981142846273	3546.3491149812994	3031.161256260396	3107.421461222716	5.270523182880711E-4	0.0	0.366	0.5914153997656293	2.869825653758296E-5	2.869825653758299E-5	-14532.079107838834	0.0	-986.3141335006578
4380000	-15528.735533162253	-995.4934458753503	-14533.242087286902	7537.218080287084	7537.218080287084	308038.84543498856	0.0	266.6249261593116	2892.297348392428	2450.233116532821	2073.94580064646	1870.1901070088422	1753.0856107930695	2005.5629688810686	2791.483135669117	2554.0844409641186	2567.47188608619	3462.8574509142163	7394.64913778183	1740.176034714634	2011.490824204881	3407.7110983060606	3334.877208802888	3130.9044989747563	2932.1567200695463	0.0	266.6249261593116	2892.297348392428	2450.233116532821	2073.94580064646	1870.1901070088422	1753.0856107930695	2005.5629688810686	2791.483135669117	2554.0844409641186	2567.47188608619	3462.8574509142163	7394.64913778183	1740.176034714634	2011.490824204881	3407.7110983060606	3334.877208802888	3130.9044989747563	2932.1567200695463	5.50679946243573E-4	0.0	0.366	0.5952845849797432	3.0075384956927598E-5	3.0075384956927615E-5	-14533.242087286902	0.0	-977.3662052805945
4390000	-15531.931123548075	-999.6783194044535	-14532.252804143622	7696.296651052708	7696.296651052708	318553.75497858156	0.0	395.04370342237866	4644.561632786719	3059.3171864121587	2189.918373586167	2097.1682009176134	2227.7309646994704	1805.4032998441546	2535.9221978171618	2676.8914167858275	2885.51083882426	3491.0318900934044	7235.028097261743	2468.635863252121	2292.7983331448218	2994.6517410310116	3369.3599568027244	3135.6812893468677	3176.2107865716785	0.0	395.04370342237866	4644.561632786719	3059.3171864121587	2189.918373586167	2097.1682009176134	2227.7309646994704	1805.4032998441546	2535.9221978171618	2676.8914167858275	2885.51083882426	3491.0318900934044	7235.028097261743	2468.635863252121	2292.7983331448218	2994.6517410310116	3369.3599568027244	3135.6812893468677	3176.2107865716785	5.353791703577268E-4	0.0	0.366	0.5660573554784398	3.1254935369353935E-5	3.125493536935391E-5	-14532.252804143622	0.0	-981.0870523680871
4400000	-15532.616352437764	-1004.108940279644	-14528.50741215812	8122.595417408022	8122.595417408022	323096.59969330265	0.0	302.0022143995377	4086.841576271769	2917.841208728511	1512.8290706721775	1826.9930661859228	1837.513126751431	2096.0568083550866	2621.140113434076	2958.1259290092553	2138.1715022388435	3698.598258039249	7724.632788791591	2229.1911585831426	2590.582603059885	4501.295861287748	3727.044257867446	3285.5651312091823	3284.482436396795	0.0	302.0022143995377	4086.841576271769	2917.841208728511	1512.8290706721775	1826.9930661859228	1837.513126751431	2096.0568083550866	2621.140113434076	2958.1259290092553	2138.1715022388435	3698.598258039249	7724.632788791591	2229.1911585831426	2590.582603059885	4501.295861287748	3727.044257867446	3285.5651312091823	3284.482436396795	5.678687115751092E-4	0.0	0.366	0.5920603804281801	3.0948608942284695E-5	3.0948608942284695E-5	-14528.50741215812	0.0	-984.0976524972272
