# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Oct 27 11:45:38 AEST 2020 [seed=1603763128707]
# keywords: discretized_branch_rates
state	joint	prior	likelihood	WPN_cognates_2020-10-12.treeModel.rootHeight	WPN_phonotactics_2020-10-12.treeModel.rootHeight	WPN_cognates_2020-10-12.treeLength	WPN_phonotactics_2020-10-12.treeLength	tmrca(WPN_cognates_2020-10-12.KanyaraMantharta)	tmrca(WPN_cognates_2020-10-12.Kartu)	tmrca(WPN_cognates_2020-10-12.Marrngu)	tmrca(WPN_cognates_2020-10-12.Ngayarta)	tmrca(WPN_cognates_2020-10-12.NgumpinYapa)	tmrca(WPN_cognates_2020-10-12.SouthWest)	tmrca(WPN_cognates_2020-10-12.ThuraYura)	tmrca(WPN_cognates_2020-10-12.Wati)	tmrca(WPN_phonotactics_2020-10-12.KanyaraMantharta)	tmrca(WPN_phonotactics_2020-10-12.Kartu)	tmrca(WPN_phonotactics_2020-10-12.Marrngu)	tmrca(WPN_phonotactics_2020-10-12.Ngayarta)	tmrca(WPN_phonotactics_2020-10-12.NgumpinYapa)	tmrca(WPN_phonotactics_2020-10-12.SouthWest)	tmrca(WPN_phonotactics_2020-10-12.ThuraYura)	tmrca(WPN_phonotactics_2020-10-12.Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha.2	bcov.s.2	frequencies.21	frequencies.22	hfrequencies.21	hfrequencies.22	alpha	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	biphone_binary_2020-10-12.ucld.mean	biphone_binary_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	biphone_binary_2020-10-12.meanRate	biphone_binary_2020-10-12.coefficientOfVariation	biphone_binary_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	biphone_binary_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	biphone_binary_2020-10-12.branchRates	WPN_cognates_2020-10-12.speciation	WPN_phonotactics_2020-10-12.speciation
100000	-22329.362139055575	-1395.740580344505	-20933.62155871107	4352.474300019933	5989.010753889921	67421.09883175646	79820.83751675411	1276.7530617932434	1841.5987142287086	983.0676806379876	2918.3372282451373	3268.1645663831323	1000.7595927609168	1545.1345775070974	2624.343809045153	2109.294633121915	2537.592346322736	1790.946220406278	2487.9100505147153	1695.411404688338	1369.9251433604309	2192.9209716731416	3120.0135371315037	9.312948633822598E-4	0.0	0.537	0.32461202559216157	0.1883717213181976	0.8910772011482381	0.10892279885176234	0.5	0.5	4.82155337354323E-4	0.14533112836278947	0.6425354398674751	0.35746456013252503	0.5	0.5	0.42512907928146504	8.012087424822557E-5	1.0858815788559731E-4	1.564854487793628E-4	4.675481791459139E-4	8.473274753637201E-5	0.8925813755847641	-0.06111754669143645	6.235665774510103E-5	1.4462569547559578	0.15161200840741448	-11136.576788238666	-4684.008518160376	-383.0738674778016	-383.0738674778016	-358.93741106425665	-366.32474998188064
110000	-22312.26312859001	-1419.2345803231428	-20893.028548266866	6615.972244064795	6704.20139984992	93715.80152735495	97528.51783473084	1616.7324769640577	2645.2827645190796	2508.699910049342	4161.371042786326	4030.215317877738	1090.6810900485173	1643.837758376352	3785.315269253474	2437.5770526159126	3643.710593339717	2141.617857845677	3156.1647035132455	1635.99973627583	1817.7410963787254	3024.9589353488464	3516.850194226524	6.536057178948401E-4	0.0	0.537	0.2634621349942301	0.19635877064733126	0.8942419554877998	0.10575804451220049	0.5	0.5	0.0010371170465100713	0.13191110957823574	0.6782568273471723	0.32174317265282765	0.5	0.5	0.3920518787260585	6.837774855545072E-5	8.266506491543258E-5	1.227049811167521E-4	3.029567649545303E-4	6.480676187431776E-5	0.8898910545634588	-0.02840129705379539	5.619504627383153E-5	2.0151374243712508	-0.01477704430835047	-11111.419013517074	-4679.571838277416	-383.0738674778016	-383.0738674778016	-373.7523298755098	-373.25363790552785
120000	-22312.874075527343	-1419.7354392287355	-20893.13863629861	6237.963185101228	6690.201634251422	94412.9721155608	96583.14872017053	2307.1242194963656	2452.4161818926023	2091.191910218416	3794.646741374755	4281.26762053648	954.2395431372372	833.4761969141117	3326.09773131467	2517.8388043651094	3036.1258710514094	2177.4946609924523	3091.2356154889444	1846.8463390605273	1901.6674573547896	2997.876275589775	3266.8382866961097	6.628820131468336E-4	0.0	0.537	0.345666013106881	0.23385410682284805	0.9012991317445237	0.09870086825547662	0.5	0.5	0.012147270894004615	0.17452097882447243	0.6616072581415197	0.3383927418584803	0.5	0.5	0.3479897915533216	6.220435442625514E-5	7.194599883506043E-5	1.1274702146477893E-4	2.886478689196511E-4	5.800169855901749E-5	0.9148595922047897	0.0012575578122975494	4.772806832999836E-5	1.416981939676339	0.18379043294391595	-11107.504210132567	-4676.043070379107	-383.0738674778016	-383.0738674778016	-373.7396289473372	-372.7022210535055
130000	-22339.949862147267	-1426.6228050089842	-20913.32705713828	6873.256176015643	6986.054889625886	106894.98953784027	103304.73067868914	2686.741390645353	1951.9648116393985	2297.876547323115	4195.218933369655	5032.646072826129	1529.959760252681	1714.1520221199755	3997.7569110521085	2903.891510547744	3431.4465138669243	2484.0378594816857	3482.17503390571	1937.857875984262	1781.3862276214838	2652.4005937092093	3296.2819316815276	5.183861899600576E-4	0.0	0.537	0.388444174903923	0.25068847282976253	0.9013201290430113	0.09867987095698902	0.5	0.5	5.373029411431382E-4	0.1396479711856542	0.6426351196554188	0.35736488034458125	0.5	0.5	0.3711999472785629	5.4725636115654565E-5	5.488131553980001E-5	1.0967703975673726E-4	3.6787453874775476E-4	5.133073264006152E-5	0.8810555333151854	0.016228237655820765	4.2453564884925736E-5	1.483864318201306	0.1753092586834177	-11110.447024182318	-4674.768192619175	-383.0738674778016	-383.0738674778016	-378.62122607599724	-375.597197388644
140000	-22294.946280319193	-1417.8543046256523	-20877.09197569354	5875.733016566578	6761.854528850428	88675.39046736197	98486.54507564899	1994.0138458797144	1420.6750596485626	1997.913053871051	3271.679999613343	4705.427288657551	2681.3061617809717	1120.9551374688035	2768.1990512709262	2746.360932408256	3452.2686094247692	2530.267722303723	3183.7309523596996	2372.197414037145	1478.2201210749947	2637.463630952185	3094.261050433898	6.717721736903956E-4	0.0	0.537	0.27920728185335153	0.21381885976810588	0.9009442528831634	0.09905574711683696	0.5	0.5	0.001790134482496427	0.12830406872936737	0.67296363236122	0.32703636763877997	0.5	0.5	0.25509832077979055	7.132700897365324E-5	7.222633140641224E-5	1.4545227811035242E-4	4.836656735750721E-4	6.557808120917567E-5	0.878786712629176	0.019897380331189728	5.191857078003617E-5	1.5937745116913662	-0.05863152421356396	-11109.580167362123	-4685.2792424811905	-383.0738674778016	-383.0738674778016	-370.70992624945643	-373.5419528796329
150000	-22307.361839517074	-1415.0422496945177	-20892.319589822557	5863.838233362027	6651.2430202684645	82957.03215358478	100513.4265971039	2258.540582472856	1586.0029765007475	1996.9636390079104	2972.0585603190116	3548.9070627630363	3031.9071196444097	870.5551710798572	2787.2538058559303	2740.337383600048	3463.346780875689	2071.1033582763657	3468.4272971197233	2047.4744319189351	2071.611196585862	2672.3241228944266	3215.116184584562	6.639818993615536E-4	0.0	0.537	0.38858414689399146	0.11729396619145904	0.901254473083201	0.09874552691679937	0.5	0.5	0.0016403188293871549	0.1528622675591811	0.6879769570648138	0.31202304293518635	0.5	0.5	0.3299035227124951	7.311407395608231E-5	8.220168857383765E-5	1.139900649889512E-4	3.891160440478823E-4	6.875421015876435E-5	0.8964677905253834	-0.05492636156023669	3.6775086536717834E-5	1.5541344732957556	0.059062461195538804	-11108.556904369812	-4678.180606892644	-383.0738674778016	-383.0738674778016	-367.8994869438861	-374.3178676196949
160000	-22281.310345212736	-1411.999696858264	-20869.310648354473	6133.064268300145	6896.042158826172	73520.73190134238	101653.79890490975	1950.225377451197	1323.7491313727146	2268.4295230532357	2215.012214745231	3086.936346339735	2696.4913349788476	663.3080851239677	2031.4327110415788	2422.6411809392184	3750.4880543459226	2191.9179371952714	3139.8204696522257	2422.324756682779	1763.2891517204937	3344.5755720380826	3093.0779197980582	6.573467435133372E-4	0.0	0.537	0.37285083477717457	0.11445206201059034	0.9003164011694842	0.09968359883051625	0.5	0.5	0.0020486676210288144	0.11696632712832505	0.658058791301406	0.3419412086985942	0.5	0.5	0.35174095380593173	9.205276948286922E-5	9.849372551080556E-5	1.3874099224746916E-4	4.148012647378796E-4	7.741583446246986E-5	0.8736313393786284	0.037637120009698904	4.882118907334115E-5	1.3688014277953406	0.1568552505732624	-11103.951249926798	-4678.635150306624	-383.0738674778016	-383.0738674778016	-364.28280136036574	-375.5116951481181
170000	-22271.572127192245	-1414.670434015309	-20856.901693176937	5857.170905834528	6908.07166562031	74389.73257718825	104353.54098390476	2164.942051212955	1399.1428823714634	1765.7855102734088	2436.7370370465164	3022.983256499468	3081.332226084497	939.8530978113937	2289.0732536848755	2586.573447046981	3821.484095475983	2266.5401529508963	3283.5799240150177	2157.6474645840094	2204.9398201425965	3436.9252953388536	3159.454350108903	6.083123163108589E-4	0.0	0.537	0.3465473758387788	0.18829591339954396	0.9058701942257338	0.09412980577426683	0.5	0.5	0.0023088777409252625	0.13651334949999172	0.67363095407717	0.32636904592283017	0.5	0.5	0.29041454844288395	8.302761147893157E-5	8.311876737266796E-5	1.3245788775254907E-4	4.5034600165406546E-4	7.135196273248397E-5	0.8350868046910487	-0.03434616495940207	4.16452188018217E-5	1.4765413187329828	-0.030185907309469934	-11107.41315578409	-4671.860382749692	-383.0738674778016	-383.0738674778016	-365.15103519171475	-375.97715806288016
180000	-22277.625034876728	-1409.945309032142	-20867.679725844588	5529.808000593911	6744.129903530758	76707.90266150629	101510.87395473663	1929.645347045126	1374.0884832696695	1834.7048883026973	3067.465627638301	3844.7050401562074	2631.6596005978186	855.8021499154999	2215.2067564720796	2429.093997775479	3980.2094996195756	2408.9535039207444	3191.410254981497	2478.4788167767438	1820.288400096908	3343.0862136132005	3076.7191788658697	6.876787587700719E-4	0.0	0.537	0.2956207527413073	0.163240970289054	0.9031184425130693	0.09688155748693121	0.5	0.5	2.717779064286361E-4	0.14196764876280812	0.6731095880657958	0.32689041193420443	0.5	0.5	0.2904225065901861	8.374337117740605E-5	8.134432411019054E-5	1.6202117398840315E-4	6.863365768866381E-4	7.733346359174905E-5	0.8466126843300479	0.0027776713410094973	4.605593208026556E-5	1.5700069824434522	0.1335555210506908	-11109.62138369749	-4664.702658625754	-383.0738674778016	-383.0738674778016	-365.16173834253317	-375.5036583501029
190000	-22241.444236490814	-1415.2583687918545	-20826.185867698958	5646.193925608504	6991.5268571122015	83296.41049253145	108125.72461265181	2123.229788506621	1649.9279523170967	2358.654103968167	2846.9647851391737	3066.224375222586	2229.5767806502395	885.6397823756581	2402.259571839	3326.1361616414933	3935.978368938719	2525.2931097981327	3469.8925003431623	2440.43507952608	1655.1917900164467	3778.6427491961094	3071.3076724617076	5.984146873178147E-4	0.0	0.537	0.3869956604266309	0.12475967874405114	0.9059570999736977	0.09404290002630286	0.5	0.5	2.210693040802437E-4	0.13083807166120584	0.6621424164494384	0.3378575835505618	0.5	0.5	0.33349358369067744	7.518446980631808E-5	7.7992111156237E-5	1.6004468814050172E-4	5.615451533016897E-4	6.514944124745758E-5	0.966819764753828	-0.07168136560758476	4.6786767485950365E-5	1.5245818878723192	-0.044019297240322545	-11093.674436466308	-4666.310598116102	-383.0738674778016	-383.0738674778016	-368.42274944301096	-377.49548250796727
