# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Nov 06 14:30:33 AEST 2020 [seed=1604636984853]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(KanyaraMantharta)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	speciation
100000	-21551.40441081039	-619.9812896087664	-20931.423121201624	6985.951989368845	78798.70859779874	1183.3770692373018	1597.1010101978134	1919.0399472981208	1837.2429682988657	2107.5075113194275	1576.3476318520397	2437.688238983994	3120.3304857640483	8.880450677284961E-4	0.0	0.537	0.3856066200332085	0.14697871367826992	0.9008700076845998	0.09912999231539966	0.5	0.5	8.568393915992653E-5	6.223104420548815E-4	7.44018985374269E-5	1.780862649882456	-0.028836952830531597	-11167.128719553992	-383.0738674778016	-364.20627322920365
110000	-21517.35475410065	-619.559493822422	-20897.795260278228	6948.928556655863	80873.75107809684	1423.9659601794158	1791.4061363220185	1985.110257924429	1810.6734575847436	2162.9393879319127	1530.6595622861266	2586.6045131729215	3122.707103097366	7.602357915750132E-4	0.0	0.537	0.3722651893640934	0.15263122849983807	0.9042577838827044	0.0957422161172951	0.5	0.5	8.794412031289846E-5	6.470822904029586E-4	7.385370475809331E-5	1.792140595271501	-0.1116719699580587	-11162.96420539584	-383.0738674778016	-364.6742493301192
120000	-21507.038225934	-621.7046338171633	-20885.333592116836	6981.48201949675	80739.84422982104	1400.9993027430296	1828.2728560923229	2074.969313779956	1819.8616853277247	2186.0079054358084	1474.606061866274	2587.0037943835364	3048.7447065832853	8.101124492296996E-4	0.0	0.537	0.26013629575856606	0.22750362501021598	0.8922605812109718	0.10773941878902753	0.5	0.5	9.992225606300063E-5	9.259311498653151E-4	7.671083333580897E-5	1.8273731184340114	-0.12365634909131767	-11160.414369450153	-383.0738674778016	-364.75386522988475
130000	-21509.455851718638	-621.2832787322379	-20888.1725729864	6951.274673137714	83432.94097508123	1313.9994289344356	1868.3236646299952	2067.602870066182	1959.554895440661	2213.124947468985	1673.2308828134733	2712.9031000173873	3212.419060206769	6.85802865648601E-4	0.0	0.537	0.4049783608331509	0.11925970950979128	0.9038139250808271	0.09618607491917229	0.5	0.5	9.795832033001207E-5	9.87713496507453E-4	7.129650691278757E-5	1.9145059786182916	-0.11660219967563597	-11154.437882281649	-383.0738674778016	-365.980792783982
140000	-21516.0331505134	-627.8455665778401	-20888.187583935563	6890.413348771533	86567.3169774127	1552.159115716247	1867.4117968656944	2078.9426471443116	2007.582633670371	2547.754064487653	1703.762327584879	2937.020220718505	3337.3224717263233	9.880162426626692E-4	0.0	0.537	0.23151829852511846	0.17942167514904858	0.8985831357128786	0.10141686428712064	0.5	0.5	9.581816997589284E-5	9.744603831591558E-4	6.797738241525494E-5	1.9712538697744435	-0.10918239946086557	-11165.358643455627	-383.0738674778016	-371.13879279148586
150000	-21511.19614481096	-625.0299541131245	-20886.166190697837	6934.710798095025	86580.78921346228	1365.19647533012	1717.0173882474803	2263.365450565304	1946.1161777215323	2626.6501397759043	1746.5759083001851	2853.510343049692	3297.2666978462503	8.282937372725311E-4	0.0	0.537	0.328350013372083	0.13677591365666852	0.9003926876645881	0.0996073123354111	0.5	0.5	9.656296651403501E-5	0.0010796473145216706	6.862574233700071E-5	2.021807003436009	-0.0736521812490586	-11160.721100334129	-383.0738674778016	-368.09408264775493
160000	-21520.16922403299	-621.0819954131273	-20899.087228619865	6908.786832024169	85375.98588793393	1307.7675897356587	1716.3723606819854	2222.633787646152	1921.020030446435	2653.875864992253	1729.125055239956	2719.159864390447	3159.204467205729	7.996104508239889E-4	0.0	0.537	0.2715822548141767	0.17296088637641957	0.9014066943021394	0.09859330569785961	0.5	0.5	9.919570392340564E-5	9.816113832715654E-4	7.137653424860768E-5	2.019219673406424	-0.0781896809095738	-11167.544908657901	-383.0738674778016	-367.06232075470166
170000	-21526.451624823865	-623.6612392554058	-20902.79038556846	6684.162293429194	85725.54819221352	1210.7078523878345	1869.8152197545924	2273.5194872255115	2019.094530213802	2640.2290484710757	1804.9515260664484	2647.7619073630603	3163.9858341779823	8.651619252980284E-4	0.0	0.537	0.27278855309706107	0.14626310055311956	0.8984279943136365	0.10157200568636254	0.5	0.5	9.875155903258077E-5	0.001074392984948397	7.420712384791827E-5	2.078467510419294	-0.06636148537606837	-11179.75269756653	-383.0738674778016	-367.8076868338722
180000	-21506.299219392327	-626.5002471395712	-20879.798972252756	6967.629082033357	88026.41118130526	1524.5861639736725	1858.5330380825828	2214.6495877283423	2212.7103991649674	2672.3994749144185	1908.3322487359576	2739.537038737732	3208.6017040023853	6.080869058533798E-4	0.0	0.537	0.28311744917632076	0.18199512364338388	0.9005701921584682	0.09942980784153096	0.5	0.5	8.586520456443053E-5	6.864144119348318E-4	7.082829483391245E-5	1.9370886870204813	-0.048137892396989	-11164.521605546464	-383.0738674778016	-368.2265159274617
190000	-21534.84350218295	-629.3202916807699	-20905.52321050218	6887.634195632822	92989.76764372966	1592.2516449361465	2045.3102546366442	2344.092548470882	2233.2570051835683	2928.3948281437824	2182.0798091299853	2918.3646312207284	3150.97452642952	7.038124839593266E-4	0.0	0.537	0.3556136346552043	0.10517636737324133	0.9056620098535392	0.09433799014645981	0.5	0.5	8.208046044652614E-5	7.112870828853548E-4	6.649326688720463E-5	2.0076514012813163	-0.04138991638171325	-11168.568429429417	-383.0738674778016	-369.9186469911605
200000	-21518.034343964617	-629.1240183983607	-20888.910325566256	6961.741187629066	94221.85070884584	1645.7948608352142	2092.1238562714966	2128.6443016080852	2358.4250686860696	2921.4425636300557	2141.9476430154195	2964.1451743457606	3177.3844976360037	5.749755450507058E-4	0.0	0.537	0.27325025527137803	0.11470600618322933	0.9016520071590245	0.09834799284097454	0.5	0.5	8.785130992465767E-5	7.235586464819546E-4	7.020033736373817E-5	1.9619794902940773	-0.08174230799492874	-11160.96360863325	-383.0738674778016	-370.9370222278673
