# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 14:30:15 AEST 2020 [seed=1595737812876]
# -threads 8 xml/biphone_binary_SMHS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	clock.rate	meanRate	treeLikelihood	branchRates	speciation
100000	-16813.50677369483	-984.6574592180148	-15828.849314476814	7577.677642738507	7577.677642738507	287731.9233581288	0.0	316.1448328116962	2728.094903799454	3038.1787746121286	1946.3583647773376	1654.2332553019137	1743.1544145229132	1947.9199079187488	2992.999464662238	2678.9648811109746	1807.971103383573	4209.343288804685	5524.854949034808	1622.6234816566093	1943.6751448626067	2954.5446194613905	3234.246922035086	3226.2145648461087	3320.265380551436	0.0	316.1448328116962	2728.094903799454	3038.1787746121286	1946.3583647773376	1654.2332553019137	1743.1544145229132	1947.9199079187488	2992.999464662238	2678.9648811109746	1807.971103383573	4209.343288804685	5524.854949034808	1622.6234816566093	1943.6751448626067	2954.5446194613905	3234.246922035086	3226.2145648461087	3320.265380551436	6.704738606016622E-4	0.0	0.366	2.6843348069796144E-5	2.6843348069796154E-5	-15828.849314476814	0.0	-967.1750542030777
110000	-16808.969541595667	-978.5943815609704	-15830.375160034697	6826.396666772777	6826.396666772777	269603.7128528237	0.0	364.82121392625197	2523.047852906982	2586.748502567568	1318.8651957475192	1523.8804165263066	1595.2230711689913	1340.95272880605	3136.695777544015	2042.4601810509919	1662.7625776564807	3893.9743436193853	5719.665798613338	1467.480917037219	1482.7992892261211	3603.762575707413	3033.828756323952	3293.310920222964	3257.3214651461194	0.0	364.82121392625197	2523.047852906982	2586.748502567568	1318.8651957475192	1523.8804165263066	1595.2230711689913	1340.95272880605	3136.695777544015	2042.4601810509919	1662.7625776564807	3893.9743436193853	5719.665798613338	1467.480917037219	1482.7992892261211	3603.762575707413	3033.828756323952	3293.310920222964	3257.3214651461194	6.345341919106479E-4	0.0	0.366	2.9242407952613035E-5	2.9242407952613045E-5	-15830.375160034697	0.0	-963.1741042340915
120000	-16807.53450920361	-983.2029953187288	-15824.331513884881	6932.994530748469	6932.994530748469	284365.5771999084	0.0	422.2963584583287	2471.2110896144973	2900.3940412166453	1788.2514493837175	1686.083238329012	1558.4192522051087	1717.1019617919344	3156.8460380034685	2127.1217757445497	2000.360337586364	4118.0241383113	6098.299497863145	1811.1883436176245	1623.8591432029605	2680.177781056985	3263.7600667882266	3410.1943465594522	3042.0775707318567	0.0	422.2963584583287	2471.2110896144973	2900.3940412166453	1788.2514493837175	1686.083238329012	1558.4192522051087	1717.1019617919344	3156.8460380034685	2127.1217757445497	2000.360337586364	4118.0241383113	6098.299497863145	1811.1883436176245	1623.8591432029605	2680.177781056985	3263.7600667882266	3410.1943465594522	3042.0775707318567	6.786547993355646E-4	0.0	0.366	2.7330412278616585E-5	2.733041227861659E-5	-15824.331513884881	0.0	-967.574759657715
130000	-16821.389812679445	-985.0564902304149	-15836.333322449029	6949.872201951882	6949.872201951882	285361.3319931653	0.0	215.255100552639	3010.46109421098	2985.635934687744	1195.8658677884703	1571.7307606349882	1713.4101622155822	1895.2501799271981	2521.5442946773874	2116.674675164706	1882.3017951173915	4175.396219227379	5894.570790314146	2257.6530743044495	1931.9169635588014	3284.795290440082	3191.2078467313427	3158.7969740498365	3720.0413549942955	0.0	215.255100552639	3010.46109421098	2985.635934687744	1195.8658677884703	1571.7307606349882	1713.4101622155822	1895.2501799271981	2521.5442946773874	2116.674675164706	1882.3017951173915	4175.396219227379	5894.570790314146	2257.6530743044495	1931.9169635588014	3284.795290440082	3191.2078467313427	3158.7969740498365	3720.0413549942955	7.180254853801021E-4	0.0	0.366	2.6826450161626444E-5	2.6826450161626468E-5	-15836.333322449029	0.0	-969.1430854353914
140000	-16808.96851252557	-989.3022950989429	-15819.666217426628	7612.389221518376	7612.389221518376	294666.5405465676	0.0	451.07566754724104	2907.9736498714674	2820.2462065132895	1479.1010934321566	1585.0441803973183	1628.0673232409642	1767.5615581599561	3393.4015279516643	2647.9852330346757	1932.7949896499874	4126.394350363359	6093.56500964815	2870.6417687995995	1894.2201522839869	2987.2667051716726	3107.0349348704594	3152.605128801861	3604.2329788261864	0.0	451.07566754724104	2907.9736498714674	2820.2462065132895	1479.1010934321566	1585.0441803973183	1628.0673232409642	1767.5615581599561	3393.4015279516643	2647.9852330346757	1932.7949896499874	4126.394350363359	6093.56500964815	2870.6417687995995	1894.2201522839869	2987.2667051716726	3107.0349348704594	3152.605128801861	3604.2329788261864	6.787449479984661E-4	0.0	0.366	2.6364350056252418E-5	2.636435005625242E-5	-15819.666217426628	0.0	-971.513790505063
150000	-16824.116495370803	-985.7444783132895	-15838.372017057512	6963.831468234573	6963.831468234573	292157.1086171613	0.0	401.9414668314139	2664.2236037413413	3060.483685365176	1443.703273184808	1609.5961748231725	1732.5469518407463	1744.4175126950136	3590.047439893166	2777.5547670415713	1931.5825107175235	3953.618654500787	5655.748264897637	1744.764387453403	2540.0051700736512	3332.3087689211684	3319.0838391448	3861.712809674912	3376.3890808967644	0.0	401.9414668314139	2664.2236037413413	3060.483685365176	1443.703273184808	1609.5961748231725	1732.5469518407463	1744.4175126950136	3590.047439893166	2777.5547670415713	1931.5825107175235	3953.618654500787	5655.748264897637	1744.764387453403	2540.0051700736512	3332.3087689211684	3319.0838391448	3861.712809674912	3376.3890808967644	6.334689641260789E-4	0.0	0.366	2.7039160638817904E-5	2.7039160638817945E-5	-15838.372017057512	0.0	-969.5338468622726
160000	-16819.278965925092	-992.0899912427471	-15827.188974682344	7514.65191063411	7514.65191063411	305607.2161990065	0.0	503.9896004483992	2891.233029390458	2459.31617492182	1686.9311813093798	1863.7375718251396	1785.057359390541	2040.0574766601699	2608.9816611110436	2963.4586802170534	2090.4243864468485	4126.96455723384	6245.693416204886	1804.1772297249618	1971.8237885889612	3573.221048974003	3641.0469260345726	3833.821537634227	3411.2949054821893	0.0	503.9896004483992	2891.233029390458	2459.31617492182	1686.9311813093798	1863.7375718251396	1785.057359390541	2040.0574766601699	2608.9816611110436	2963.4586802170534	2090.4243864468485	4126.96455723384	6245.693416204886	1804.1772297249618	1971.8237885889612	3573.221048974003	3641.0469260345726	3833.821537634227	3411.2949054821893	6.086760700909464E-4	0.0	0.366	2.5339779552264757E-5	2.533977955226475E-5	-15827.188974682344	0.0	-974.4272053237521
170000	-16811.21539427256	-983.4951762216283	-15827.72021805093	6924.290059400434	6924.290059400434	285022.4803229397	0.0	556.2140583826421	3163.845807516592	2052.7678567458224	1562.6478341306472	1699.5303869148254	1447.481832252359	2000.7965353520788	2958.357714924016	2541.7149142727653	1835.9387152456918	4190.551529003833	6120.114017559756	1817.3168257165469	1950.6976377626077	3876.8619213822926	3125.7377977545775	3310.9160187650905	2947.7393670980246	0.0	556.2140583826421	3163.845807516592	2052.7678567458224	1562.6478341306472	1699.5303869148254	1447.481832252359	2000.7965353520788	2958.357714924016	2541.7149142727653	1835.9387152456918	4190.551529003833	6120.114017559756	1817.3168257165469	1950.6976377626077	3876.8619213822926	3125.7377977545775	3310.9160187650905	2947.7393670980246	6.11696242216891E-4	0.0	0.366	2.6279795294354298E-5	2.6279795294354315E-5	-15827.72021805093	0.0	-967.8849560657633
180000	-16798.212595208795	-974.6170748945073	-15823.595520314288	6430.773342040229	6430.773342040229	263197.7978059873	0.0	423.21287122830347	2455.7331426393744	2316.189161541549	1214.1382320260636	1308.6277222263252	1286.6010662690358	2144.7978848419793	2418.7037597416415	2030.2865582453333	1727.8784329472255	4135.774579431408	5851.271785254651	1656.201462802876	2047.6001808696647	3129.0431935371153	2704.0418472536962	3078.514152226551	2883.7651280483897	0.0	423.21287122830347	2455.7331426393744	2316.189161541549	1214.1382320260636	1308.6277222263252	1286.6010662690358	2144.7978848419793	2418.7037597416415	2030.2865582453333	1727.8784329472255	4135.774579431408	5851.271785254651	1656.201462802876	2047.6001808696647	3129.0431935371153	2704.0418472536962	3078.514152226551	2883.7651280483897	6.763183972277667E-4	0.0	0.366	2.9391945395349486E-5	2.9391945395349493E-5	-15823.595520314288	0.0	-959.0989834768081
190000	-16803.33584672755	-985.3150156061267	-15818.020831121423	7015.636628332095	7015.636628332095	292456.04872734065	0.0	341.7006527029192	3235.2393178637335	2737.083433695429	1376.881324112306	1713.5672068572499	1637.109279112837	1902.4237927125582	2897.6402100512673	2586.581818663833	1930.500129261338	4096.499658099457	6049.405652170726	1861.5721084397185	1958.2641132254482	2861.4454882978075	3358.730791304195	3152.281355764432	3300.3164940888	0.0	341.7006527029192	3235.2393178637335	2737.083433695429	1376.881324112306	1713.5672068572499	1637.109279112837	1902.4237927125582	2897.6402100512673	2586.581818663833	1930.500129261338	4096.499658099457	6049.405652170726	1861.5721084397185	1958.2641132254482	2861.4454882978075	3358.730791304195	3152.281355764432	3300.3164940888	6.811003377448454E-4	0.0	0.366	2.700751701389257E-5	2.7007517013892538E-5	-15818.020831121423	0.0	-969.2307907998231
200000	-16809.751362604773	-979.7691145277113	-15829.98224807706	6593.92490600405	6593.92490600405	280218.6838641899	0.0	431.40057122060966	2615.9844391920797	3061.3194716303833	1197.1077082537715	1527.5540425783415	1662.7372409300363	2193.6911732761428	3048.7606716508067	2187.5941728392727	1753.1571256069733	3831.791296563241	5682.987806953927	1968.4578375345027	1836.5538303118255	3499.4873654082803	2778.254336666708	3188.8344427698385	3294.9735650636785	0.0	431.40057122060966	2615.9844391920797	3061.3194716303833	1197.1077082537715	1527.5540425783415	1662.7372409300363	2193.6911732761428	3048.7606716508067	2187.5941728392727	1753.1571256069733	3831.791296563241	5682.987806953927	1968.4578375345027	1836.5538303118255	3499.4873654082803	2778.254336666708	3188.8344427698385	3294.9735650636785	6.837296408103147E-4	0.0	0.366	2.7374974561646904E-5	2.7374974561646938E-5	-15829.98224807706	0.0	-964.6004692671088
210000	-16804.848067732528	-983.0715975103178	-15821.77647022221	6818.069228765028	6818.069228765028	287643.6036958199	0.0	266.52769912801267	2069.7552431816844	2567.1342351883873	1790.8430691841818	1920.0524654815838	1468.4381008293267	1725.1609219364059	3164.6742953203316	2340.7673110009237	2024.2575841854805	4107.244739951284	5990.733416032936	2163.416913259179	1898.9792955076118	3151.9899326205045	3395.121138397209	3243.952992196798	3383.8361954915335	0.0	266.52769912801267	2069.7552431816844	2567.1342351883873	1790.8430691841818	1920.0524654815838	1468.4381008293267	1725.1609219364059	3164.6742953203316	2340.7673110009237	2024.2575841854805	4107.244739951284	5990.733416032936	2163.416913259179	1898.9792955076118	3151.9899326205045	3395.121138397209	3243.952992196798	3383.8361954915335	6.337014312780913E-4	0.0	0.366	2.625933852662171E-5	2.6259338526621713E-5	-15821.77647022221	0.0	-967.6206645014171
