# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 04:06:50 AEST 2020 [seed=1595614010062]
# -threads 8 xml/biphone_binary_CSGS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
18060000	-15294.455389596897	-983.6289208172844	-14310.826468779613	7229.946194790879	7229.946194790879	270615.81812134804	0.0	263.91876601865584	2030.5644189855636	2162.8926608759043	1042.2369655337206	1545.3336029650325	1354.9248106083373	1879.6726366978312	3201.586602180747	3057.8183457029627	2261.2285530279737	3335.6125750200267	5751.899013912271	2432.1092524561154	1626.7968509215982	3133.959195168317	2468.371193878276	3122.4014088441204	2552.9742141972843	0.0	263.91876601865584	2030.5644189855636	2162.8926608759043	1042.2369655337206	1545.3336029650325	1354.9248106083373	1879.6726366978312	3201.586602180747	3057.8183457029627	2261.2285530279737	3335.6125750200267	5751.899013912271	2432.1092524561154	1626.7968509215982	3133.959195168317	2468.371193878276	3122.4014088441204	2552.9742141972843	6.381995611283223E-4	0.0	0.366	0.003642503426140175	0.1976188834800511	0.7072758810781709	0.29272411892184697	0.5	0.5	1.1441996834616441	4.612326803881899E-5	4.6123268038819024E-5	-14310.826468779613	0.0	-963.715235271975
18070000	-15274.382515363443	-982.3363625917361	-14292.046152771707	7071.312762144937	7071.312762144937	266300.8121412047	0.0	225.11577263783303	3774.811210012857	2283.871554947482	852.264337226887	1587.9579402891652	1460.6307541684514	1807.9422846978875	3194.689476689793	3267.9151941404566	1822.4340826686507	3418.223198166238	6282.448441035002	2009.8749841548179	1297.206132241809	3507.7605226418905	2541.602501589724	3246.9408690221635	2877.3480059564004	0.0	225.11577263783303	3774.811210012857	2283.871554947482	852.264337226887	1587.9579402891652	1460.6307541684514	1807.9422846978875	3194.689476689793	3267.9151941404566	1822.4340826686507	3418.223198166238	6282.448441035002	2009.8749841548179	1297.206132241809	3507.7605226418905	2541.602501589724	3246.9408690221635	2877.3480059564004	6.984522479900887E-4	0.0	0.366	9.220610244999782E-4	0.21514206046061196	0.6948446219541508	0.3051553780458669	0.5	0.5	1.1464839225858137	4.660953954698289E-5	4.660953954698288E-5	-14292.046152771707	0.0	-963.0953162989819
18080000	-15307.176560320633	-1002.9398416887734	-14304.23671863186	8600.39183425058	8600.39183425058	304797.5285616973	0.0	522.0163376599298	3785.866346828434	2985.823501366432	822.7272047764321	1920.4339561561208	1570.3434503616754	1893.1271507925082	2693.64567029005	3600.8455017155684	1880.7100212070052	3577.5848821627014	6761.045765826742	1886.914469001818	1788.87440384164	2924.5775910846655	3306.8116670399686	3252.9532774596873	3897.8780722967463	0.0	522.0163376599298	3785.866346828434	2985.823501366432	822.7272047764321	1920.4339561561208	1570.3434503616754	1893.1271507925082	2693.64567029005	3600.8455017155684	1880.7100212070052	3577.5848821627014	6761.045765826742	1886.914469001818	1788.87440384164	2924.5775910846655	3306.8116670399686	3252.9532774596873	3897.8780722967463	6.184625306082207E-4	0.0	0.366	0.0018712644148741664	0.16929223870525828	0.6938034905419214	0.3061965094580962	0.5	0.5	1.0632624636372787	4.682789347267694E-5	4.6827893472676945E-5	-14304.23671863186	0.0	-978.2374136623351
18090000	-15300.652489712675	-995.4593295177558	-14305.193160194918	7903.150307971448	7903.150307971448	287136.3229804212	0.0	150.45955467456054	3218.6126792887007	3706.0873143524263	759.2915078129776	1550.2446841038054	1448.133432354262	1865.712362181487	3181.5160104163765	3205.282339316762	1778.0262198676694	3825.015181458894	6534.0624926281425	1832.7987116522818	1352.8259693752163	2680.5693176866935	2617.3720848181056	3089.767166135975	3147.3645409080736	0.0	150.45955467456054	3218.6126792887007	3706.0873143524263	759.2915078129776	1550.2446841038054	1448.133432354262	1865.712362181487	3181.5160104163765	3205.282339316762	1778.0262198676694	3825.015181458894	6534.0624926281425	1832.7987116522818	1352.8259693752163	2680.5693176866935	2617.3720848181056	3089.767166135975	3147.3645409080736	5.922776145924984E-4	0.0	0.366	0.001354406959900802	0.1801948042486665	0.6863459159077302	0.3136540840922874	0.5	0.5	1.284314041911767	5.181207596243817E-5	5.181207596243817E-5	-14305.193160194918	0.0	-972.8926390542491
18100000	-15297.436631258772	-992.3272446837584	-14305.109386575014	7750.838688662483	7750.838688662483	284152.8988727354	0.0	113.19261597736822	2856.9239734274483	2477.9689892216375	1386.785963957538	1544.1016697480045	1466.007753862942	1703.133852399619	2647.0340301625174	3237.769266371872	1813.5785762474613	3825.3076568898277	7143.7759024363595	2643.7497765930652	1629.7817380718104	3197.595857846762	2970.575932433395	3173.975682570098	2173.9341565754953	0.0	113.19261597736822	2856.9239734274483	2477.9689892216375	1386.785963957538	1544.1016697480045	1466.007753862942	1703.133852399619	2647.0340301625174	3237.769266371872	1813.5785762474613	3825.3076568898277	7143.7759024363595	2643.7497765930652	1629.7817380718104	3197.595857846762	2970.575932433395	3173.975682570098	2173.9341565754953	6.051034249657899E-4	0.0	0.366	0.005739272222175194	0.18115556151715412	0.7010154513608461	0.2989845486391714	0.5	0.5	1.3784702526596033	4.1611853599404876E-5	4.1611853599404876E-5	-14305.109386575014	0.0	-970.5761469892857
18110000	-15303.0055781104	-1004.9417247605622	-14298.063853349839	8098.039164058187	8098.039164058187	306613.5061070115	0.0	281.60690372471964	4285.460462459365	2665.0986232341093	897.3399023184598	2210.638518544072	1472.1943210676525	1775.2395441572125	2691.0315083231408	3174.3582369754135	2372.8783007173147	3930.1874054812056	7740.061824484367	2139.6236871159517	1693.8762093098753	3531.3444622939155	2647.8708858914847	3145.3554398986953	3073.8239366086987	0.0	281.60690372471964	4285.460462459365	2665.0986232341093	897.3399023184598	2210.638518544072	1472.1943210676525	1775.2395441572125	2691.0315083231408	3174.3582369754135	2372.8783007173147	3930.1874054812056	7740.061824484367	2139.6236871159517	1693.8762093098753	3531.3444622939155	2647.8708858914847	3145.3554398986953	3073.8239366086987	7.004634991138158E-4	0.0	0.366	3.5954174496645637E-4	0.21650337699142255	0.6972771963829179	0.30272280361709963	0.5	0.5	1.2774619278157153	4.07139621462139E-5	4.071396214621387E-5	-14298.063853349839	0.0	-981.7297600332923
18120000	-15299.732993049764	-1009.7957837065661	-14289.937209343198	8069.318316954644	8069.318316954644	327033.3282966097	0.0	192.63345710098395	4021.1577989082225	3839.5462621874235	1575.7645330024718	2070.0516645006855	1703.9601394971753	2203.727317913093	3159.3685875187734	3865.572875676058	2116.9143864394587	4132.1393677804	7841.457440418997	2185.974374570968	2153.5255548819196	4499.022782057736	3205.0604361914393	3083.349611496588	3254.7126446934653	0.0	192.63345710098395	4021.1577989082225	3839.5462621874235	1575.7645330024718	2070.0516645006855	1703.9601394971753	2203.727317913093	3159.3685875187734	3865.572875676058	2116.9143864394587	4132.1393677804	7841.457440418997	2185.974374570968	2153.5255548819196	4499.022782057736	3205.0604361914393	3083.349611496588	3254.7126446934653	5.789592193221189E-4	0.0	0.366	0.004461196919384826	0.21104618421356047	0.6842219973077213	0.31577800269229617	0.5	0.5	1.150192467857195	3.8533657804475866E-5	3.8533657804475866E-5	-14289.937209343198	0.0	-986.6033011828075
18130000	-15287.505745808676	-999.2007207116999	-14288.305025096975	7881.172438911661	7881.172438911661	297560.9150338479	0.0	384.4612622179157	3054.28012831551	3794.4312349944616	1449.285739054486	2154.9711471964324	1629.636038368802	2197.980942572054	2880.8818723283384	2352.9756787145766	1918.0591444546758	3820.8494301439146	7193.522458177228	2361.433263513367	1959.2433439597517	4484.50111295856	2834.0585819156577	3210.827715624775	2977.7016188447583	0.0	384.4612622179157	3054.28012831551	3794.4312349944616	1449.285739054486	2154.9711471964324	1629.636038368802	2197.980942572054	2880.8818723283384	2352.9756787145766	1918.0591444546758	3820.8494301439146	7193.522458177228	2361.433263513367	1959.2433439597517	4484.50111295856	2834.0585819156577	3210.827715624775	2977.7016188447583	7.177564052977757E-4	0.0	0.366	0.0017788820771590624	0.20687082456956424	0.6953056444098017	0.30469435559021574	0.5	0.5	1.1638439425857792	4.538782454942568E-5	4.538782454942571E-5	-14288.305025096975	0.0	-977.3444117180998
18140000	-15296.153635078896	-1002.6414039921721	-14293.512231086723	8350.503849361783	8350.503849361783	305208.6589237329	0.0	280.39975249905336	2667.858117769316	1512.936937881146	1186.0703320563748	1745.2363810381253	1576.6012781926418	1984.6911294097777	2842.099717056659	2563.3089145223357	1897.1339082973511	3920.2326283702096	7050.216634946361	2330.2097473703366	1354.0384014148044	3142.327358964863	2890.7079901837974	3136.828037277633	3196.529532976907	0.0	280.39975249905336	2667.858117769316	1512.936937881146	1186.0703320563748	1745.2363810381253	1576.6012781926418	1984.6911294097777	2842.099717056659	2563.3089145223357	1897.1339082973511	3920.2326283702096	7050.216634946361	2330.2097473703366	1354.0384014148044	3142.327358964863	2890.7079901837974	3136.828037277633	3196.529532976907	6.537448283033103E-4	0.0	0.366	0.0012889664404541876	0.2020644823869548	0.687561261390633	0.3124387386093845	0.5	0.5	1.017325665764596	4.095655714571489E-5	4.095655714571488E-5	-14293.512231086723	0.0	-978.8272425954608
18150000	-15290.937908270125	-998.3912963279163	-14292.546611942209	7967.855371215782	7967.855371215782	295253.050294256	0.0	403.65654201985143	3694.828311140825	2116.189541007138	1002.4049792701478	1746.0179032969222	1800.4901476687537	1958.0418181239013	3115.24311994543	2645.663704868206	1655.7191020944742	4093.776125064553	6824.853512560046	1867.7875780191557	2009.630943611914	2903.882390536726	3218.369583409437	3058.742563161876	3276.923788528933	0.0	403.65654201985143	3694.828311140825	2116.189541007138	1002.4049792701478	1746.0179032969222	1800.4901476687537	1958.0418181239013	3115.24311994543	2645.663704868206	1655.7191020944742	4093.776125064553	6824.853512560046	1867.7875780191557	2009.630943611914	2903.882390536726	3218.369583409437	3058.742563161876	3276.923788528933	6.83808468753305E-4	0.0	0.366	0.005652626159450382	0.1726719703390249	0.6985366733388261	0.3014633266611916	0.5	0.5	1.4018744224200281	4.479066084704131E-5	4.479066084704138E-5	-14292.546611942209	0.0	-975.0327278549048
18160000	-15277.215009483436	-976.4299253508132	-14300.785084132624	7350.028235460296	7350.028235460296	244585.77940537958	0.0	41.452257047661284	2858.1160672399633	1647.2932872564127	1063.2837439012906	1437.5572404864404	1328.5030096729404	1873.0441676731537	2826.468591713945	2471.4522385567498	1597.2317826971962	3032.4416342910476	5888.508333699631	1906.7927138154591	1620.2724500862453	2568.385357042669	2851.045528175361	3061.466108501301	2816.9772351362044	0.0	41.452257047661284	2858.1160672399633	1647.2932872564127	1063.2837439012906	1437.5572404864404	1328.5030096729404	1873.0441676731537	2826.468591713945	2471.4522385567498	1597.2317826971962	3032.4416342910476	5888.508333699631	1906.7927138154591	1620.2724500862453	2568.385357042669	2851.045528175361	3061.466108501301	2816.9772351362044	8.536855294193503E-4	0.0	0.366	0.0016902009258531	0.1888616520772866	0.6885788415684169	0.31142115843160084	0.5	0.5	1.0840434944793615	5.17027629174815E-5	5.170276291748147E-5	-14300.785084132624	0.0	-955.8236263474072
18170000	-15290.961499459952	-988.9196203918733	-14302.04187906808	7471.317680230777	7471.317680230777	276925.243543595	0.0	211.36735172865266	2504.7948039307958	2139.7837684586043	1110.0060515130042	2192.969154006031	1436.4192336036792	1729.9549165581814	2711.719832692724	2546.316755188529	1564.0584792835689	3219.8963539419915	7203.047270872303	2031.048306293594	1853.828276250496	2698.625623088126	3032.9927644839377	3288.8329920399196	2752.7146869659637	0.0	211.36735172865266	2504.7948039307958	2139.7837684586043	1110.0060515130042	2192.969154006031	1436.4192336036792	1729.9549165581814	2711.719832692724	2546.316755188529	1564.0584792835689	3219.8963539419915	7203.047270872303	2031.048306293594	1853.828276250496	2698.625623088126	3032.9927644839377	3288.8329920399196	2752.7146869659637	6.655613246635382E-4	0.0	0.366	0.0039136813415494775	0.20695295178630493	0.694142930189105	0.30585706981091276	0.5	0.5	1.0242317386969624	4.173849779782293E-5	4.173849779782293E-5	-14302.04187906808	0.0	-968.8896197977998
18180000	-15289.296976370417	-986.4848489022543	-14302.812127468162	7330.659768374661	7330.659768374661	262974.0071327864	0.0	186.72214496197262	2370.188458825913	3627.358679690724	1067.7419601738259	1604.7892626521113	1318.5691186671927	1667.4294108561437	3095.9894207580815	2534.198759459247	1780.5635413640719	3342.987719606728	6992.695459097043	1714.6594438523343	1254.1654047832865	2989.684130241909	2753.555062152306	3042.27092264074	2798.1303376024184	0.0	186.72214496197262	2370.188458825913	3627.358679690724	1067.7419601738259	1604.7892626521113	1318.5691186671927	1667.4294108561437	3095.9894207580815	2534.198759459247	1780.5635413640719	3342.987719606728	6992.695459097043	1714.6594438523343	1254.1654047832865	2989.684130241909	2753.555062152306	3042.27092264074	2798.1303376024184	6.405657555660527E-4	0.0	0.366	4.5265263987118187E-4	0.20761516858938264	0.6870566268997946	0.31294337310022313	0.5	0.5	1.0280567935772456	4.815427065277552E-5	4.8154270652775555E-5	-14302.812127468162	0.0	-965.6341035765281
18190000	-15266.573291139584	-986.0730409791256	-14280.50025016046	7727.441324080391	7727.441324080391	267339.56728316256	0.0	183.1552128326895	2408.3757066746084	2219.7174777469354	989.4251828102729	1665.8358979693921	1222.480149627291	1958.1533088627236	2857.4990825054724	2795.7991508500786	1681.7663927793299	3637.2760605151466	7022.0597412428915	1652.305691607541	1818.856964328222	2015.8240879955667	2460.4308935732324	3130.281319930569	2723.9303506406177	0.0	183.1552128326895	2408.3757066746084	2219.7174777469354	989.4251828102729	1665.8358979693921	1222.480149627291	1958.1533088627236	2857.4990825054724	2795.7991508500786	1681.7663927793299	3637.2760605151466	7022.0597412428915	1652.305691607541	1818.856964328222	2015.8240879955667	2460.4308935732324	3130.281319930569	2723.9303506406177	6.394573570673782E-4	0.0	0.366	7.659474687565256E-4	0.20152156789807943	0.6978895077705206	0.3021104922294974	0.5	0.5	0.898032288094673	4.636361323179785E-5	4.63636132317978E-5	-14280.50025016046	0.0	-965.0975957408324
18200000	-15277.120135026802	-986.2640880172269	-14290.856047009574	7620.119995709612	7620.119995709612	269685.7070948562	0.0	197.20176860404726	3405.9597585147576	3106.0718207525674	1124.5135288336496	2101.3763940644	1616.900950954862	1622.320335769664	2354.4257399105873	2941.4941140663204	1864.2343680402016	3600.783096227419	7077.46480917991	1528.2509270334135	1455.4621805522524	2636.978637719963	2192.4890780109436	3208.9903069796396	2866.3162955543166	0.0	197.20176860404726	3405.9597585147576	3106.0718207525674	1124.5135288336496	2101.3763940644	1616.900950954862	1622.320335769664	2354.4257399105873	2941.4941140663204	1864.2343680402016	3600.783096227419	7077.46480917991	1528.2509270334135	1455.4621805522524	2636.978637719963	2192.4890780109436	3208.9903069796396	2866.3162955543166	6.785235201326548E-4	0.0	0.366	0.007234647458889915	0.18836392796262577	0.7009545249149886	0.2990454750850294	0.5	0.5	1.0217162192102085	4.620341640856185E-5	4.620341640856184E-5	-14290.856047009574	0.0	-965.7392571670781
