Glottolog_code,Nearest_glottolog_code,Glottolog_name,Taxonomy,Name,Major_group,Major_group_CB2018,Subgroup,Family,PN_C_group,PN_W_group,PN_NE_group,PN_SE_group,BandA2012_Taxon_label,Bowern_285_taxon_label,Bowern_307_taxon_label,Taxon_equivalence,Longitude,Latitude,Attestation,Attestation_source,Inherit_vocab_from,Reason_for_inheritance_choice,lexicon_source,lexicon_access,lexicon_access_reference,lexicon_uncertainty,segment_uncertainty,CHIRILA_source,o2p_source,o2p_comments,p2x_source,p2x_comments,Vocab_ID,Vocab_attestation,Vocab_workstage,AusPhonAlts_ID,Grammar_Harvester_files,Alts_source,Alts_to_do_next,Inventory_source,Inventory_source_identifier,Inv_source_id,Invenotry_is_tentative,Inventory_to_do_next,Inventory_my_modifications,Apicals,Laminals,Glottal,Obstruents,Missing_laterals,BhDhGh,Vowels,Vowel_lengths,Add_extra,Remove_extra,Rounded_extra,Inventory_PHOIBLE_notes
wari1262,,Wariyangga,Pama-Nyungan | Pilbara | Mantharta | Warriyangga,Warriyangga,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,Warriyangga,Warriyangga,Warriyangga,Warriyangga,116.318018,-25.00479,,,self,,austin_dictionary_nodate-3,published,,,,CHIRILA/not_released/ASEDA0439,austin_dictionary_nodate-3,,,,228,3 full data,8 to check,,,,,Austin 2015,austin_reference_2015,474522,FALSE,,,2,2,0,1,0,0,3,2,0,0,,
tjur1240,,Tjurruru,Pama-Nyungan | Pilbara | Ngayarta | Jurruru,Jurruru,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,,,,,117.619397,-23.168319,Austin 1988 referes to 300w list by GNOG+fieldnotes by Dench,,pany1241,Most closely related & proximal (Austin 1988:8-9),,,,,,,,,,,,3 full data,1 to acquire,,,,,none,,,,email Austin or Dench,,,,,,,,,,,,,
kari1304,,Kariyarra,Pama-Nyungan | Pilbara | Ngayarta | Kariyarra,Kariyarra,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,Kariyarra,Kariyarra,Kariyarra,*Kariyarra,118.207722,-21.146887,,,self,,smythe_kariyarra_nodate,online,http://aiatsis.gov.au/sites/default/files/catalogue_resources/0582_access.zip,,,CHIRILA/not_released/ASEDA0582,wangka_maya_pilbara_aboriginal_language_centre_kariyarra_2001,,,,762,3 full data,8 to check,220,Kariyarra_120477_augmented_Wangka-Maya_2001.xml,Wangka Maya 2001,,Wangka Maya 2001,wangka_maya_pilbara_aboriginal_language_centre_kariyarra_2001,120477,FALSE,,Note retroflex nasal is missing from list in WM2001:11-12,2,2,0,1,0,0,3,1,0,0,,"Retroflex nasal is missing from list in Wangka Maya 2001:11-12, but is in the lexicon."
kurr1243,,Kurrama,Pama-Nyungan | Pilbara | Ngayarta | Kurrama,Kurrama,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,Kurrama,Kurrama,Kurrama,Kurrama,117.245055,-22.61266,,,self,,dench_kurrama_nodate,online,http://aiatsis.gov.au/sites/default/files/catalogue_resources/0481_access.zip,,,CHIRILA/not_released/ASEDA0481,wangka_maya_pilbara_aboriginal_language_centre_kurrama_2001,,,,697,3 full data,8 to check,221,"Kurrama_102901_augmented_Wangka-Maya_2001.xml, Kurrama_320244_augmented_Hill_2011.xml",Wangka Maya 2001,queued: Hill 2011,Wangka Maya 2001,wangka_maya_pilbara_aboriginal_language_centre_kurrama_2001,102901,FALSE,,Note dental glide & retroflex lateral are missing from list in WM2001:13,2,2,0,1,0,0,3,2,GLIDE_DENT,0,,"Retroflex lateral & dental glide are missing from list in Wangka Maya 2001:23, but are in the lexicon."
mart1255,,Martuthunira,Pama-Nyungan | Pilbara | Ngayarta | Martuthunira,Martuthunira,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,,Martuthunira,Martuthunira,,116.18226,-21.764623,,,self,,dench_martuthunira_1995,online,http://dx.doi.org/10.15144/PL-C125,,,,dench_martuthunira_1995,,,,1029,3 full data,8 to check,139,Martuthunira_122542_augmented_Dench_1990.xml,Dench 1990,,Dench 1990,dench_martuthunira_1995,122542,FALSE,,,2,2,0,1,0,0,3,2,0,0,,
ngar1296,,Ngarla,Pama-Nyungan | Pilbara | Ngayarta | Ngarla,Ngarla,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,Ngarla,Ngarla,Ngarla,Ngarla,119.448936,-20.276244,,,self,,brown_ngarla-english_nodate,published,,,,CHIRILA/not_released/ASEDA0060,westerlund_grammatical_2015,,,,563,3 full data,8 to check,225,Ngarla_478505_augmented_Westerlund_2015.xml,Westerlund 2007,"Now 2015, revised",Westerlund 2015,westerlund_grammatical_2015,478505,FALSE,,,2,PAL,0,1,0,0,3,2,0,0,,
ngar1287,,Ngarluma,Pama-Nyungan | Pilbara | Ngayarta | Ngarluma,Ngarluma,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,Ngarluma,Ngarluma,Ngarluma,Ngarluma,117.186483,-21.102862,,,self,,hale_ngarluma_1989,online,http://aiatsis.gov.au/sites/default/files/catalogue_resources/0037_access.zip,,,CHIRILA/not_released/ASEDA0037,kohn_morphological_2011,,,,554,3 full data,8 to check,183,Ngarluma_317996_augmented_Kohn_2012.xml,Kohn 2001,"Update to 2012, very similar",Kohn 2001,kohn_morphological_2011,77161,FALSE,,,2,2,0,1,0,0,3,1,0,0,,
nhuw1239,,Nhuwala,Pama-Nyungan | Pilbara | Ngayarta | Nhuwala,Nhuwala,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,,,,,115.108678,-21.94866,GNOG's wordlist (CB's DB) is only 23w,Theiberger 1993:127,mart1255,Most closely related & proximal (Thieberger 1993:126),,,,,,,,,,,,-1 under 150w,-1 under 150w,,,,,O'Grady&alia 1966,ogrady_languages_1966,105734,FALSE,,,2,2,0,1,0,0,3,2,0,0,,
nyam1271,,Nyamal,Pama-Nyungan | Pilbara | Ngayarta | Nyamal,Nyamal,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,,Nyamal,Nyamal,,119.768753,-21.328174,,,self,,burgman_nyamal_2007,published,,,,,burgman_nyamal_2007,,,,917,3 full data,8 to check,,,,,Burgman 2007,burgman_nyamal_2007,5337,FALSE,,,2,PAL,0,1,0,0,3,2,0,0,,
nija1241,,Nyiyaparli,Pama-Nyungan | Pilbara | Ngayarta | Nyiyaparli,Nyiyaparli,PN Western,PN Western,PN Pilbara,Pama-Nyungan,_other,Pilbara,_other,_other,,Nyiyaparli,,,121.861278,-24.018422,,,self,,ogrady_nyiyabali_1988,online,http://aiatsis.gov.au/sites/default/files/catalogue_resources/0074_access.zip,,,CHIRILA/not_released/ASEDA0074,ogrady_nyiyabali_1988,,,,493,3 full data,8 to check,,,,?Kohn - see O'G & Laugh,O'Grady&alia 1966,ogrady_languages_1966,105734,FALSE,,,2,2,0,1,0,0,3,2,0,V_LO_NONFR_LONG,,
