# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 01:23:44 AEST 2020 [seed=1595604222052]
# -threads 8 xml/biphone_binary_CSHS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	clock.rate	meanRate	treeLikelihood	branchRates	speciation
100000	-15381.45374356772	-972.3462352561963	-14409.107508311523	6730.366590084165	6730.366590084165	249173.33281821228	0.0	382.8039092850459	2706.0973659056253	2085.1037695598066	1074.4373686069907	1626.722019702445	1265.7186309297954	2169.4015870320018	3110.795792162577	2711.0877986180894	1753.1341197629763	3235.4497483482837	5736.21940170019	1994.2083939289637	1574.6295173418414	2694.383089262416	2881.731265372619	3072.344956862395	2167.5167491899733	0.0	382.8039092850459	2706.0973659056253	2085.1037695598066	1074.4373686069907	1626.722019702445	1265.7186309297954	2169.4015870320018	3110.795792162577	2711.0877986180894	1753.1341197629763	3235.4497483482837	5736.21940170019	1994.2083939289637	1574.6295173418414	2694.383089262416	2881.731265372619	3072.344956862395	2167.5167491899733	7.193148075551113E-4	0.0	0.366	1.622035007344002E-4	0.16945029568948214	0.6989947204488645	0.3010052795511352	0.5	0.5	5.08774924211564E-5	5.087749242115633E-5	-14409.107508311523	0.0	-954.9050858553722
110000	-15399.592666348755	-978.121805265068	-14421.470861083688	7007.448890557724	7007.448890557724	266462.87591548567	0.0	247.80231817857168	2490.982400434848	2855.320363882682	1132.82796579331	2014.0924341040045	1476.4281364260628	2039.014699945324	2476.105445522726	3391.327646696141	2176.5973284893485	3752.3908676187834	6227.121074567839	2062.518921020113	1763.1051924847084	2624.728105481398	2881.2762795780072	3152.0357450627102	2587.28099883184	0.0	247.80231817857168	2490.982400434848	2855.320363882682	1132.82796579331	2014.0924341040045	1476.4281364260628	2039.014699945324	2476.105445522726	3391.327646696141	2176.5973284893485	3752.3908676187834	6227.121074567839	2062.518921020113	1763.1051924847084	2624.728105481398	2881.2762795780072	3152.0357450627102	2587.28099883184	7.210786764272766E-4	0.0	0.366	0.0025379384195564256	0.16851055290542696	0.7122473293663667	0.28775267063363336	0.5	0.5	4.766872635337677E-5	4.7668726353376803E-5	-14421.470861083688	0.0	-960.6462630006272
120000	-15405.362359137613	-983.6836725505186	-14421.678686587094	7061.088990560718	7061.088990560718	278191.5406654019	0.0	340.23271481376224	2777.519198208488	2087.4272362397487	1102.727220870105	1931.0198368788465	1444.0925278425482	2149.343511930865	3102.51998273572	2851.947512978142	2096.477496643255	3964.7486710306507	6800.493786998069	2150.222445873269	1829.0867683196586	2121.0133211970046	3436.7322019401417	3084.4671156286913	2887.7181817423443	0.0	340.23271481376224	2777.519198208488	2087.4272362397487	1102.727220870105	1931.0198368788465	1444.0925278425482	2149.343511930865	3102.51998273572	2851.947512978142	2096.477496643255	3964.7486710306507	6800.493786998069	2150.222445873269	1829.0867683196586	2121.0133211970046	3436.7322019401417	3084.4671156286913	2887.7181817423443	6.425671690240091E-4	0.0	0.366	0.0018167430914727077	0.16003356329767182	0.7013405426499107	0.29865945735008953	0.5	0.5	4.8666211380630445E-5	4.8666211380630445E-5	-14421.678686587094	0.0	-965.7333284596949
130000	-15404.158896018755	-984.6602138328973	-14419.498682185857	7253.970391768275	7253.970391768275	279576.96941013314	0.0	148.50952976822762	2855.9045662753692	1577.34271009662	1128.4149014273532	1639.933135127235	1550.171273194696	1976.060923400189	2585.9720096277006	3518.8895550480906	2229.790806279472	3524.555897457714	6349.125596970598	2181.7617137182287	1659.5337597159742	2579.4865210765724	3014.644337075582	3110.708991043202	2598.944956125529	0.0	148.50952976822762	2855.9045662753692	1577.34271009662	1128.4149014273532	1639.933135127235	1550.171273194696	1976.060923400189	2585.9720096277006	3518.8895550480906	2229.790806279472	3524.555897457714	6349.125596970598	2181.7617137182287	1659.5337597159742	2579.4865210765724	3014.644337075582	3110.708991043202	2598.944956125529	6.508239925944532E-4	0.0	0.366	2.1154811358412492E-4	0.17162898203759228	0.682595706647038	0.3174042933529624	0.5	0.5	4.8702987488029785E-5	4.8702987488029744E-5	-14419.498682185857	0.0	-966.3450909647918
140000	-15386.480509142571	-976.8008656781817	-14409.67964346439	7204.338583997992	7204.338583997992	253928.74472489013	0.0	246.9928276478043	2159.3420800359468	2599.3257684297823	914.6205252399299	1526.3762198356087	1268.732066265672	1599.8455369051765	2501.97475107992	3025.691309930411	2016.0330395417948	3208.1217241548898	5632.1942617162595	2494.0285189016436	1709.4427272818978	2062.5457568380407	2862.2376010619314	3042.940648661822	2508.930052764448	0.0	246.9928276478043	2159.3420800359468	2599.3257684297823	914.6205252399299	1526.3762198356087	1268.732066265672	1599.8455369051765	2501.97475107992	3025.691309930411	2016.0330395417948	3208.1217241548898	5632.1942617162595	2494.0285189016436	1709.4427272818978	2062.5457568380407	2862.2376010619314	3042.940648661822	2508.930052764448	7.755329126083201E-4	0.0	0.366	0.0012909153315650225	0.17515594479830587	0.6707761061472431	0.32922389385275636	0.5	0.5	5.413457940462844E-5	5.4134579404628456E-5	-14409.67964346439	0.0	-957.8416921356979
150000	-15403.400247660473	-983.8252889931749	-14419.574958667297	7714.888644106328	7714.888644106328	269862.32591583824	0.0	209.2065896658815	2458.95848361273	1990.0751070271879	901.7106080086851	1806.3120179619434	1355.0203923775623	1837.590222060778	2925.049909141565	3146.031785648166	2190.894970876081	3771.7700921773944	7438.083511672871	2082.857542104296	1609.2098627673047	1885.67351779768	3011.563549303486	3318.899220356928	2707.4103259009166	0.0	209.2065896658815	2458.95848361273	1990.0751070271879	901.7106080086851	1806.3120179619434	1355.0203923775623	1837.590222060778	2925.049909141565	3146.031785648166	2190.894970876081	3771.7700921773944	7438.083511672871	2082.857542104296	1609.2098627673047	1885.67351779768	3011.563549303486	3318.899220356928	2707.4103259009166	6.683692333037917E-4	0.0	0.366	0.002200701941914592	0.1504141902088967	0.703858624899489	0.2961413751005107	0.5	0.5	4.796562397286108E-5	4.7965623972861E-5	-14419.574958667297	0.0	-964.6509971618281
160000	-15402.036597009792	-989.8648336026637	-14412.171763407128	7617.3904453173	7617.3904453173	286982.5255081835	0.0	212.41443587239272	2451.9858735314015	2697.84181260944	1017.3646263700659	2106.103884323409	1318.6588417894145	1536.689253071013	2860.8525220011716	3219.0385272016197	2355.0525611391367	3832.4599602191984	7566.2907101647725	2433.628038034686	1461.2551353293065	2734.522133212057	2608.816898080799	3168.668830364989	2742.980990663155	0.0	212.41443587239272	2451.9858735314015	2697.84181260944	1017.3646263700659	2106.103884323409	1318.6588417894145	1536.689253071013	2860.8525220011716	3219.0385272016197	2355.0525611391367	3832.4599602191984	7566.2907101647725	2433.628038034686	1461.2551353293065	2734.522133212057	2608.816898080799	3168.668830364989	2742.980990663155	6.693358112881514E-4	0.0	0.366	9.252178774287473E-4	0.17271871348469078	0.6789060025915717	0.3210939974084279	0.5	0.5	4.672248153982466E-5	4.6722481539824655E-5	-14412.171763407128	0.0	-970.6815558103773
170000	-15406.361878379093	-982.1690224220691	-14424.192855957024	7285.266005792659	7285.266005792659	274605.849494356	0.0	196.01150983990627	3083.666530661566	2335.81265895291	991.8802547559279	1793.533335945	1534.275314229306	1837.0439859078774	2548.817101800573	3065.372252082126	2529.100408744113	3610.7528920034474	7249.763157111858	2456.203023571982	1808.3239066843355	3327.4752258132594	2507.0695779854905	3170.7523980807478	2315.112105684811	0.0	196.01150983990627	3083.666530661566	2335.81265895291	991.8802547559279	1793.533335945	1534.275314229306	1837.0439859078774	2548.817101800573	3065.372252082126	2529.100408744113	3610.7528920034474	7249.763157111858	2456.203023571982	1808.3239066843355	3327.4752258132594	2507.0695779854905	3170.7523980807478	2315.112105684811	6.92313100021004E-4	0.0	0.366	7.576156178794839E-4	0.16020494235416963	0.6881246410255264	0.3118753589744734	0.5	0.5	4.8002542325845235E-5	4.80025423258452E-5	-14424.192855957024	0.0	-964.0997019365317
180000	-15388.058585673114	-979.0330643554994	-14409.025521317615	6848.270984244819	6848.270984244819	269351.783876452	0.0	360.11349601717575	2538.601973084373	2239.198965128433	1106.372863780687	1755.5270885778411	1447.462186395913	1838.727019721222	3469.240635133614	3403.7859306193054	2209.9043666984717	3583.2712373786967	6751.413994800327	2243.0227095380724	1547.1614599993507	2927.724777305564	2856.475033439705	3219.006610059332	2468.6602796333445	0.0	360.11349601717575	2538.601973084373	2239.198965128433	1106.372863780687	1755.5270885778411	1447.462186395913	1838.727019721222	3469.240635133614	3403.7859306193054	2209.9043666984717	3583.2712373786967	6751.413994800327	2243.0227095380724	1547.1614599993507	2927.724777305564	2856.475033439705	3219.006610059332	2468.6602796333445	7.131462764520627E-4	0.0	0.366	4.314929560088326E-5	0.17012091175214286	0.6932750898616881	0.30672491013831127	0.5	0.5	4.985448655450969E-5	4.985448655450972E-5	-14409.025521317615	0.0	-962.0663449442042
190000	-15388.48687659454	-980.3397803761482	-14408.147096218392	7175.279210789368	7175.279210789368	270666.92359211587	0.0	250.26796302602287	3016.0858681586146	1544.4576373089897	1170.1546925438843	1954.110478017598	1464.56973670646	1971.2692605351538	2449.281938762273	2803.2736406609893	2050.8214911080536	3670.915624023407	7060.560446132181	2662.7152003472606	1704.0774475027663	2462.1366146153896	3101.172581300538	3128.330415852685	3055.6983561480724	0.0	250.26796302602287	3016.0858681586146	1544.4576373089897	1170.1546925438843	1954.110478017598	1464.56973670646	1971.2692605351538	2449.281938762273	2803.2736406609893	2050.8214911080536	3670.915624023407	7060.560446132181	2662.7152003472606	1704.0774475027663	2462.1366146153896	3101.172581300538	3128.330415852685	3055.6983561480724	7.133387654784312E-4	0.0	0.366	4.4418297694551694E-4	0.16998245954697966	0.682859660808145	0.3171403391918544	0.5	0.5	4.726458456109252E-5	4.726458456109245E-5	-14408.147096218392	0.0	-962.342819388117
