# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Oct 26 14:50:23 AEST 2020 [seed=1603687805667]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
100000	-15697.447848113123	-2118.980525032509	-13578.467323080615	4765.8412406383095	4765.8412406383095	146112.7736789665	475.59173277091907	2030.0027041905794	823.2029222986671	105.60027114725615	2681.203555098178	1336.54280395713	1056.5632050373827	1674.0876686069228	540.8827135275272	3324.5116044879865	2355.1359915589737	2381.1331897713344	783.8431566932279	730.5508408916476	1387.2516610346077	3026.030537815239	3273.378522138069	1437.5497932551418	475.59173277091907	2030.0027041905794	823.2029222986671	105.60027114725615	2681.203555098178	1336.54280395713	1056.5632050373827	1674.0876686069228	540.8827135275272	3324.5116044879865	2355.1359915589737	2381.1331897713344	783.8431566932279	730.5508408916476	1387.2516610346077	3026.030537815239	3273.378522138069	1437.5497932551418	0.0010176580935094522	0.0	0.366	3.9939145896796126E-4	0.1522648376745795	0.6163641279929664	0.38363587200703375	0.5	0.5	0.6848193861470458	1.9229193576493622E-4	5.170998733964378E-4	1.0649036104481533E-4	2.6077846595982117	0.08298351743192109	-13578.467323080615	-1199.394378775646	-905.6868309425215
110000	-15723.17919241897	-2121.972172392249	-13601.20702002672	4637.782342936178	4637.782342936178	155726.5391515192	35.92054545296343	2239.4976286606297	1087.6232520452493	120.12956080890844	1358.1213603506676	1352.0604205712136	1477.9432893364137	2033.4386226539223	502.03726139151456	3578.3558553221565	3113.76775704843	2649.231923526166	1029.1707014670944	781.9500916128803	1135.8864356721745	2752.7835064298897	3281.7101697774156	1491.687318285934	35.92054545296343	2239.4976286606297	1087.6232520452493	120.12956080890844	1358.1213603506676	1352.0604205712136	1477.9432893364137	2033.4386226539223	502.03726139151456	3578.3558553221565	3113.76775704843	2649.231923526166	1029.1707014670944	781.9500916128803	1135.8864356721745	2752.7835064298897	3281.7101697774156	1491.687318285934	0.0011466577923555567	0.0	0.366	1.469147153185882E-4	0.16385417665273078	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8486992403151918	1.6823228563049973E-4	3.5706119792489836E-4	9.950587507584362E-5	2.234415611039763	0.03421151963717296	-13601.20702002672	-1199.394378775646	-908.195865752932
120000	-15711.395576941262	-2119.874947540909	-13591.520629400353	5099.4685293940365	5099.4685293940365	154615.7593407326	110.98032684828809	2196.2725895534986	1000.1039238559542	132.6424329793712	1286.9338088719378	1205.1984839208992	1949.2399264346034	856.2196964158541	519.634787784155	3629.397386595244	2199.5820279180066	2623.5683231422345	1212.9090392700798	820.6929943002318	955.8356144864387	1755.7130611398327	3197.978144179583	1459.9560670046963	110.98032684828809	2196.2725895534986	1000.1039238559542	132.6424329793712	1286.9338088719378	1205.1984839208992	1949.2399264346034	856.2196964158541	519.634787784155	3629.397386595244	2199.5820279180066	2623.5683231422345	1212.9090392700798	820.6929943002318	955.8356144864387	1755.7130611398327	3197.978144179583	1459.9560670046963	0.0011359752756752509	0.0	0.366	4.503619818586601E-4	0.1413221428958429	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8179269520165239	1.642608555710057E-4	3.0114830438813156E-4	1.0533271739609983E-4	2.034965229740959	0.042280325400856945	-13591.520629400353	-1199.394378775646	-907.06115956918
130000	-15723.8978674377	-2143.27837920142	-13580.61948823628	5359.976784079248	5359.976784079248	197978.60948514155	173.6525178671734	1356.6686452791423	934.8266184665816	321.6767726358282	2158.3684114038615	1582.6304431502442	2808.7436757330247	1651.609554383954	967.1798293764092	4313.496608213458	2841.375578321983	3019.377141603695	1003.1960841285077	1240.6443179855835	1223.6909198295998	2782.648340118197	3557.4118161548963	1705.494398646644	173.6525178671734	1356.6686452791423	934.8266184665816	321.6767726358282	2158.3684114038615	1582.6304431502442	2808.7436757330247	1651.609554383954	967.1798293764092	4313.496608213458	2841.375578321983	3019.377141603695	1003.1960841285077	1240.6443179855835	1223.6909198295998	2782.648340118197	3557.4118161548963	1705.494398646644	8.904061614150392E-4	0.0	0.366	6.843138935122979E-5	0.16426171479034316	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7961156353968839	1.1124470378687049E-4	1.8330441086206455E-4	8.10305140215473E-5	1.7667249979290516	0.03680858631222178	-13580.61948823628	-1199.394378775646	-930.9002183437178
140000	-15708.345584277948	-2145.7134080701844	-13562.632176207764	5533.741437699864	5533.741437699864	203837.36309341507	275.04123185912533	2024.6383363573445	501.99902075635026	179.5079458111208	2607.7836552490685	1825.1508759216576	3218.889378147199	3005.6042981387577	749.8945310579169	2900.0845950470393	2293.4165622124583	3128.6580553692274	1210.301894601772	1400.6856915921894	1214.6764309336884	2907.8355774018337	3226.1804841673725	1978.4915105733023	275.04123185912533	2024.6383363573445	501.99902075635026	179.5079458111208	2607.7836552490685	1825.1508759216576	3218.889378147199	3005.6042981387577	749.8945310579169	2900.0845950470393	2293.4165622124583	3128.6580553692274	1210.301894601772	1400.6856915921894	1214.6764309336884	2907.8355774018337	3226.1804841673725	1978.4915105733023	9.555078027057485E-4	0.0	0.366	0.001283975715664429	0.17941018121108898	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7472322648490215	9.35242618292712E-5	1.8233788360067903E-4	6.967789604846842E-5	1.8896630613400434	-0.02928477539227711	-13562.632176207764	-1199.394378775646	-933.4830268201385
150000	-15718.60752446207	-2150.6493397537038	-13567.958184708366	6154.324567021593	6154.324567021593	212858.0802233775	244.55511175859	2223.208175740712	579.3966735159551	307.6715311682999	2226.2839423498785	2216.112828276117	3294.1821146063694	2900.6687707482033	870.4823994182765	2348.802234045783	3061.453739295236	3491.735995009124	2349.870485811328	1151.1150463333586	1052.305741188718	3430.4803418945094	3294.426969662958	2595.278242845756	244.55511175859	2223.208175740712	579.3966735159551	307.6715311682999	2226.2839423498785	2216.112828276117	3294.1821146063694	2900.6687707482033	870.4823994182765	2348.802234045783	3061.453739295236	3491.735995009124	2349.870485811328	1151.1150463333586	1052.305741188718	3430.4803418945094	3294.426969662958	2595.278242845756	8.460411756349792E-4	0.0	0.366	0.0013568210267894633	0.18133717036376318	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8496771122613052	9.375277428746977E-5	2.1833229311680365E-4	6.640806067997146E-5	2.166707525851718	0.11667568638287998	-13567.958184708366	-1199.394378775646	-938.1325255091099
160000	-15709.602661514442	-2159.489629631578	-13550.113031882864	7404.815285677215	7404.815285677215	227095.65758245788	732.9774960873486	1576.9863546952024	376.55776931661103	476.64359367059023	2206.2219215324835	2315.5888336698854	3470.900643866511	2777.6914950461655	1004.0142961975074	2561.7784942578605	3184.643693164266	3563.6289784004884	2613.57262315769	1644.4961735359584	1482.7195284848667	2968.8201168707287	3493.294941638511	2081.3882115961464	732.9774960873486	1576.9863546952024	376.55776931661103	476.64359367059023	2206.2219215324835	2315.5888336698854	3470.900643866511	2777.6914950461655	1004.0142961975074	2561.7784942578605	3184.643693164266	3563.6289784004884	2613.57262315769	1644.4961735359584	1482.7195284848667	2968.8201168707287	3493.294941638511	2081.3882115961464	7.710265680814357E-4	0.0	0.366	0.0014754503623044556	0.1666573667924813	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7734303879843798	9.040791283269136E-5	2.0163333443578402E-4	6.390298874105703E-5	2.1217856490264633	-0.06041554847916309	-13550.113031882864	-1199.394378775646	-944.8860218685803
170000	-15706.051690539472	-2165.737466927439	-13540.314223612033	5993.6609819922305	5993.6609819922305	246124.37576217795	562.0637852758464	685.5721942682753	782.3010975505755	484.14980170508846	2120.600276115904	2182.6027647334754	3951.2117498126236	2531.1001249982855	687.9656093657917	2466.589338742722	3447.4568199585533	3539.8795565306905	3717.5766111849125	1724.727296064292	1196.6307144599527	3461.75526865108	3969.1916025550427	2455.1623124368225	562.0637852758464	685.5721942682753	782.3010975505755	484.14980170508846	2120.600276115904	2182.6027647334754	3951.2117498126236	2531.1001249982855	687.9656093657917	2466.589338742722	3447.4568199585533	3539.8795565306905	3717.5766111849125	1724.727296064292	1196.6307144599527	3461.75526865108	3969.1916025550427	2455.1623124368225	6.720798117415833E-4	0.0	0.366	0.001995564500609309	0.16888689925238168	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8159869473885218	7.455981531034013E-5	1.2278818896148045E-4	6.224010542877595E-5	1.5795550290406244	0.25099468271978975	-13540.314223612033	-1199.394378775646	-953.0192706155988
180000	-15707.590232307311	-2157.39693335586	-13550.193298951452	6521.414468157387	6521.414468157387	227935.9196388009	472.63962455816414	633.1615172312748	535.3943427084802	1103.3551689838853	2648.942432116646	1970.6139358452288	3859.166944670206	1444.6193529553555	760.1982855932268	2803.326180108321	3589.6373017375518	3179.635965805697	4091.8209484669537	1490.6692021005106	1112.096105845655	2599.129548812938	3145.2159159153407	2645.403397130502	472.63962455816414	633.1615172312748	535.3943427084802	1103.3551689838853	2648.942432116646	1970.6139358452288	3859.166944670206	1444.6193529553555	760.1982855932268	2803.326180108321	3589.6373017375518	3179.635965805697	4091.8209484669537	1490.6692021005106	1112.096105845655	2599.129548812938	3145.2159159153407	2645.403397130502	8.602216803895556E-4	0.0	0.366	1.8818028245380585E-4	0.19206858144054711	0.6163641279929664	0.38363587200703375	0.5	0.5	0.9026218454807945	8.211909424875244E-5	1.1234400229764911E-4	6.831732278029823E-5	1.4409429328656231	0.2530456317245688	-13550.193298951452	-1199.394378775646	-944.3568358755838
190000	-15706.983029300389	-2161.8246122338683	-13545.158417066521	5986.704787177062	5986.704787177062	242123.5583588959	964.8707631794753	2045.6888946705885	1526.2492004041446	1674.759255481221	1853.5660763219569	1983.5594962288662	3717.418116642015	3894.293674078818	920.8483956172602	3090.7734185809095	3927.4595727372034	3184.468860663555	4265.064003327662	1284.7471732356532	996.6318965422487	3328.655975170077	3468.532104002462	3155.495708526973	964.8707631794753	2045.6888946705885	1526.2492004041446	1674.759255481221	1853.5660763219569	1983.5594962288662	3717.418116642015	3894.293674078818	920.8483956172602	3090.7734185809095	3927.4595727372034	3184.468860663555	4265.064003327662	1284.7471732356532	996.6318965422487	3328.655975170077	3468.532104002462	3155.495708526973	8.197600589448907E-4	0.0	0.366	5.223647754564583E-4	0.216147164452256	0.6163641279929664	0.38363587200703375	0.5	0.5	0.801190635601916	7.047974682487369E-5	8.596648819962989E-5	5.8768814720978016E-5	1.3355790782739039	0.2194333182981739	-13545.158417066521	-1199.394378775646	-949.7314563534322
