# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jun 11 20:40:39 AEST 2020 [seed=1591872020618]
# -window -working -options
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMantharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaGabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMantharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaGabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	clock.rate	meanRate	treeLikelihood	branchRates	skyline
4460000	-19393.95427827611	-3573.282172558551	-15820.672105717558	7846.807512022472	-2175.807512022472	84447.41777614685	5756.0832531798	6559.2389091374	6525.179206790773	6309.909820411553	6137.140755991004	6258.100484568544	6239.7717122599925	6484.157000781976	6525.716964571181	6237.185439804513	6945.314393013269	7367.808345490032	6269.954989506521	6235.363470044644	6473.546238610628	6531.731373848319	6361.160489267799	6756.412754852479	-85.08325317979961	-888.2389091373998	-854.1792067907727	-638.9098204115526	-466.14075599100397	-587.1004845685438	-568.7717122599925	-813.1570007819764	-854.716964571181	-566.1854398045134	-1274.3143930132692	-1696.8083454900316	-598.9549895065211	-564.3634700446437	-802.5462386106283	-860.731373848319	-690.1604892677988	-1085.4127548524793	130846.03247808898	110941.5943080905	33028.30295503684	33435.68597174376	15273.692779688214	4694.140665075136	5799.5306620732035	2902.2158249215113	2033.649593547303	295.1154163590423	7.0	8.0	10.0	11.0	35.0	20.0	6.0	5.0	2.0	7.0	9.06437309915561E-5	9.06437309915562E-5	-15820.672105717558	0.0	-1151.56992125044
4465000	-19399.247897866087	-3574.453707601417	-15824.794190264669	7794.759920114689	-2123.7599201146886	88574.99009673839	5788.555881611788	6647.274788953942	6538.916079123284	6183.50761203987	6192.341976942574	6287.1720409166055	6252.146320025593	6571.380438454259	6570.914461065615	6282.654702219029	6943.085121406219	7493.844748154558	6299.985980865604	6249.243853647154	6578.341111561941	6601.433570696319	6461.907642061945	6675.528442834303	-117.55588161178821	-976.2747889539423	-867.9160791232844	-512.5076120398699	-521.3419769425736	-616.1720409166055	-581.146320025593	-900.3804384542591	-899.9144610656149	-611.6547022190289	-1272.0851214062186	-1822.8447481545581	-628.9859808656038	-578.2438536471536	-907.341111561941	-930.4335706963193	-790.9076420619449	-1004.528442834303	309721.8890590168	85407.82210109348	19049.895802517443	10831.711406882574	10570.232012235969	3406.5935907876424	5484.160519672965	6338.659841538941	1242.2430510302358	672.8391097667242	7.0	13.0	8.0	11.0	36.0	19.0	5.0	2.0	5.0	5.0	8.417616757218207E-5	8.417616757218208E-5	-15824.794190264669	0.0	-1152.9956161260347
4470000	-19374.87161030935	-3559.114954183315	-15815.756656126036	7742.924302711067	-2071.924302711067	85415.66915738182	5813.289418440818	6565.0474745500305	6321.321350737899	6133.198880365043	6173.118809911214	6261.917869633552	6286.152945546705	6486.614391487178	6597.8779907899525	6226.47663261145	6890.4056822248085	7446.4021688215125	6243.082582260603	6307.842157061041	6672.624485912347	6653.963168292015	6427.929268075149	6618.8849217598845	-142.28941844081783	-894.0474745500305	-650.3213507378987	-462.1988803650429	-502.11880991121416	-590.9178696335521	-615.1529455467053	-815.6143914871782	-926.8779907899525	-555.4766326114504	-1219.4056822248085	-1775.4021688215125	-572.082582260603	-636.8421570610408	-1001.6244859123472	-982.9631682920153	-756.9292680751487	-947.8849217598845	198263.88976469825	68943.08555404171	3124.9358951140102	16251.064305692316	10242.982901053	5587.140257218925	8452.858006339877	1781.6849751669147	782.478400173086	217.82282138099788	3.0	15.0	4.0	12.0	45.0	15.0	6.0	6.0	1.0	4.0	9.216183671929663E-5	9.216183671929669E-5	-15815.756656126036	0.0	-1137.9359981893563
4475000	-19386.493983914952	-3559.496287875582	-15826.99769603937	7548.714077847455	-1877.714077847455	78037.84658458005	5765.377013884983	6661.118717205897	6257.093756620784	6125.285490538688	6131.152789464313	6216.3610437036405	6194.739901590556	6364.705097279439	6595.722298599119	6189.704718650659	6841.562765779033	7376.205622567006	6100.217480331555	6295.788156505114	6489.860419822004	6604.103135469779	6337.500763163185	6587.572220341592	-94.37701388498317	-990.1187172058972	-586.093756620784	-454.28549053868755	-460.1527894643132	-545.3610437036405	-523.7399015905557	-693.7050972794386	-924.7222985991193	-518.7047186506588	-1170.5627657790328	-1705.2056225670058	-429.2174803315547	-624.7881565051139	-818.8604198220037	-933.1031354697789	-666.5007631631852	-916.5722203415917	73655.05470121147	138579.66346358275	8098.9405059263045	11321.872330819948	10602.28105806434	4722.879716473374	2376.314622802687	2974.386333288272	1810.5708875406492	119.26488679057275	1.0	16.0	1.0	13.0	48.0	15.0	2.0	5.0	6.0	4.0	9.814696527406906E-5	9.814696527406907E-5	-15826.99769603937	0.0	-1142.0222575884409
4480000	-19373.77159006406	-3569.4529469536096	-15804.318643110453	7771.441229320854	-2100.4412293208543	81934.35337792612	5821.924381711692	6656.600351619978	6330.059268683434	6216.179641181888	6164.83446758851	6230.195935623026	6176.539559711847	6524.473012332218	6598.824836597234	6240.139985381383	6928.367740412778	7382.758468208356	6287.154982861075	6201.3266474158845	6703.600891447148	6506.547534063382	6400.970267705383	6586.084566299016	-150.92438171169215	-985.600351619978	-659.0592686834343	-545.1796411818877	-493.83446758851005	-559.1959356230263	-505.5395597118468	-853.4730123322179	-927.824836597234	-569.1399853813828	-1257.3677404127784	-1711.7584682083561	-616.154982861075	-530.3266474158845	-1032.6008914471477	-835.547534063382	-729.9702677053829	-915.0845662990159	357158.08204209513	147701.870043335	32534.18147234798	17334.856241098158	10042.007430596203	5284.184640150804	3555.5197510133953	3589.021257891457	1929.7719846289338	307.7270309566447	1.0	12.0	4.0	14.0	50.0	14.0	3.0	2.0	9.0	2.0	9.262148647521111E-5	9.262148647521114E-5	-15804.318643110453	0.0	-1147.7869565046963
4485000	-19382.70821691993	-3567.933294643156	-15814.774922276776	7800.50285424099	-2129.50285424099	78531.44725273048	5845.896955162516	6550.83666086276	6485.288899199479	6165.639298829204	6160.177290251378	6185.176324717744	6198.661955301015	6459.906518851782	6626.492894244451	6187.454001083252	6836.936531830852	7383.449729124538	6200.751340627117	6184.099649318965	6773.197565928204	6453.723397686122	6394.5570808425355	6488.237566410024	-174.89695516251595	-879.8366608627603	-814.2888991994787	-494.63929882920365	-489.1772902513776	-514.1763247177441	-527.661955301015	-788.9065188517816	-955.4928942444512	-516.4540010832516	-1165.936531830852	-1712.449729124538	-529.7513406271173	-513.099649318965	-1102.1975659282043	-782.7233976861216	-723.5570808425355	-817.2375664100236	1279393.6634598796	82943.52294122012	21770.766800520116	19273.368585951834	12431.079655551524	4288.134688807204	8296.499453862092	3924.2913643034044	2428.4607579998255	170.68037751584075	1.0	10.0	8.0	10.0	48.0	9.0	3.0	5.0	13.0	4.0	9.998821618244883E-5	9.998821618244887E-5	-15814.774922276776	0.0	-1142.6764282268286
4490000	-19369.676191873346	-3559.4330972465614	-15810.243094626787	7736.69387556045	-2065.6938755604497	80459.75697126394	5887.275805560196	6494.376320901311	6484.204630818207	6166.479437020954	6182.826140693041	6222.029076682156	6269.05062436689	6473.062988234357	6631.162407775825	6217.620114071541	6899.451757857348	7411.119581918651	6173.82715256081	6180.25296662877	6827.042890250646	6480.691195404336	6431.0090721765255	6607.977514379592	-216.2758055601962	-823.3763209013114	-813.2046308182071	-495.4794370209538	-511.82614069304145	-551.0290766821563	-598.0506243668897	-802.0629882343574	-960.1624077758252	-546.6201140715411	-1228.4517578573477	-1740.1195819186514	-502.82715256080974	-509.2529666287701	-1156.0428902506465	-809.6911954043362	-760.0090721765255	-936.9775143795923	515712.04103465856	94673.82530034342	35757.68402188273	37897.494451509556	12588.444996848828	3063.4761387204185	3688.327303310561	3908.04586791084	3700.618706170873	94.57594340494497	1.0	8.0	11.0	7.0	43.0	7.0	6.0	1.0	23.0	4.0	9.302816805738328E-5	9.302816805738334E-5	-15810.243094626787	0.0	-1135.4187569083806
4495000	-19383.87768804381	-3560.783603161005	-15823.094084882803	7646.912371144265	-1975.9123711442653	78644.0187062216	5837.75718992818	6516.646512328835	6531.658293528551	6199.72045551595	6069.889912210563	6175.699950825947	6222.786225976801	6364.580891612364	6592.559717951039	6180.368404361797	6844.796683552917	7384.568301699998	6166.781841087855	6199.720587415936	6751.200456571208	6399.652737271399	6417.213251368776	6499.373357577099	-166.7571899281802	-845.6465123288353	-860.6582935285514	-528.7204555159497	-398.8899122105631	-504.69995082594687	-551.7862259768008	-693.5808916123642	-921.5597179510387	-509.3684043617968	-1173.7966835529169	-1713.5683016999983	-495.78184108785535	-528.7205874159363	-1080.2004565712077	-728.652737271399	-746.2132513687757	-828.3733575770993	460849.5150842124	109516.89287929215	58623.299326926346	9863.055070634467	11480.222992714445	5240.1119807725545	5807.016334079711	4069.954825705658	3052.8529083375633	554.9602730179304	2.0	9.0	13.0	4.0	42.0	8.0	4.0	1.0	21.0	7.0	9.66613705150498E-5	9.666137051504986E-5	-15823.094084882803	0.0	-1137.4383774556661
4500000	-19406.233438581203	-3570.368283934355	-15835.865154646848	7721.814518626037	-2050.814518626037	86152.83657871922	5860.3475654992535	6432.893111016491	6290.508369280365	6200.862989107551	6238.484024188864	6295.354754832547	6280.788962453576	6580.908609376521	6571.9460672022005	6289.536811844186	6778.405467526047	7426.285924487231	6247.191426968132	6202.979727499423	6744.035094719328	6497.586171421958	6476.795541748502	6638.1115496576895	-189.3475654992535	-761.8931110164913	-619.5083692803646	-529.8629891075507	-567.4840241888642	-624.3547548325469	-609.7889624535756	-909.9086093765209	-900.9460672022005	-618.5368118441856	-1107.4054675260468	-1755.2859244872307	-576.191426968132	-531.9797274994226	-1073.0350947193283	-826.5861714219582	-805.7955417485018	-967.1115496576895	323455.0007766873	34492.98322114892	102131.83364999603	243286.21124073496	13273.227666709843	19498.625914698325	10533.263992559485	6856.324210486286	5501.224039449935	222.05681542524397	2.0	11.0	8.0	2.0	34.0	12.0	5.0	5.0	26.0	6.0	8.52190277651225E-5	8.52190277651225E-5	-15835.865154646848	0.0	-1137.8414224716396
4505000	-19405.009656524642	-3571.9988247503366	-15833.010831774305	7727.468786751098	-2056.4687867510984	82985.46114683253	5808.393244620647	6507.290734125902	6498.180985444085	6201.033508075121	6259.761529297289	6312.0619193614	6215.614218580885	6378.825257553443	6669.702773473776	6257.051031736099	6756.147082165521	7360.628313676472	6221.779913701441	6187.283303046578	6538.999160611738	6512.6403797884295	6409.6781030597	6593.706086753995	-137.39324462064724	-836.2907341259024	-827.1809854440853	-530.0335080751211	-588.7615292972887	-641.0619193614002	-544.6142185808849	-707.8252575534434	-998.7027734737758	-586.0510317360986	-1085.1470821655212	-1689.6283136764723	-550.7799137014408	-516.2833030465781	-867.9991606117383	-841.6403797884295	-738.6781030597003	-922.7060867539949	1187742.6481308963	74005.38364858985	47980.62312323905	31593.188879629062	10093.529838113045	8715.486902512772	30662.340334537155	8182.469206704352	4325.621666966896	213.36830012616653	4.0	9.0	10.0	3.0	29.0	13.0	2.0	4.0	31.0	6.0	9.20939532691927E-5	9.209395326919274E-5	-15833.010831774305	0.0	-1141.2170412404796
4510000	-19380.595008950164	-3550.380864045321	-15830.214144904841	7678.026033535154	-2007.026033535154	75702.50309740682	5744.044686954613	6547.014149498819	6245.389315888721	6132.973722150333	6151.730164014333	6174.796477362468	6105.209595433817	6497.397884399741	6560.9425169784245	6188.702206155391	6718.181210211821	7305.046674399241	6148.182091895712	6182.911851142062	6433.519583578072	6476.864936423414	6277.465829948063	6570.815598928591	-73.0446869546131	-876.0141494988193	-574.3893158887213	-461.97372215033283	-480.73016401433324	-503.79647736246807	-434.2095954338174	-826.3978843997411	-889.9425169784245	-517.7022061553907	-1047.181210211821	-1634.046674399241	-477.1820918957119	-511.911851142062	-762.5195835780723	-805.8649364234143	-606.4658299480634	-899.8155989285906	498632.45538043824	51759.796454812924	26515.497495994296	41439.62895175883	5968.043951161168	9352.008494227366	10051.82138399621	7040.720454910387	5103.850106429211	142.05092352379006	4.0	9.0	9.0	8.0	29.0	7.0	8.0	3.0	27.0	7.0	9.846658528284868E-5	9.846658528284872E-5	-15830.214144904841	0.0	-1124.5725386894026
4515000	-19374.384042429512	-3560.7876496923927	-15813.596392737121	7805.276257909822	-2134.2762579098217	75969.0132678881	5744.27221637189	6453.6253072079935	6326.850314484189	6223.72094104834	6089.306379787153	6156.673661287477	6205.318582571989	6462.853954259424	6465.793112317097	6164.335941179498	6688.1457704879585	7363.663208203251	6242.166971305088	6238.668844555321	6516.581202441121	6542.646233059152	6361.31295213276	6557.153483367309	-73.27221637188995	-782.6253072079935	-655.8503144841889	-552.7209410483401	-418.30637978715276	-485.67366128747744	-534.3185825719893	-791.8539542594244	-794.7931123170974	-493.33594117949815	-1017.1457704879585	-1692.663208203251	-571.1669713050878	-567.6688445553209	-845.5812024411207	-871.6462330591521	-690.3129521327601	-886.1534833673086	751843.682431221	65569.34566075279	50249.6317387186	14941.922038046308	10551.66767786021	9675.597853076197	5610.676597793328	1632.1609097385726	2751.5576732532163	333.7438894399304	2.0	11.0	12.0	10.0	28.0	1.0	11.0	6.0	24.0	6.0	9.836180341141337E-5	9.836180341141356E-5	-15813.596392737121	0.0	-1136.653033412708
4520000	-19374.592233076066	-3559.5546034759977	-15815.037629600067	7740.856087726897	-2069.8560877268974	79851.3623166212	5838.7656084940745	6583.343797781131	6352.392897983878	6189.860805342579	6099.3289707756385	6183.933104907463	6150.031222917337	6462.12297776042	6707.386374648317	6191.980223418086	6857.1896164180625	7369.884348279917	6147.471326636776	6145.887618121259	6525.485652960157	6558.019881792165	6365.866704841134	6707.140999151095	-167.7656084940745	-912.3437977811309	-681.3928979838784	-518.8608053425787	-428.3289707756385	-512.9331049074626	-479.0312229173369	-791.1229777604203	-1036.3863746483166	-520.9802234180861	-1186.1896164180625	-1698.8843482799166	-476.4713266367762	-474.88761812125904	-854.4856529601566	-887.0198817921646	-694.8667048411344	-1036.1409991510945	651480.6255513644	95623.61110923471	32283.90572939872	3939.2035594865206	13785.520381696597	23097.897396649503	25410.35430706421	6556.270840940356	3428.1911927952856	272.45395524315614	2.0	8.0	19.0	10.0	26.0	1.0	8.0	5.0	26.0	6.0	9.415987761568083E-5	9.415987761568095E-5	-15815.037629600067	0.0	-1130.7847943026466
