# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 00:01:51 AEST 2020 [seed=1595599310996]
# -threads 8 xml/biphone_binary_CSGS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
13950000	-15290.995911126498	-995.3680301921676	-14295.627880934331	8018.608392871084	8018.608392871084	294677.37431337056	0.0	240.16700148558922	3161.0533413946628	2747.747069133492	991.0072739510072	1797.0253568329738	1600.7913326131268	2212.8872104099355	2522.838965470959	3465.712465820323	1849.9876114906335	3840.4691882231605	6417.823546815718	2141.9415342756583	1833.7812929556378	2708.6840801019875	3405.6614746261057	3142.2995718704065	3026.751138899072	0.0	240.16700148558922	3161.0533413946628	2747.747069133492	991.0072739510072	1797.0253568329738	1600.7913326131268	2212.8872104099355	2522.838965470959	3465.712465820323	1849.9876114906335	3840.4691882231605	6417.823546815718	2141.9415342756583	1833.7812929556378	2708.6840801019875	3405.6614746261057	3142.2995718704065	3026.751138899072	6.316395812164593E-4	0.0	0.366	0.0037931911856191915	0.24147352364370137	0.6988247899047454	0.3011752100952486	0.5	0.5	1.1905404758859721	3.968912304820223E-5	3.968912304820225E-5	-14295.627880934331	0.0	-972.5489331909517
13960000	-15300.993055958776	-991.1481145336516	-14309.844941425124	7271.623807692679	7271.623807692679	284484.21704330336	0.0	220.94337281525006	2124.053044390795	2848.0782597299194	1226.5389341127104	1569.113592049151	1422.7340681680384	1618.1911394067267	2520.1355055853837	3140.461758341151	2115.555093042709	4009.983983263807	5969.863036076075	2058.138477493005	1995.1052416634454	3410.468813374714	2908.9735991767225	3084.9992582116956	3333.7848624149924	0.0	220.94337281525006	2124.053044390795	2848.0782597299194	1226.5389341127104	1569.113592049151	1422.7340681680384	1618.1911394067267	2520.1355055853837	3140.461758341151	2115.555093042709	4009.983983263807	5969.863036076075	2058.138477493005	1995.1052416634454	3410.468813374714	2908.9735991767225	3084.9992582116956	3333.7848624149924	6.60637440261619E-4	0.0	0.366	0.0021484038897080604	0.20725940008369664	0.6964237836516582	0.303576216348336	0.5	0.5	1.4365488055552196	4.706882000207163E-5	4.706882000207162E-5	-14309.844941425124	0.0	-970.2288699153683
13970000	-15297.642870811569	-988.1244548327245	-14309.518415978844	7036.6779414875145	7036.6779414875145	281534.5521074892	0.0	316.3906056980591	2464.552129559095	2265.8750756046406	1046.6733103726638	1467.6530757532437	1475.1816931797696	2012.7568696184187	3081.0732476001035	3321.659312307914	2392.2643592946856	3784.656826181746	5958.326234307684	2423.9903729687703	1911.2503870448277	4457.909373628854	2664.71133186948	3176.7137610027526	3495.9849196892415	0.0	316.3906056980591	2464.552129559095	2265.8750756046406	1046.6733103726638	1467.6530757532437	1475.1816931797696	2012.7568696184187	3081.0732476001035	3321.659312307914	2392.2643592946856	3784.656826181746	5958.326234307684	2423.9903729687703	1911.2503870448277	4457.909373628854	2664.71133186948	3176.7137610027526	3495.9849196892415	6.002279977994127E-4	0.0	0.366	2.991218908512485E-4	0.28796717434723446	0.6774056396584774	0.3225943603415167	0.5	0.5	1.1125329046362524	4.3450372761292644E-5	4.3450372761292644E-5	-14309.518415978844	0.0	-968.6101445277659
13980000	-15284.655234099095	-994.7618998103728	-14289.893334288721	8141.2774393455575	8141.2774393455575	290904.3921414338	0.0	182.1061134701385	3267.196962824879	3139.61984713589	1305.585644970383	1715.2085962573674	1687.9177946165794	1731.7954589682056	2754.898051739892	3289.0630393445736	2197.8189121367755	3756.446206944909	6265.4963423840045	1831.1460167362795	1818.1198373860425	3782.4724557072154	2796.1077028602726	3198.7063174142845	2719.756921176011	0.0	182.1061134701385	3267.196962824879	3139.61984713589	1305.585644970383	1715.2085962573674	1687.9177946165794	1731.7954589682056	2754.898051739892	3289.0630393445736	2197.8189121367755	3756.446206944909	6265.4963423840045	1831.1460167362795	1818.1198373860425	3782.4724557072154	2796.1077028602726	3198.7063174142845	2719.756921176011	6.292329604290576E-4	0.0	0.366	4.4017211501884266E-4	0.22460815799603648	0.6977281253880803	0.3022718746119138	0.5	0.5	1.1257644145884476	3.998620373207918E-5	3.998620373207917E-5	-14289.893334288721	0.0	-971.7927002207911
13990000	-15288.888249677282	-995.3137796910155	-14293.574469986266	7728.4999335420325	7728.4999335420325	298062.2727447488	0.0	142.3738791101173	3627.8712057755138	1712.1818397666536	1361.422444037411	1964.0393365457294	1777.7870561114726	2181.6417892577256	3306.54740429435	3644.110719403486	2352.8673757471697	3978.724991057058	7024.17627682294	2364.5500549608228	1993.9133970188136	2358.6040004912934	2763.3814614343796	3271.8218289965025	3281.6442145594883	0.0	142.3738791101173	3627.8712057755138	1712.1818397666536	1361.422444037411	1964.0393365457294	1777.7870561114726	2181.6417892577256	3306.54740429435	3644.110719403486	2352.8673757471697	3978.724991057058	7024.17627682294	2364.5500549608228	1993.9133970188136	2358.6040004912934	2763.3814614343796	3271.8218289965025	3281.6442145594883	6.263741663885951E-4	0.0	0.366	0.0018621271462378303	0.20696591826875554	0.6834537386883308	0.31654626131166336	0.5	0.5	0.9435025221316855	4.1782314979594816E-5	4.1782314979594864E-5	-14293.574469986266	0.0	-974.5588643520139
14000000	-15308.411222724233	-995.0331002058767	-14313.378122518356	7894.390618391494	7894.390618391494	292147.5625381622	0.0	151.80571082940298	3075.9817480338425	2454.0080801862746	1201.6112504141793	1361.2026967964798	1604.490890000836	2199.418336066191	2052.633994011832	3480.8134440183635	2043.6296291590947	3736.7441867829943	7109.784629294453	2241.4047285097354	1715.9227166256971	3026.856540566471	2691.1953562476806	3227.970273698107	2978.6461887502974	0.0	151.80571082940298	3075.9817480338425	2454.0080801862746	1201.6112504141793	1361.2026967964798	1604.490890000836	2199.418336066191	2052.633994011832	3480.8134440183635	2043.6296291590947	3736.7441867829943	7109.784629294453	2241.4047285097354	1715.9227166256971	3026.856540566471	2691.1953562476806	3227.970273698107	2978.6461887502974	6.136453633328532E-4	0.0	0.366	0.0029213481311290315	0.16562524892965505	0.6908304492261147	0.30916955077387914	0.5	0.5	1.1177545612051678	4.578574627578372E-5	4.5785746275783665E-5	-14313.378122518356	0.0	-973.4627570775988
14010000	-15295.205582489078	-989.9027664035289	-14305.302816085548	7200.716403245501	7200.716403245501	281439.69966505654	0.0	204.16839482434028	3107.730263924289	3460.566133699913	975.7047930336165	1301.3467866260205	1606.3572775674513	2056.2083725982143	3143.884768659899	2412.3965568240305	1968.5931898802367	3505.7925083688815	6526.824629806932	2370.2066022325603	1755.7732382350055	2959.3966583824827	2695.7384253641117	3075.178915659321	2949.2992949778472	0.0	204.16839482434028	3107.730263924289	3460.566133699913	975.7047930336165	1301.3467866260205	1606.3572775674513	2056.2083725982143	3143.884768659899	2412.3965568240305	1968.5931898802367	3505.7925083688815	6526.824629806932	2370.2066022325603	1755.7732382350055	2959.3966583824827	2695.7384253641117	3075.178915659321	2949.2992949778472	7.044657223113205E-4	0.0	0.366	0.0017852242183251587	0.23165795887404123	0.684463268776811	0.31553673122318304	0.5	0.5	1.0613607036242483	4.505004901122791E-5	4.5050049011227914E-5	-14305.302816085548	0.0	-969.722608457947
14020000	-15301.151471853045	-982.1045077531423	-14319.046964099904	7512.617451716496	7512.617451716496	257435.50837828525	0.0	349.65372634183115	2974.7904641860187	1915.2536649828266	950.564995815396	1982.2387011389767	1294.500342096848	1949.1559817399673	2685.0301436436303	2427.5005484330036	1915.375916037739	3126.9973521315505	6242.466865963785	1835.4408997546757	1915.17999026972	2360.1231657050753	2325.6815215645574	3038.3087296842505	2597.825675708975	0.0	349.65372634183115	2974.7904641860187	1915.2536649828266	950.564995815396	1982.2387011389767	1294.500342096848	1949.1559817399673	2685.0301436436303	2427.5005484330036	1915.375916037739	3126.9973521315505	6242.466865963785	1835.4408997546757	1915.17999026972	2360.1231657050753	2325.6815215645574	3038.3087296842505	2597.825675708975	7.472262792280437E-4	0.0	0.366	0.00156318184257146	0.2205438487561567	0.6887021073061401	0.31129789269385394	0.5	0.5	0.9948335576365933	4.9414040108021855E-5	4.941404010802186E-5	-14319.046964099904	0.0	-960.6173629063067
14030000	-15277.568514619075	-988.038236577143	-14289.530278041932	7480.249641683846	7480.249641683846	275288.3156617284	0.0	54.08607746807169	2714.2263775826214	2140.197235818466	958.3668109298304	1836.2156563980004	1420.6935748429491	2025.6327662460637	2754.5666883575127	3025.1342612941216	2066.4627654790393	3241.821887430439	6679.031984085877	2276.953984481454	1880.2550656581273	2839.280446805677	2887.9099850128214	3118.8580558973913	2612.6011934463354	0.0	54.08607746807169	2714.2263775826214	2140.197235818466	958.3668109298304	1836.2156563980004	1420.6935748429491	2025.6327662460637	2754.5666883575127	3025.1342612941216	2066.4627654790393	3241.821887430439	6679.031984085877	2276.953984481454	1880.2550656581273	2839.280446805677	2887.9099850128214	3118.8580558973913	2612.6011934463354	6.202067678607703E-4	0.0	0.366	0.0011800317827710604	0.22358499063002865	0.7075796692960935	0.29242033070390083	0.5	0.5	1.0082541154607996	4.2428428318269545E-5	4.242842831826961E-5	-14289.530278041932	0.0	-967.5224032874094
14040000	-15280.554588110728	-986.9468260317043	-14293.607762079024	7663.532609145683	7663.532609145683	274956.6152376821	0.0	280.12162369884703	3168.9567840089453	2621.9854270614496	804.0383872780227	1526.9582070762026	1489.8903890360305	1794.8416105382487	3368.0653616821887	2840.1898291403445	2157.911988346209	3314.281714916494	6178.457713372328	2010.4479010303714	1658.816059062075	2840.6399833803284	2174.774020554285	3238.4425052547817	3086.7460244356125	0.0	280.12162369884703	3168.9567840089453	2621.9854270614496	804.0383872780227	1526.9582070762026	1489.8903890360305	1794.8416105382487	3368.0653616821887	2840.1898291403445	2157.911988346209	3314.281714916494	6178.457713372328	2010.4479010303714	1658.816059062075	2840.6399833803284	2174.774020554285	3238.4425052547817	3086.7460244356125	6.850046600902514E-4	0.0	0.366	0.0017902880974576783	0.18211071332128473	0.6915450020619781	0.3084549979380164	0.5	0.5	1.3483868490511512	4.379488026783945E-5	4.379488026783938E-5	-14293.607762079024	0.0	-965.7003757733717
14050000	-15265.633857193627	-970.3393986771079	-14295.294458516519	6944.741652791427	6944.741652791427	234490.94913610065	0.0	252.07846516122876	2248.358091350924	2245.1432140344828	970.8010837149637	1347.1860672449661	1126.1618955652928	1521.5005651993915	2565.1023157214263	2756.344566556842	1668.580556500455	3151.2266080043464	5671.5123571054455	1908.0841900555833	1431.7268673846086	1870.4492612279014	2228.787103457628	3081.1714583994276	2596.3839966460555	0.0	252.07846516122876	2248.358091350924	2245.1432140344828	970.8010837149637	1347.1860672449661	1126.1618955652928	1521.5005651993915	2565.1023157214263	2756.344566556842	1668.580556500455	3151.2266080043464	5671.5123571054455	1908.0841900555833	1431.7268673846086	1870.4492612279014	2228.787103457628	3081.1714583994276	2596.3839966460555	8.528306485621173E-4	0.0	0.366	2.1506664049423092E-5	0.16616706839453776	0.6952200241848459	0.30477997581514876	0.5	0.5	1.0570668807263712	5.7815628736158055E-5	5.7815628736158116E-5	-14295.294458516519	0.0	-951.1657023416914
14060000	-15287.470252979938	-991.2292710266719	-14296.240981953266	7718.247368697365	7718.247368697365	280467.1027214416	0.0	439.7183396332926	3073.4051202118903	2593.9798184147576	1334.7126784962034	1695.8680921168575	1442.6393468929466	1769.0259922862863	2527.4087940270647	2794.1662881863163	1954.9484296304872	3586.6060307603	5969.616016002883	1556.7756329939152	1796.320171157318	2605.5818713905246	2398.2565783658583	3035.2118921735564	3058.866850448738	0.0	439.7183396332926	3073.4051202118903	2593.9798184147576	1334.7126784962034	1695.8680921168575	1442.6393468929466	1769.0259922862863	2527.4087940270647	2794.1662881863163	1954.9484296304872	3586.6060307603	5969.616016002883	1556.7756329939152	1796.320171157318	2605.5818713905246	2398.2565783658583	3035.2118921735564	3058.866850448738	6.473668173017619E-4	0.0	0.366	0.004740748240112147	0.19945215797880958	0.6841065263165657	0.31589347368342885	0.5	0.5	1.248386842832037	4.699099012378323E-5	4.699099012378328E-5	-14296.240981953266	0.0	-968.5529641409926
14070000	-15287.775111617382	-991.5426048550344	-14296.232506762348	7431.382355729771	7431.382355729771	285346.1545467698	0.0	85.98608677248446	2965.4984603103153	3043.8332457325228	808.4841285642487	1378.3864555785071	1571.4513378962918	1720.1397500548362	2501.934122903629	3156.1194162959555	1954.9195688467373	3659.6348397809356	6275.5631222670345	2196.902113118158	1867.6185007615777	3853.3454316175576	2632.205927700244	3093.0718226638587	3114.288152899496	0.0	85.98608677248446	2965.4984603103153	3043.8332457325228	808.4841285642487	1378.3864555785071	1571.4513378962918	1720.1397500548362	2501.934122903629	3156.1194162959555	1954.9195688467373	3659.6348397809356	6275.5631222670345	2196.902113118158	1867.6185007615777	3853.3454316175576	2632.205927700244	3093.0718226638587	3114.288152899496	6.34821742553694E-4	0.0	0.366	4.361831743224744E-4	0.2201431669760938	0.6858452898555436	0.314154710144451	0.5	0.5	1.170122302579151	4.0366834563761935E-5	4.0366834563761976E-5	-14296.232506762348	0.0	-970.6980514118908
14080000	-15292.324728853448	-995.7709883544501	-14296.553740498997	8385.344227858848	8385.344227858848	286420.6096972833	0.0	168.90064236223043	2546.2083879899724	2707.4205263384683	968.6116812280229	1744.9246918984095	1382.4914035236504	1801.4821034654672	2965.820337003531	2989.7078429794756	1962.6073460466762	3649.411605840578	6525.015531842979	2581.145112993251	1605.8011778932096	2661.4797043365966	2785.4803277068586	3244.5615296010947	2920.0078094789105	0.0	168.90064236223043	2546.2083879899724	2707.4205263384683	968.6116812280229	1744.9246918984095	1382.4914035236504	1801.4821034654672	2965.820337003531	2989.7078429794756	1962.6073460466762	3649.411605840578	6525.015531842979	2581.145112993251	1605.8011778932096	2661.4797043365966	2785.4803277068586	3244.5615296010947	2920.0078094789105	6.136286611269422E-4	0.0	0.366	0.001121079540625914	0.19354537032362712	0.7070501091326474	0.2929498908673471	0.5	0.5	1.3168733066319402	4.441234484066841E-5	4.441234484066839E-5	-14296.553740498997	0.0	-971.5116771760455
14090000	-15297.955617638407	-987.1912256904299	-14310.764391947976	7208.353141487594	7208.353141487594	274092.5540803399	0.0	140.73024812950274	3416.139850760508	2061.8749499023984	844.2242999514193	1562.480518835955	1389.7092830028455	1872.4607182821258	2753.296301177366	2286.9245584990367	2321.0306801890383	3617.3840165517213	6682.6979289606	2334.120404011033	1570.1039683211789	3064.779316314116	2918.9698282531244	3063.178888542861	2519.209528518612	0.0	140.73024812950274	3416.139850760508	2061.8749499023984	844.2242999514193	1562.480518835955	1389.7092830028455	1872.4607182821258	2753.296301177366	2286.9245584990367	2321.0306801890383	3617.3840165517213	6682.6979289606	2334.120404011033	1570.1039683211789	3064.779316314116	2918.9698282531244	3063.178888542861	2519.209528518612	6.645014838364011E-4	0.0	0.366	0.008379604820029831	0.20705889006538056	0.6893933803855	0.3106066196144946	0.5	0.5	1.026644302812888	4.9945421884175866E-5	4.994542188417586E-5	-14310.764391947976	0.0	-967.0288751885556
