# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:39 AEST 2020 [seed=1595747318382]
# -threads 8 xml/biphone_binary_SSGR_2020-07-23_ch2.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
17140000	-16469.033876404465	-2177.7355569057577	-14291.298319498706	6111.006991071519	6111.006991071519	289085.80086140527	0.0	81.4255798208495	4071.7232015879554	1913.7748275095191	2186.7198128890354	3129.2252785035635	1757.4594490278164	3490.872897816804	2508.9774872988232	2659.1718436892515	2367.573600371201	3809.3857064251943	5930.039595525166	3499.6201971437627	2883.4803955890925	1792.4013192873792	2606.497080706804	3928.768158551344	2840.2205584816456	0.0	81.4255798208495	4071.7232015879554	1913.7748275095191	2186.7198128890354	3129.2252785035635	1757.4594490278164	3490.872897816804	2508.9774872988232	2659.1718436892515	2367.573600371201	3809.3857064251943	5930.039595525166	3499.6201971437627	2883.4803955890925	1792.4013192873792	2606.497080706804	3928.768158551344	2840.2205584816456	6.631143545495715E-4	0.0	0.366	0.5582991637961778	4.141769420034185E-5	3.963109439814912E-5	3.545113906753396E-5	0.8890966708787855	0.15258114037842252	-14291.298319498706	-1199.394378775646	-967.4773437013973
17150000	-16450.729243601392	-2164.189315241784	-14286.539928359607	6267.813290277851	6267.813290277851	248224.7785432457	0.0	74.10706489371096	3274.663870088909	2418.480766021144	827.0209874014456	1885.9286192121315	1667.8431513450269	2579.503175442726	2244.5500382488076	2216.113626754353	2271.665971198062	2626.0347353295924	5505.131291882182	2881.4015535474346	2119.828965076654	1718.2782897859338	2032.286012565253	3824.177966734149	3200.707215591644	0.0	74.10706489371096	3274.663870088909	2418.480766021144	827.0209874014456	1885.9286192121315	1667.8431513450269	2579.503175442726	2244.5500382488076	2216.113626754353	2271.665971198062	2626.0347353295924	5505.131291882182	2881.4015535474346	2119.828965076654	1718.2782897859338	2032.286012565253	3824.177966734149	3200.707215591644	7.597826667633667E-4	0.0	0.366	0.5506813727657698	4.426828198336221E-5	4.160264831582857E-5	3.9373367179950775E-5	0.8475522086766016	0.2299275891694151	-14286.539928359607	-1199.394378775646	-953.9786125084557
17160000	-16459.855854357334	-2165.051845575422	-14294.804008781914	6088.884220444838	6088.884220444838	252128.08001399066	0.0	420.34528623025125	3553.1598154931216	1319.4475171155273	1153.553823302497	2306.354305435316	1604.0523533949709	2736.7959590277337	2575.5694824510833	3024.8065566519626	2534.2681491155363	2954.063657175703	5242.363465031303	2333.9154087227203	2361.145505363476	1544.5637111579301	2431.7899854125567	3325.055844838948	2857.865891760556	0.0	420.34528623025125	3553.1598154931216	1319.4475171155273	1153.553823302497	2306.354305435316	1604.0523533949709	2736.7959590277337	2575.5694824510833	3024.8065566519626	2534.2681491155363	2954.063657175703	5242.363465031303	2333.9154087227203	2361.145505363476	1544.5637111579301	2431.7899854125567	3325.055844838948	2857.865891760556	7.292218355903948E-4	0.0	0.366	0.5354123937237671	4.934595473423779E-5	4.9337909455535056E-5	4.115892427407198E-5	0.9076853498276646	0.19411953115893163	-14294.804008781914	-1199.394378775646	-955.3831299463842
17170000	-16463.36771373174	-2166.7548301337256	-14296.612883598014	6002.539158265242	6002.539158265242	256242.25156784404	0.0	133.68030367101875	2732.5803247314825	1567.0330502830593	2104.741311493065	2557.321097204651	1458.1546940726444	2953.110623556425	3113.2895812304796	4151.431131345757	2958.0163102693186	3001.541427105542	5495.753251013652	1472.0932049009728	2381.28501116945	1480.6616959548855	2378.957882550094	3560.9639901687065	2342.8234543127555	0.0	133.68030367101875	2732.5803247314825	1567.0330502830593	2104.741311493065	2557.321097204651	1458.1546940726444	2953.110623556425	3113.2895812304796	4151.431131345757	2958.0163102693186	3001.541427105542	5495.753251013652	1472.0932049009728	2381.28501116945	1480.6616959548855	2378.957882550094	3560.9639901687065	2342.8234543127555	7.421187920958546E-4	0.0	0.366	0.5003616780793183	4.605645684851534E-5	4.822989555904782E-5	3.7505455837109704E-5	0.9482120915517173	0.15277847825490903	-14296.612883598014	-1199.394378775646	-957.0964807641675
17180000	-16454.04490319793	-2157.9911245325547	-14296.053778665375	5580.495754030304	5580.495754030304	235942.66563352605	0.0	233.06676983904077	3677.8294684509024	1453.992182481884	1459.7618972661498	2618.6124725614386	1333.4686134115193	2499.5112001218413	2356.147419787852	4130.590388353873	2912.579722464431	2521.5648985089183	4580.715975556703	1655.1988453829742	2401.636901497106	1299.2076756605293	2138.4936121359638	3052.334254681053	1864.7346518518257	0.0	233.06676983904077	3677.8294684509024	1453.992182481884	1459.7618972661498	2618.6124725614386	1333.4686134115193	2499.5112001218413	2356.147419787852	4130.590388353873	2912.579722464431	2521.5648985089183	4580.715975556703	1655.1988453829742	2401.636901497106	1299.2076756605293	2138.4936121359638	3052.334254681053	1864.7346518518257	7.390077295245394E-4	0.0	0.366	0.5878692711727664	4.765455658416186E-5	4.207010729447726E-5	4.227305775430687E-5	0.8007111850957135	0.11227356542222085	-14296.053778665375	-1199.394378775646	-947.2658860481876
17190000	-16455.547131454532	-2164.049732473555	-14291.497398980977	5324.654327847686	5324.654327847686	255867.24897016853	0.0	860.035214552375	3578.013817356586	864.9103108823265	1861.8714096591698	3328.011168487201	1621.1371000983252	2485.0778134330003	2682.316797125252	2474.063536649679	3177.243712547576	2691.6322346728916	4991.116427321442	1540.6975495076026	1968.0411919106748	780.3919665465071	2145.8144381955844	3381.7007519000244	2224.629958151207	0.0	860.035214552375	3578.013817356586	864.9103108823265	1861.8714096591698	3328.011168487201	1621.1371000983252	2485.0778134330003	2682.316797125252	2474.063536649679	3177.243712547576	2691.6322346728916	4991.116427321442	1540.6975495076026	1968.0411919106748	780.3919665465071	2145.8144381955844	3381.7007519000244	2224.629958151207	7.001520276640101E-4	0.0	0.366	0.5194414704961946	4.2586031641782864E-5	3.950722294500639E-5	3.806109757741796E-5	0.8332988234706509	0.15386611714001583	-14291.497398980977	-1199.394378775646	-954.3973492670048
17200000	-16463.606420350803	-2163.6841895824405	-14299.922230768363	5846.532217391698	5846.532217391698	252406.31850616544	0.0	216.5163933345772	2399.8831872014043	1597.6534074497326	1203.9432391669513	2840.4494332921886	1754.542180042175	2743.7142086710496	2635.2898995437195	3731.936012575813	3298.7992763664884	2561.8100314783155	4391.991792985535	3052.7421189435563	1689.1913208109017	1051.0823057760656	2203.2837408286173	3067.5704015651772	2013.5475260998955	0.0	216.5163933345772	2399.8831872014043	1597.6534074497326	1203.9432391669513	2840.4494332921886	1754.542180042175	2743.7142086710496	2635.2898995437195	3731.936012575813	3298.7992763664884	2561.8100314783155	4391.991792985535	3052.7421189435563	1689.1913208109017	1051.0823057760656	2203.2837408286173	3067.5704015651772	2013.5475260998955	7.631413673003009E-4	0.0	0.366	0.5132979659400554	4.470248478560099E-5	4.428239586465078E-5	4.0839355836720996E-5	0.8643505663991354	0.16972478189079393	-14299.922230768363	-1199.394378775646	-953.3362537987556
17210000	-16425.841314301906	-2149.80389827658	-14276.037416025327	5165.991185668175	5165.991185668175	222829.50390494888	0.0	168.57892090671282	3905.367428548823	1588.0513724051564	1808.7826437611075	1958.0857182451336	1674.1771796942996	1868.116469733107	1918.4565281794012	2979.080678620372	2005.7986462077838	2562.2377505458094	4414.484365140774	2791.5802938924076	1493.3749348032916	1041.196312077721	2174.647004720844	3175.9267753487065	1802.572614893057	0.0	168.57892090671282	3905.367428548823	1588.0513724051564	1808.7826437611075	1958.0857182451336	1674.1771796942996	1868.116469733107	1918.4565281794012	2979.080678620372	2005.7986462077838	2562.2377505458094	4414.484365140774	2791.5802938924076	1493.3749348032916	1041.196312077721	2174.647004720844	3175.9267753487065	1802.572614893057	8.13507589599409E-4	0.0	0.366	0.5704201058946333	5.205298127438243E-5	4.808892160805813E-5	4.6756107025094615E-5	0.7974586903251614	0.18456917304282586	-14276.037416025327	-1199.394378775646	-939.5951853908224
17220000	-16448.963372323837	-2151.0788734137022	-14297.884498910134	5172.88187916021	5172.88187916021	229530.5316244822	0.0	316.4689738694541	2507.7971712080453	1519.3386503009056	1045.7894217371634	2110.83840803299	1804.4415476741283	2531.4384490155367	2187.3733567890295	1605.646347056554	2004.8043748950024	2207.3408516928334	4194.439173825614	2085.8095758130653	2184.2909817296077	1600.1641609432386	2202.980204186206	3396.170611007488	2210.3014192914293	0.0	316.4689738694541	2507.7971712080453	1519.3386503009056	1045.7894217371634	2110.83840803299	1804.4415476741283	2531.4384490155367	2187.3733567890295	1605.646347056554	2004.8043748950024	2207.3408516928334	4194.439173825614	2085.8095758130653	2184.2909817296077	1600.1641609432386	2202.980204186206	3396.170611007488	2210.3014192914293	8.303993112749417E-4	0.0	0.366	0.5508210930661185	4.7319266102061676E-5	3.962112804055203E-5	4.397053478729188E-5	0.7748873378964064	0.1772484260323303	-14297.884498910134	-1199.394378775646	-941.2048769665763
17230000	-16459.793138522487	-2160.327953180613	-14299.465185341876	5438.624757734594	5438.624757734594	237576.28265268012	0.0	560.930141149556	3262.903352850123	1297.8511152609253	1786.0120957345555	2158.947445651874	1806.0123840685471	2689.5312450092442	2455.6131983596592	1572.2669828167375	2102.997081943752	2315.477892737074	4232.079490431345	2745.9334136643724	2072.4430321275986	987.0757406531005	1891.1559541576553	4127.270652894051	2405.1115741343147	0.0	560.930141149556	3262.903352850123	1297.8511152609253	1786.0120957345555	2158.947445651874	1806.0123840685471	2689.5312450092442	2455.6131983596592	1572.2669828167375	2102.997081943752	2315.477892737074	4232.079490431345	2745.9334136643724	2072.4430321275986	987.0757406531005	1891.1559541576553	4127.270652894051	2405.1115741343147	6.512660871753466E-4	0.0	0.366	0.5849017928576177	5.179076550492575E-5	5.2484788078159725E-5	4.4516431767016954E-5	0.9530311866422025	0.20444644570113935	-14299.465185341876	-1199.394378775646	-949.5075139575362
17240000	-16456.911636877416	-2161.0942129194837	-14295.817423957933	5709.756921376032	5709.756921376032	246273.49490939218	0.0	396.7525821103543	4086.763698270016	1667.1454268384819	2053.142489354839	2211.115106757072	1942.7918876817112	1548.358423123612	3025.255362515602	2514.670467598843	1965.338970088934	2292.5570309054892	4704.6482642905075	3206.5481582085818	2603.7743063168614	798.9162102721434	2425.5361599062144	3348.06370351169	2388.495170330068	0.0	396.7525821103543	4086.763698270016	1667.1454268384819	2053.142489354839	2211.115106757072	1942.7918876817112	1548.358423123612	3025.255362515602	2514.670467598843	1965.338970088934	2292.5570309054892	4704.6482642905075	3206.5481582085818	2603.7743063168614	798.9162102721434	2425.5361599062144	3348.06370351169	2388.495170330068	7.177290886310609E-4	0.0	0.366	0.5822421446193926	4.494004057122243E-5	3.840199792291141E-5	4.1724025972166206E-5	0.7706102810331165	0.14233708950307958	-14295.817423957933	-1199.394378775646	-951.5285985066874
17250000	-16467.244026746313	-2161.3018743772964	-14305.942152369016	6230.089121920876	6230.089121920876	249462.83557967524	0.0	281.034860058407	3300.2532501820288	1059.6350423142726	1421.6832595377232	2413.9509350236626	1924.1261833355347	2568.807087545265	2696.1448046566156	2425.3824207805287	2102.6394131921656	2936.9739145742033	4474.814687152432	3350.5721950046486	2253.0512821179896	1384.8714165749018	2370.0197577233416	3231.9208295295216	2050.199896101365	0.0	281.034860058407	3300.2532501820288	1059.6350423142726	1421.6832595377232	2413.9509350236626	1924.1261833355347	2568.807087545265	2696.1448046566156	2425.3824207805287	2102.6394131921656	2936.9739145742033	4474.814687152432	3350.5721950046486	2253.0512821179896	1384.8714165749018	2370.0197577233416	3231.9208295295216	2050.199896101365	7.112861571912251E-4	0.0	0.366	0.5946439627447365	4.151687744460227E-5	3.984379290148748E-5	4.0261871858733144E-5	0.8946283230102611	-0.029800235207287747	-14305.942152369016	-1199.394378775646	-951.4373084815101
17260000	-16463.520999967637	-2165.4877332771975	-14298.033266690441	6412.394903496866	6412.394903496866	261428.2702906064	0.0	361.3223372263058	3879.229286084722	1593.4626590061864	2635.2731999407015	1679.221423645743	2199.85633710427	2765.848316257576	3237.824672020434	2853.708154132571	2266.516063448206	3229.968183816969	4442.232900690629	3539.8375209573805	2573.151819273333	1002.5645248519807	2732.084143016731	3481.3037916345593	2640.2794413075612	0.0	361.3223372263058	3879.229286084722	1593.4626590061864	2635.2731999407015	1679.221423645743	2199.85633710427	2765.848316257576	3237.824672020434	2853.708154132571	2266.516063448206	3229.968183816969	4442.232900690629	3539.8375209573805	2573.151819273333	1002.5645248519807	2732.084143016731	3481.3037916345593	2640.2794413075612	6.984950701926207E-4	0.0	0.366	0.5402613530272641	3.9390373984496163E-5	3.815480470916643E-5	3.831131881216812E-5	0.9084463745734211	0.1131476242437603	-14298.033266690441	-1199.394378775646	-955.6059252719626
17270000	-16478.97960294323	-2173.4311231232246	-14305.548479820003	6245.65188268014	6245.65188268014	281722.83615051414	0.0	656.505840300746	5841.851071943992	1312.235282275612	2532.27512537782	2405.7314816188027	2182.246017855049	2770.2442617023075	2186.950419357744	2961.727618280391	2452.395853919213	3544.3193447229196	4911.646070355542	3987.951160954492	2499.631272653503	1815.1395036195775	2748.607712570662	3239.9461452896635	2645.947814436147	0.0	656.505840300746	5841.851071943992	1312.235282275612	2532.27512537782	2405.7314816188027	2182.246017855049	2770.2442617023075	2186.950419357744	2961.727618280391	2452.395853919213	3544.3193447229196	4911.646070355542	3987.951160954492	2499.631272653503	1815.1395036195775	2748.607712570662	3239.9461452896635	2645.947814436147	6.980629447423125E-4	0.0	0.366	0.6287968038306921	4.025483834500516E-5	3.899980407538825E-5	3.8829407435997406E-5	0.8755373382054781	0.1552490062569681	-14305.548479820003	-1199.394378775646	-963.5067243620616
