# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:30 AEST 2020 [seed=1595747309846]
# -threads 8 xml/biphone_binary_SSHR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
100000	-17698.116932923433	-1987.5959090917947	-15710.52102383164	3456.5515606008184	3456.5515606008184	38769.187899326746	0.0	428.4488446215284	290.3540839402714	116.25261135056301	94.41186326045235	311.0092760119723	364.0731855146	177.00272672352324	594.4012922149884	58.51040848692028	238.52341650106462	596.9315736519779	527.4966206214616	226.8975680183293	346.04605999777607	21.37241928474239	537.1962737920411	3394.1038455051093	281.4480171862744	0.0	428.4488446215284	290.3540839402714	116.25261135056301	94.41186326045235	311.0092760119723	364.0731855146	177.00272672352324	594.4012922149884	58.51040848692028	238.52341650106462	596.9315736519779	527.4966206214616	226.8975680183293	346.04605999777607	21.37241928474239	537.1962737920411	3394.1038455051093	281.4480171862744	0.004495778690605092	0.0	0.366	8.556141376536825E-4	0.003261112910497505	2.185003797203965E-4	2.921371464509624	0.01684787386422424	-15710.52102383164	-1199.394378775646	-771.3372033401969
110000	-17708.452844133273	-1996.8138089011434	-15711.639035232129	3682.738681261988	3682.738681261988	42597.8603900233	0.0	554.1323123100599	495.6466931974368	100.14267028884625	111.07790511636061	314.3113561833404	427.22910634554984	169.84063273857547	558.7536752386488	82.78651698033619	313.05420295288644	632.546190861955	569.0381296115544	385.1685941150305	339.70000480048685	20.275069196505815	554.7487388300935	3617.842526164843	283.0264455619222	0.0	554.1323123100599	495.6466931974368	100.14267028884625	111.07790511636061	314.3113561833404	427.22910634554984	169.84063273857547	558.7536752386488	82.78651698033619	313.05420295288644	632.546190861955	569.0381296115544	385.1685941150305	339.70000480048685	20.275069196505815	554.7487388300935	3617.842526164843	283.0264455619222	0.004277738756496897	0.0	0.366	7.505763762942003E-4	0.0028904914793950794	1.9365639496293722E-4	2.8808721484478244	-0.013743981669840514	-15711.639035232129	-1199.394378775646	-781.3808533849049
120000	-17712.701761677414	-2009.4770166521378	-15703.224745025276	4046.829978927943	4046.829978927943	47668.82196714955	0.0	217.69527357068327	702.8930574675919	168.3780135497229	217.34426896852705	337.067091104151	444.7172367339196	190.37625770353267	510.7982147070964	132.04627749245586	340.06993274568333	738.8113123797801	674.0276502166749	383.06237743254087	388.856717480219	25.20169796821664	602.6097658519795	3922.5031035575844	415.4802109976564	0.0	217.69527357068327	702.8930574675919	168.3780135497229	217.34426896852705	337.067091104151	444.7172367339196	190.37625770353267	510.7982147070964	132.04627749245586	340.06993274568333	738.8113123797801	674.0276502166749	383.06237743254087	388.856717480219	25.20169796821664	602.6097658519795	3922.5031035575844	415.4802109976564	0.004100466388248808	0.0	0.366	6.604700452039638E-4	0.0025554053385702	1.6631042823007117E-4	2.9626650602987232	0.06203615788438669	-15703.224745025276	-1199.394378775646	-794.9699286949223
130000	-17690.354665098715	-1992.7209961665592	-15697.633668932156	3491.233541331453	3491.233541331453	41078.10913881978	0.0	225.9564259547169	588.4435865423325	111.66589248463372	146.40717249654642	256.0676849282943	361.5193264186265	164.95647093843868	441.5686515614053	107.15690868185237	281.3582408913129	699.5788142402442	578.5412706152059	298.4404117545764	304.0027422150653	21.6791515023655	541.7925607599971	3361.431399513554	335.74049025019895	0.0	225.9564259547169	588.4435865423325	111.66589248463372	146.40717249654642	256.0676849282943	361.5193264186265	164.95647093843868	441.5686515614053	107.15690868185237	281.3582408913129	699.5788142402442	578.5412706152059	298.4404117545764	304.0027422150653	21.6791515023655	541.7925607599971	3361.431399513554	335.74049025019895	0.0042830431470855185	0.0	0.366	7.48772584274215E-4	0.0026857384442567607	1.9800112632607637E-4	2.8238197051655383	0.008236854565369229	-15697.633668932156	-1199.394378775646	-776.7084350181103
140000	-17686.381997390657	-2000.9731505244342	-15685.408846866225	3558.9070627680517	3558.9070627680517	44796.03405582224	0.0	205.97380574664726	578.340242546825	153.27328823596315	238.65514367647165	309.65100883700734	403.30023752821387	167.42835918148882	478.2898773499865	146.30003615064928	385.498241992975	794.5412746726971	624.764250304325	281.6218385250494	377.92874115390254	23.146379944838618	583.4360609628782	3409.087191451938	357.9057113655281	0.0	205.97380574664726	578.340242546825	153.27328823596315	238.65514367647165	309.65100883700734	403.30023752821387	167.42835918148882	478.2898773499865	146.30003615064928	385.498241992975	794.5412746726971	624.764250304325	281.6218385250494	377.92874115390254	23.146379944838618	583.4360609628782	3409.087191451938	357.9057113655281	0.0045573745685805415	0.0	0.366	6.691089989891901E-4	0.002383374956249539	1.8248933307978465E-4	2.7813929867100557	-0.0019789786982651776	-15685.408846866225	-1199.394378775646	-785.2952333228395
150000	-17675.436742250273	-2013.1192451994912	-15662.317497050783	3793.094551373443	3793.094551373443	50605.38344339727	0.0	228.12536683782218	563.2395768592874	172.31373000404574	188.79003725221025	375.6136409266179	483.68728455824953	238.11445875236814	381.23978445862866	176.6850088635372	449.09199586837497	883.5754931579523	714.4137113043499	279.08538541389174	353.03032174747375	31.259332254065132	685.3765940502749	3752.568581056857	373.48956922000394	0.0	228.12536683782218	563.2395768592874	172.31373000404574	188.79003725221025	375.6136409266179	483.68728455824953	238.11445875236814	381.23978445862866	176.6850088635372	449.09199586837497	883.5754931579523	714.4137113043499	279.08538541389174	353.03032174747375	31.259332254065132	685.3765940502749	3752.568581056857	373.48956922000394	0.004076021689537694	0.0	0.366	5.738963226584117E-4	0.0018605279503063452	1.684079224118373E-4	2.605886199511459	-0.021579291289111666	-15662.317497050783	-1199.394378775646	-798.1389641878893
160000	-17694.56402708334	-2026.3842874773966	-15668.179739605943	3835.295738157317	3835.295738157317	60338.53492183709	0.0	343.54634190512286	510.06503866664895	166.7662369929328	297.4167170474761	536.6323987526439	525.817188502759	296.4301022177682	438.6850774128475	241.62130201707424	569.1203268537045	1052.1727858191346	811.822715326735	648.0480031378654	377.92395961375894	38.22136304377551	820.4725035286004	3375.053010015404	607.7039577416596	0.0	343.54634190512286	510.06503866664895	166.7662369929328	297.4167170474761	536.6323987526439	525.817188502759	296.4301022177682	438.6850774128475	241.62130201707424	569.1203268537045	1052.1727858191346	811.822715326735	648.0480031378654	377.92395961375894	38.22136304377551	820.4725035286004	3375.053010015404	607.7039577416596	0.0027640330525671225	0.0	0.366	4.637311755299271E-4	0.0015327755927688343	1.3476262453171605E-4	2.6749383080634748	0.01034701794501002	-15668.179739605943	-1199.394378775646	-812.0057779625074
170000	-17687.315695587462	-2043.0708076653616	-15644.244887922101	3681.8073946113227	3681.8073946113227	71725.69125802103	0.0	166.28409591455585	688.412603827989	214.97713593513367	485.4430001834346	400.34766758256757	693.5082709606073	373.2025697587665	421.86911903122893	287.4909761638196	609.6839976349049	1209.3169593035566	1030.8374323017108	761.6958119737864	378.5546553068974	50.18275528250589	973.4345019277487	3492.8809817690985	856.2088963381171	0.0	166.28409591455585	688.412603827989	214.97713593513367	485.4430001834346	400.34766758256757	693.5082709606073	373.2025697587665	421.86911903122893	287.4909761638196	609.6839976349049	1209.3169593035566	1030.8374323017108	761.6958119737864	378.5546553068974	50.18275528250589	973.4345019277487	3492.8809817690985	856.2088963381171	0.002764188021895256	0.0	0.366	3.504712403327446E-4	0.001139956718794568	1.0954205642448747E-4	2.589693386592983	-0.042310509022401716	-15644.244887922101	-1199.394378775646	-828.1892399900731
180000	-17700.490031199402	-2067.7536306456036	-15632.7364005538	4447.195557758394	4447.195557758394	93286.28438023334	0.0	111.74186591078184	815.0506433362823	337.40926761868076	626.04439952602	507.51034283083726	871.8611347713412	419.16152269001464	536.59280027296	338.15984230029454	867.7028383384938	1494.821771011715	1293.341681298441	994.3664215347588	806.597084496299	88.75592008972032	1255.6972184169	3574.490791182431	1107.0404834198114	0.0	111.74186591078184	815.0506433362823	337.40926761868076	626.04439952602	507.51034283083726	871.8611347713412	419.16152269001464	536.59280027296	338.15984230029454	867.7028383384938	1494.821771011715	1293.341681298441	994.3664215347588	806.597084496299	88.75592008972032	1255.6972184169	3574.490791182431	1107.0404834198114	0.0019272837013250897	0.0	0.366	2.812020229124705E-4	9.33170564805049E-4	8.609871044624467E-5	2.5975469704423246	0.020302320206941452	-15632.7364005538	-1199.394378775646	-855.3703655970106
190000	-17709.589610651463	-2083.693386224341	-15625.896224427122	4237.759286673337	4237.759286673337	105717.52440544707	0.0	118.89802273258981	1177.2822300788239	376.6647472617409	920.571066327351	473.55454009508907	1025.4927667582433	488.02777400629566	550.68122154493	463.71428307701916	919.7459427332641	1790.5663039224514	1573.8426936614057	1332.5620881137236	446.64278195901653	81.24190730658997	1307.1314428205674	4036.615215285245	1277.2151353488441	0.0	118.89802273258981	1177.2822300788239	376.6647472617409	920.571066327351	473.55454009508907	1025.4927667582433	488.02777400629566	550.68122154493	463.71428307701916	919.7459427332641	1790.5663039224514	1573.8426936614057	1332.5620881137236	446.64278195901653	81.24190730658997	1307.1314428205674	4036.615215285245	1277.2151353488441	0.0018818419850440166	0.0	0.366	2.3353270079255867E-4	7.390432834915553E-4	7.581349846714161E-5	2.62104552656268	0.04407648204000696	-15625.896224427122	-1199.394378775646	-870.151699399703
