# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 20:44:44 BST 2019 [seed=666]
# -overwrite -seed 666 testConstantPopulationSizeModel.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.logPopSize	N0	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
10000	-3925.040317994579	-74.73117556372496	-3850.3091424308536	67.21981633869346	1926.7801836613066	256.5844940640218	3.4031439940362826	30.05845524761929	17.620714376882216	0.303781962139189	0.22226408939108974	0.23919216004132499	0.2347617884283964	8.375925252712028E-4	8.375925252712029E-4	-3850.3091424308536	0.0	-70.21318352590907
11000	-3920.0600925543113	-74.349506717285	-3845.7105858370264	69.11907887258258	1924.8809211274174	261.5631041015332	2.9394085153138887	18.90466118707773	17.752743856681118	0.28953225689592094	0.21182282533050245	0.23449909754242235	0.26414582023115424	7.643126767623212E-4	7.643126767623212E-4	-3845.7105858370264	0.0	-71.35611904836698
12000	-3929.2874949421835	-78.50342930903659	-3850.784065633147	63.8855204759618	1930.1144795240382	268.74453329802566	3.6510469721988104	38.51496904912277	21.071758782681197	0.27208390021444295	0.2225361330120463	0.24415381226977104	0.2612261545037396	7.968258603055204E-4	7.968258603055202E-4	-3850.784065633147	0.0	-72.75688236942916
13000	-3925.0582257727606	-73.73568500486566	-3851.322540767895	66.70416461863307	1927.295835381367	256.0928305213904	3.4015310492921693	30.010011699097486	13.721341598787843	0.2842854741345659	0.20597890416057316	0.2455713873669292	0.2641642343379316	8.532916457376067E-4	8.532916457376068E-4	-3851.322540767895	0.0	-69.73863027859716
14000	-3920.8476403131126	-73.24243389911584	-3847.6052064139967	70.74613770058112	1923.2538622994189	255.52294773454437	3.161027565184191	23.59482870105961	20.23265102555995	0.2712864046959441	0.22436171361206503	0.2425150852216052	0.2618367964703855	8.931764243314804E-4	8.931764243314803E-4	-3847.6052064139967	0.0	-69.16189665979378
15000	-3936.1364413564283	-78.42209354025346	-3857.7143478161747	63.90065336422715	1930.099346635773	265.3899822807151	3.135085373320276	22.990598541985175	30.662033838140292	0.2590983381034086	0.22214867696050045	0.27584567092966783	0.24290731400642301	8.015351809314041E-4	8.015351809314041E-4	-3857.7143478161747	0.0	-73.50669735180753
16000	-3925.387467786448	-76.89101544730887	-3848.496452339139	61.974304398150394	1932.0256956018495	255.9539680877388	3.652344448202279	38.5649737301602	16.654609272214845	0.26540605598305084	0.22710898289866757	0.25986148735315084	0.24762347376513058	8.846763854075217E-4	8.846763854075217E-4	-3848.496452339139	0.0	-71.57663211601917
17000	-3924.405182573062	-72.2734223399982	-3852.1317602330637	61.890405373019014	1932.1095946269809	235.00558776997977	3.046510245297116	21.04178547603123	15.127861071373612	0.2839924186616294	0.21635686747896965	0.2608603691000137	0.23879034475938704	9.97457374536257E-4	9.974573745362572E-4	-3852.1317602330637	0.0	-69.08231189587337
18000	-3924.9880322229587	-77.79450443166141	-3847.193527791297	71.90853536261004	1922.09146463739	274.8042531280445	2.9467774117791117	19.044482208694454	20.12498682727121	0.2880183850547445	0.20328994974137143	0.244785495688717	0.26390616951516693	7.345124535249273E-4	7.345124535249275E-4	-3847.193527791297	0.0	-74.54098898241432
19000	-3924.4931921394227	-74.75692810145483	-3849.736264037968	66.56235700851458	1927.4376429914855	261.9817955839742	3.1751803389196986	23.931135194320934	20.41764558665685	0.31023059653923996	0.19619602172787773	0.2371348314517098	0.25643855028117235	7.735587680819647E-4	7.735587680819647E-4	-3849.736264037968	0.0	-70.72067363182627
