# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 19:27:11 BST 2019 [seed=666]
# -overwrite -seed 666 testExponentialPopulationSizeModel.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.logPopSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
17000	-3923.530458496657	-76.005501242102	-3847.524957254555	70.72523784952989	1923.27476215047	277.62025180373837	3.050806023685894	-0.014448712621267346	21.130756130502093	0.2712551970470887	0.21398567158183762	0.24636643913029574	0.2683926922407777	8.136359461748585E-4	8.136359461748587E-4	-3847.524957254555	0.0	-71.55032755830803
18000	-3933.484756828859	-78.15913646079812	-3855.325620368061	71.20911102045017	1922.79088897955	279.50873025853144	2.9794894835050334	-0.02934811413155236	14.045526670758205	0.2880327043342703	0.20150010457217174	0.2387422170329026	0.2717249740606552	8.373585952731175E-4	8.373585952731172E-4	-3855.325620368061	0.0	-74.77603719224098
19000	-3922.3956895164897	-73.8449872573724	-3848.5507022591173	66.74576660378277	1927.2542333962172	254.27950396535974	2.349237346066225	-0.02934811413155236	14.869863747117977	0.29580078143567334	0.2149103779061961	0.25338486013666883	0.23590398052146147	8.809269566872226E-4	8.809269566872223E-4	-3848.5507022591173	0.0	-71.96047614945122
20000	-3931.2961298950977	-77.86915566964576	-3853.426974225452	71.23498233882432	1922.7650176611758	284.58986795012237	2.8777139685013076	-0.028046162981210543	14.547327383299155	0.29392885825001097	0.22548955471056223	0.24254272919268366	0.23803885784674292	8.427745935469449E-4	8.427745935469451E-4	-3853.426974225452	0.0	-74.71301257218414
21000	-3930.986220842706	-80.6449623181832	-3850.341258524523	79.47694411051114	1914.523055889489	322.06562700849145	2.8276091516219415	-0.028046162981210543	15.801360231888268	0.278857932350816	0.20545913515530184	0.26308934936477985	0.2525935831291022	6.3656517723499E-4	6.365651772349901E-4	-3850.341258524523	0.0	-77.69509370909542
22000	-3926.5599142687615	-79.00811523577764	-3847.551799032984	80.69014610752198	1913.309853892478	316.83158373403296	2.928235282873171	-0.028046162981210543	19.492577793048916	0.28506935102930664	0.20195827865450622	0.2562733659477148	0.25669900436847215	7.236096728114085E-4	7.236096728114084E-4	-3847.551799032984	0.0	-75.21160251925869
23000	-3921.50434718592	-74.60023860675857	-3846.9041085791614	70.36779475597659	1923.6322052440235	270.72232268083826	2.6976145649795233	-0.024980909515148753	16.177477593308655	0.28018686483755	0.204077389633048	0.25227389230023384	0.26346185322916793	8.327818754141836E-4	8.327818754141835E-4	-3846.9041085791614	0.0	-71.72074973770935
24000	-3922.0752940954007	-74.29515941077142	-3847.7801346846295	67.48093673648523	1926.5190632635147	261.8770892414113	2.8192575988446356	-0.015994456644482957	15.447236450429399	0.2952973954522293	0.19268433964720394	0.2559828488466598	0.2560354160539068	7.951979069612037E-4	7.951979069612037E-4	-3847.7801346846295	0.0	-71.21103585804438
25000	-3929.58327952742	-77.65261802852798	-3851.930661498892	71.09385496557547	1922.9061450344245	279.56491510007214	3.2378512128659973	-0.005555295786175307	17.92816241867472	0.30139282461292327	0.19633008728019863	0.25111559288672164	0.25116149522015624	8.426164524900306E-4	8.426164524900308E-4	-3851.930661498892	0.0	-72.9659382868238
26000	-3922.082541874447	-73.83184543441696	-3848.25069644003	61.36855380200542	1932.6314461979946	236.6747481645753	2.711462713703129	-0.005555295786175307	13.303821294237594	0.26942164551038583	0.2107422842531025	0.25655298866270054	0.263283081573811	9.598274336074722E-4	9.59827433607472E-4	-3848.25069644003	0.0	-71.20099532698455
