# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Oct 27 10:05:04 AEST 2020 [seed=1603757075952]
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(KanyaraMantharta)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha.2	bcov.s.2	frequencies.21	frequencies.22	hfrequencies.21	hfrequencies.22	alpha	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	biphone_binary_2020-10-12.ucld.mean	biphone_binary_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	biphone_binary_2020-10-12.meanRate	biphone_binary_2020-10-12.coefficientOfVariation	biphone_binary_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	biphone_binary_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	biphone_binary_2020-10-12.branchRates	speciation
370000	-22006.909300945208	-1041.1480972850175	-20965.76120366019	6591.830871418634	126383.89327105189	2973.3083653882813	4828.790203229781	1844.7523825026665	4244.348549204694	2635.042503365236	2312.69970363705	4084.2528014058503	3086.6053839584856	5.035066587461719E-4	0.0	0.537	0.27382238407118176	0.1504375123519783	0.9010239841649847	0.09897601583501552	0.5	0.5	8.759258749605819E-4	0.11541030302079722	0.6916308019884017	0.30836919801159796	0.5	0.5	0.2999103237976955	9.481343790599214E-5	1.673358869994894E-4	5.6865858172100465E-5	8.656394194886654E-5	5.259217668072302E-5	1.7193031728498578	0.01282731172930416	4.274305055692145E-5	1.0023445869850487	0.038613124638821696	-11218.108479732873	-4700.890571811858	-383.0738674778016	-383.0738674778016	-382.8481419173934
380000	-22002.258317182317	-1048.6281057236235	-20953.630211458694	6903.905790965923	125340.50148202071	2996.91094116457	4754.451798982746	2001.7106299008944	4276.33115397771	2470.8377234866193	1906.2968744153743	3806.880684603349	3058.827254705353	5.818138329828627E-4	0.0	0.537	0.3245391947090427	0.12380977037460039	0.9048549518311526	0.09514504816884774	0.5	0.5	0.004640334196553486	0.19214496064977335	0.6589906489171189	0.3410093510828808	0.5	0.5	0.33519781093261725	8.909786589045656E-5	1.6146077488152688E-4	5.450247041331085E-5	8.393597418529147E-5	5.028852441382657E-5	1.671733194701087	9.665458186322397E-4	3.636658089924652E-5	1.1190910428894545	-0.0377172317249237	-11214.63582573158	-4701.696069301348	-383.0738674778016	-383.0738674778016	-383.6939158250818
390000	-21994.6736357618	-1045.599727400575	-20949.073908361224	6963.654993231029	128410.98858968802	3343.9178545013856	4676.137214593121	2146.9962565716446	4130.526443872277	2632.0016186688563	2030.4337310370802	4438.811958524715	3118.561970213694	4.316128381409794E-4	0.0	0.537	0.2580249222478943	0.13032896550248263	0.9005020771222106	0.09949792287778973	0.5	0.5	0.0022406958346539454	0.1605506479189332	0.6842311908308861	0.31576880916911354	0.5	0.5	0.34943020138076447	9.173309326216746E-5	1.736140106149401E-4	4.324923413027472E-5	6.621659766453126E-5	5.1941272093152815E-5	1.750243816438291	-0.14631820404426854	3.360843746674343E-5	1.1283357556452054	0.317493974890165	-11217.997048413483	-4707.664671584669	-383.0738674778016	-383.0738674778016	-383.8232268135562
400000	-22000.550276431117	-1046.220917197145	-20954.329359233972	6914.48110848611	131196.8163743624	3155.5938119214075	5275.997488557193	2386.900201420064	4373.199576852668	2619.5062782863592	2738.1347524865105	4510.691988234715	3072.1021697575943	5.050125952800979E-4	0.0	0.537	0.15121457898465143	0.16761283628399332	0.8967134712686722	0.10328652873132839	0.5	0.5	0.002260213435827327	0.17924606106041716	0.6878836832171532	0.3121163167828466	0.5	0.5	0.3314516595470785	9.973342541359365E-5	2.0201052165524515E-4	6.082442689169392E-5	9.903890579977626E-5	5.575489292918747E-5	1.7770013724521732	-0.04591654724692202	3.9847397775336656E-5	1.2245718120064621	0.04233243277973727	-11217.109722154242	-4699.360756093547	-383.0738674778016	-383.0738674778016	-384.80956809659295
410000	-21981.1820821851	-1048.0027552756349	-20933.179326909463	6875.46259298066	128300.22030205806	3171.6219838616707	4823.544239037778	2310.7980925111756	4362.02063893993	2758.66516388221	1759.513748402182	3848.129588375636	3054.0731595668763	5.672891641508268E-4	0.0	0.537	0.1972029166013467	0.13600335720124612	0.8980418692782729	0.10195813072172764	0.5	0.5	5.357542700185092E-4	0.1373403605566384	0.6719950858154615	0.32800491418453837	0.5	0.5	0.3522280566893864	9.660735444542323E-5	1.8213281099625875E-4	6.422705332550191E-5	1.2155275750294217E-4	5.7388240009370946E-5	1.753142160790481	-0.10727510361013602	4.304848254001809E-5	1.2203041101533052	0.0869340719896688	-11223.376744311796	-4702.470595583569	-383.0738674778016	-383.0738674778016	-384.6773300857821
420000	-21997.08956691884	-1042.5202487942863	-20954.56931812455	6819.727622655324	125881.67152075055	3302.3136454749256	5146.165072252537	2442.5055721081358	3978.530166722019	2645.9417248479967	2370.686521724895	3702.396531408939	3012.863238637471	5.677594871107742E-4	0.0	0.537	0.25796971809657476	0.16046380058438822	0.9061917431059897	0.09380825689401072	0.5	0.5	0.0057531608141686095	0.15710415750685186	0.6726524882136621	0.32734751178633786	0.5	0.5	0.2790132380086168	9.971442466295411E-5	2.2383118175858924E-4	5.11549777044859E-5	1.0497741111121161E-4	5.360461195735863E-5	1.862263559020362	-0.07223486587352887	3.48357726742559E-5	1.2873970939954182	0.16359188579898037	-11229.286339330672	-4706.648813178277	-383.0738674778016	-383.0738674778016	-383.7150330285477
430000	-22002.231687753178	-1047.406573372622	-20954.825114380554	6944.583421714937	128932.17613054388	3331.120843980798	5310.176409981947	2486.4160219981795	4143.813833429062	2687.6932628897493	2321.465822940553	3857.742961170432	3015.1399692929886	4.484304742339318E-4	0.0	0.537	0.21420752842907342	0.10675358346318801	0.8978290127091201	0.10217098729088027	0.5	0.5	0.0011716947725423253	0.16575317515380653	0.6846068916254516	0.31539310837454815	0.5	0.5	0.3116746440167025	9.801956922012377E-5	2.121222014578812E-4	5.147272888659045E-5	1.1001498231005718E-4	5.522620109652443E-5	1.8727974816379178	-0.1446350723835973	3.335413628724569E-5	1.3262431891539133	0.14989489011694498	-11231.857177906802	-4700.741798540617	-383.0738674778016	-383.0738674778016	-383.8051821437084
440000	-22024.802442019813	-1048.5333479128622	-20976.269094106952	6875.570058653908	131680.09900400735	3195.460030693847	5232.637762368213	2597.1909727077577	4394.123490330445	2753.653761820287	2223.379133122849	3678.9901919606077	3234.0902406236905	4.327608680800843E-4	0.0	0.537	0.19933514853247256	0.143375004718324	0.886459561863256	0.11354043813674433	0.5	0.5	0.0038661914116504396	0.1742617592341939	0.707125552969012	0.2928744470309876	0.5	0.5	0.35931285885199044	9.538062990926787E-5	2.016782708768382E-4	4.626673430697671E-5	8.122760036792437E-5	5.6365455612449495E-5	1.8351901288235617	-0.16640443795200555	3.351752970776936E-5	1.179646724468317	0.11855080147618928	-11228.65347771487	-4704.965830314663	-383.0738674778016	-383.0738674778016	-384.6581075131315
450000	-22003.547588238835	-1045.2376055281986	-20958.309982710634	6959.134798086522	125078.4464134695	3361.6694963620225	4808.489194857336	2305.499412434013	4309.120931292171	2471.6278101167604	1904.3332744073182	3466.5356317246833	3041.3129392237083	4.8619085511122126E-4	0.0	0.537	0.13076578673481296	0.17343002101793936	0.8929274416951033	0.10707255830489716	0.5	0.5	0.007856212317168237	0.17387605852903049	0.6909449162533292	0.3090550837466704	0.5	0.5	0.2941228910056197	9.7698172701319E-5	1.966613255668425E-4	5.285929700683416E-5	7.038405217472007E-5	5.811668876712936E-5	1.7429053328086623	-0.008578443366718546	3.6207765815663245E-5	1.109584916259398	0.1540685162657229	-11218.243587763869	-4708.548841728661	-383.0738674778016	-383.0738674778016	-382.59415085108554
460000	-22001.166010726898	-1041.235818543649	-20959.93019218325	6887.36843423012	120773.13408619801	2924.3821783219	4537.508216238754	2284.54675251999	4332.00312227501	2324.645331446702	1823.3598253452856	3400.9720496665245	3018.579715740048	5.068050346925759E-4	0.0	0.537	0.18841050483212327	0.14650073662535118	0.8961751018792585	0.10382489812074193	0.5	0.5	0.006057183180751265	0.14107440357124523	0.6694201501518086	0.33057984984819094	0.5	0.5	0.30680563427449	9.802621785280542E-5	1.824143595266063E-4	6.290752537069253E-5	9.87860173781623E-5	5.968912941314415E-5	1.5785970378151128	-9.583788001802797E-4	3.9689298446968675E-5	1.1974448535862776	0.06766290025594611	-11228.027326266621	-4697.7202450814775	-383.0738674778016	-383.0738674778016	-381.2106514845518
