# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:39 AEST 2020 [seed=1595747318892]
# -threads 8 xml/biphone_binary_SSHS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	clock.rate	meanRate	treeLikelihood	branchRates	speciation
15000000	-16815.734916417558	-996.253203796704	-15819.481712620855	7617.618049661079	7617.618049661079	316688.6599248668	0.0	801.7993874702322	2467.8557206358005	3164.331895518698	1327.1969618470446	1866.6645471080687	1936.72684865177	2286.13035502125	3576.8471224066016	3923.552531173529	1933.843992427854	4218.657296305803	6821.913778794609	2374.948179397707	1739.8782194976056	3357.08256853774	3308.2057557850158	3501.048406735569	3295.590376484862	0.0	801.7993874702322	2467.8557206358005	3164.331895518698	1327.1969618470446	1866.6645471080687	1936.72684865177	2286.13035502125	3576.8471224066016	3923.552531173529	1933.843992427854	4218.657296305803	6821.913778794609	2374.948179397707	1739.8782194976056	3357.08256853774	3308.2057557850158	3501.048406735569	3295.590376484862	5.957521113819642E-4	0.0	0.366	2.4194527549045995E-5	2.4194527549046005E-5	-15819.481712620855	0.0	-978.6650569334645
15010000	-16818.360290018336	-997.0045104060586	-15821.355779612279	7684.435911890419	7684.435911890419	314224.1200793503	0.0	551.3018757155058	4050.59313707557	2760.1805493731013	1281.001081870622	1887.9345316570248	2056.263089017393	2144.127411972461	3780.441589666025	3369.3769782080058	1794.383229613086	4235.445770539352	6582.242463904216	2252.2283267417242	1713.7506621625905	3821.083608312873	3352.1606990490036	3823.5849682882395	3938.545380859317	0.0	551.3018757155058	4050.59313707557	2760.1805493731013	1281.001081870622	1887.9345316570248	2056.263089017393	2144.127411972461	3780.441589666025	3369.3769782080058	1794.383229613086	4235.445770539352	6582.242463904216	2252.2283267417242	1713.7506621625905	3821.083608312873	3352.1606990490036	3823.5849682882395	3938.545380859317	6.613590414776817E-4	0.0	0.366	2.475347678711329E-5	2.4753476787113298E-5	-15821.355779612279	0.0	-978.7816768502009
15020000	-16807.45398460692	-981.0896865306715	-15826.364298076249	7151.673747960345	7151.673747960345	279778.65337094397	0.0	433.7282611473741	3363.430981494861	1970.591709335086	1856.1045871815054	1484.0542247221997	1841.9657450454629	1871.0001917855463	2285.205754065033	2745.5843961555856	1829.2481014389882	4101.911734586575	5877.875649350136	2134.9379645912527	1662.768642688531	2953.8840545921166	3113.3717430222837	3196.633855286483	3201.5259787152027	0.0	433.7282611473741	3363.430981494861	1970.591709335086	1856.1045871815054	1484.0542247221997	1841.9657450454629	1871.0001917855463	2285.205754065033	2745.5843961555856	1829.2481014389882	4101.911734586575	5877.875649350136	2134.9379645912527	1662.768642688531	2953.8840545921166	3113.3717430222837	3196.633855286483	3201.5259787152027	6.976928813711253E-4	0.0	0.366	2.7727946352709166E-5	2.7727946352709153E-5	-15826.364298076249	0.0	-964.8075455658685
15030000	-16810.811134667005	-983.0956921173055	-15827.7154425497	6945.376041930811	6945.376041930811	284853.7398285212	0.0	351.766594461707	3194.717972595952	2751.008647321784	1394.2065785756035	1349.682169209694	1614.5732390715457	1799.502933625326	3040.957931756253	2326.520065090185	1809.468215546562	4562.274111696327	5814.029343347389	1702.9971328876877	2051.6455883714684	4525.907390365595	3019.5783680078052	3118.7267811461284	3626.0397585767682	0.0	351.766594461707	3194.717972595952	2751.008647321784	1394.2065785756035	1349.682169209694	1614.5732390715457	1799.502933625326	3040.957931756253	2326.520065090185	1809.468215546562	4562.274111696327	5814.029343347389	1702.9971328876877	2051.6455883714684	4525.907390365595	3019.5783680078052	3118.7267811461284	3626.0397585767682	6.834516338490617E-4	0.0	0.366	2.784937100882826E-5	2.7849371008828257E-5	-15827.7154425497	0.0	-967.0128604788581
15040000	-16807.547956036466	-990.4502039021133	-15817.097752134354	7189.087181065642	7189.087181065642	301119.1736806272	0.0	329.12416566601263	3800.558515898843	2691.3634034209504	1268.4806149134183	1886.2405743275685	1854.7006962676967	2380.401967049928	3195.976914093977	2908.84135172036	1885.8218485417565	5038.042006180631	6055.10732854802	1709.6478452866859	1621.122999625027	3685.645164732955	3188.070493814649	3153.0982172846916	3789.7737661523474	0.0	329.12416566601263	3800.558515898843	2691.3634034209504	1268.4806149134183	1886.2405743275685	1854.7006962676967	2380.401967049928	3195.976914093977	2908.84135172036	1885.8218485417565	5038.042006180631	6055.10732854802	1709.6478452866859	1621.122999625027	3685.645164732955	3188.070493814649	3153.0982172846916	3789.7737661523474	6.945529197838023E-4	0.0	0.366	2.5609735343555177E-5	2.5609735343555166E-5	-15817.097752134354	0.0	-973.9422259034844
15050000	-16795.614652716016	-982.3290919812251	-15813.285560734792	6774.449357124258	6774.449357124258	279682.55623202823	0.0	247.15961587431	2367.3896469618594	3095.32751489301	1151.6203738271292	1457.3451359367014	1382.8590602612744	2094.653544999746	2840.150891503835	2617.3165423937685	1660.5907679197078	4300.191140817641	5589.267619161062	1559.1620849154347	1692.1987773540386	3219.915391871472	2883.4255033411137	3052.533234999992	3526.075820808179	0.0	247.15961587431	2367.3896469618594	3095.32751489301	1151.6203738271292	1457.3451359367014	1382.8590602612744	2094.653544999746	2840.150891503835	2617.3165423937685	1660.5907679197078	4300.191140817641	5589.267619161062	1559.1620849154347	1692.1987773540386	3219.915391871472	2883.4255033411137	3052.533234999992	3526.075820808179	7.309383991145797E-4	0.0	0.366	2.7977348208114425E-5	2.7977348208114462E-5	-15813.285560734792	0.0	-965.9581163621978
15060000	-16808.06514541025	-987.8750223722973	-15820.190123037955	7066.61882534191	7066.61882534191	291264.7883466306	0.0	297.21475155970546	3421.58842362557	2425.6853892492563	1748.0476990392267	1334.9187002984904	1579.2572426678887	1801.4876486896108	3512.7586890823136	2525.3365494606446	1555.8003356533425	4208.950323687129	6078.919076329873	1705.404050160436	1761.6178132081304	4347.843873733721	2967.6978910180155	3033.8639587246203	3480.4007410142212	0.0	297.21475155970546	3421.58842362557	2425.6853892492563	1748.0476990392267	1334.9187002984904	1579.2572426678887	1801.4876486896108	3512.7586890823136	2525.3365494606446	1555.8003356533425	4208.950323687129	6078.919076329873	1705.404050160436	1761.6178132081304	4347.843873733721	2967.6978910180155	3033.8639587246203	3480.4007410142212	6.10451055243859E-4	0.0	0.366	2.6438406723923163E-5	2.6438406723923157E-5	-15820.190123037955	0.0	-970.4976735814762
15070000	-16795.375495321747	-990.8530599355495	-15804.522435386198	7516.515946456776	7516.515946456776	298444.79008040053	0.0	476.9473765023007	2792.4537916751806	3216.540759420732	1939.499457088816	1804.6248297731647	1731.7215391572154	1791.1731958582034	3178.3901540446	2471.059101146395	1687.6303055492465	4339.0903625884475	6383.232725819698	2148.3951359848224	2056.3985334619883	3370.4055595117716	3018.799490815014	3055.4613083727672	3418.192392435143	0.0	476.9473765023007	2792.4537916751806	3216.540759420732	1939.499457088816	1804.6248297731647	1731.7215391572154	1791.1731958582034	3178.3901540446	2471.059101146395	1687.6303055492465	4339.0903625884475	6383.232725819698	2148.3951359848224	2056.3985334619883	3370.4055595117716	3018.799490815014	3055.4613083727672	3418.192392435143	5.871872923271952E-4	0.0	0.366	2.645973107245096E-5	2.6459731072450948E-5	-15804.522435386198	0.0	-972.6420421572861
15080000	-16798.543117380068	-988.7937021289296	-15809.749415251139	7297.585237233954	7297.585237233954	297725.14257166046	0.0	347.63946627605657	4058.5375383735227	2675.5038814447585	1617.7299579575006	1463.124787335375	1569.7278682105243	1786.7301709062024	3547.6241535295403	3315.9399216331453	2018.0389065963325	4072.2162860244653	6199.564553638564	2309.027378985157	1715.1537653534822	4334.076788575843	3195.239347072187	3108.403410829968	4104.679251920218	0.0	347.63946627605657	4058.5375383735227	2675.5038814447585	1617.7299579575006	1463.124787335375	1569.7278682105243	1786.7301709062024	3547.6241535295403	3315.9399216331453	2018.0389065963325	4072.2162860244653	6199.564553638564	2309.027378985157	1715.1537653534822	4334.076788575843	3195.239347072187	3108.403410829968	4104.679251920218	5.931148169799264E-4	0.0	0.366	2.597451333605108E-5	2.5974513336051058E-5	-15809.749415251139	0.0	-971.7693074875698
15090000	-16805.68374774586	-990.6056629040728	-15815.078084841787	7751.620805358323	7751.620805358323	296071.01079793926	0.0	274.210727697637	3092.1310789842187	2602.358424537294	1309.3155644888193	1991.7657624202945	1644.8563045001783	1894.1532035053083	3483.8148690877483	3365.850310051587	1959.3805089644325	3903.0457377689027	6108.23222601909	1574.9520461543555	1617.9817875552721	5244.26149868962	3156.729365131828	3357.7995176423005	3479.0412362369093	0.0	274.210727697637	3092.1310789842187	2602.358424537294	1309.3155644888193	1991.7657624202945	1644.8563045001783	1894.1532035053083	3483.8148690877483	3365.850310051587	1959.3805089644325	3903.0457377689027	6108.23222601909	1574.9520461543555	1617.9817875552721	5244.26149868962	3156.729365131828	3357.7995176423005	3479.0412362369093	6.460608111862675E-4	0.0	0.366	2.5551626041124065E-5	2.5551626041124018E-5	-15815.078084841787	0.0	-972.603639570014
15100000	-16806.570336192406	-992.0377121545611	-15814.532624037844	7743.887529779901	7743.887529779901	301075.6661580863	0.0	396.345646897687	3028.6324533696447	4027.9348316199366	1295.5123459020822	1734.0651327342948	1555.7813840781432	2080.611394407795	2196.217963641389	3019.2495082661853	1963.3055807037556	4590.694036785361	6224.893481887271	2021.1231758847282	1838.467696434272	4016.6938779552397	2991.7969763507094	3231.248948388804	3314.8447153935335	0.0	396.345646897687	3028.6324533696447	4027.9348316199366	1295.5123459020822	1734.0651327342948	1555.7813840781432	2080.611394407795	2196.217963641389	3019.2495082661853	1963.3055807037556	4590.694036785361	6224.893481887271	2021.1231758847282	1838.467696434272	4016.6938779552397	2991.7969763507094	3231.248948388804	3314.8447153935335	5.918027039895329E-4	0.0	0.366	2.5648746111228992E-5	2.5648746111228975E-5	-15814.532624037844	0.0	-973.980115170992
15110000	-16794.6523813687	-977.2956087496935	-15817.356772619009	6748.556102198472	6748.556102198472	271507.57343046396	0.0	286.56336281692376	2498.8213956593127	2861.4209549575485	1508.2498089746641	1585.0767902212117	1457.4471218971673	1902.4531428494042	2025.1241693737993	3672.872267119846	1673.1226102318378	3937.2410201511852	5548.159017644698	1825.874701929383	1532.9546007484876	3402.4621268330966	2579.8858260900297	3255.049980718668	3230.0267249546487	0.0	286.56336281692376	2498.8213956593127	2861.4209549575485	1508.2498089746641	1585.0767902212117	1457.4471218971673	1902.4531428494042	2025.1241693737993	3672.872267119846	1673.1226102318378	3937.2410201511852	5548.159017644698	1825.874701929383	1532.9546007484876	3402.4621268330966	2579.8858260900297	3255.049980718668	3230.0267249546487	6.673984815200265E-4	0.0	0.366	2.8262768718784298E-5	2.8262768718784294E-5	-15817.356772619009	0.0	-961.9876892238487
15120000	-16805.548076268078	-984.312222584056	-15821.235853684022	6943.39672939276	6943.39672939276	283586.6539818624	0.0	393.0099168360897	3322.0942795444716	2649.9133431115247	1019.40905021428	1244.3877696222364	1615.2250444921171	1708.2142630410196	3195.474068092051	3395.269572569227	1923.6033332227246	4275.8853582667325	5753.89331726582	2175.5942060365333	1541.4516911332553	3322.7700559818727	3108.2470509351415	3014.185090487862	3254.1523755782687	0.0	393.0099168360897	3322.0942795444716	2649.9133431115247	1019.40905021428	1244.3877696222364	1615.2250444921171	1708.2142630410196	3195.474068092051	3395.269572569227	1923.6033332227246	4275.8853582667325	5753.89331726582	2175.5942060365333	1541.4516911332553	3322.7700559818727	3108.2470509351415	3014.185090487862	3254.1523755782687	6.258137602966207E-4	0.0	0.366	2.6755131380700624E-5	2.675513138070062E-5	-15821.235853684022	0.0	-966.400243918262
15130000	-16817.69912428899	-986.5058582919793	-15831.19326599701	7215.1851445124	7215.1851445124	289225.80078100506	0.0	367.602841974759	2704.0477470924166	2966.9729264814596	1271.8565732931584	1701.5412530598032	1694.8284282006073	1676.7857011337603	3137.5402120386825	2841.5664711399295	1888.4957677243374	4151.687749736986	6297.139549639796	2107.764286224991	1555.4192901759513	3679.8808804587584	2871.947068721058	3079.0938178316933	3181.228917633125	0.0	367.602841974759	2704.0477470924166	2966.9729264814596	1271.8565732931584	1701.5412530598032	1694.8284282006073	1676.7857011337603	3137.5402120386825	2841.5664711399295	1888.4957677243374	4151.687749736986	6297.139549639796	2107.764286224991	1555.4192901759513	3679.8808804587584	2871.947068721058	3079.0938178316933	3181.228917633125	6.937413400367084E-4	0.0	0.366	2.696015888477422E-5	2.696015888477419E-5	-15831.19326599701	0.0	-969.4744675007493
15140000	-16808.460757315	-980.877391618731	-15827.583365696266	6746.097558690044	6746.097558690044	279212.80551671033	0.0	236.22865835556792	3211.6406583721996	2534.5814324230573	1762.6148400643094	1565.3777979175907	1440.118985868589	1507.5861718701321	2207.0414219548998	3315.009179148688	1969.3499981949938	3937.0591724902592	5855.992368819335	1656.715791612063	1563.585515381171	3619.3886808906495	3134.6488540187756	3193.910253531932	3086.7043570708915	0.0	236.22865835556792	3211.6406583721996	2534.5814324230573	1762.6148400643094	1565.3777979175907	1440.118985868589	1507.5861718701321	2207.0414219548998	3315.009179148688	1969.3499981949938	3937.0591724902592	5855.992368819335	1656.715791612063	1563.585515381171	3619.3886808906495	3134.6488540187756	3193.910253531932	3086.7043570708915	6.981717481793548E-4	0.0	0.366	2.8074881628778546E-5	2.8074881628778516E-5	-15827.583365696266	0.0	-965.4701256828677
15150000	-16806.807673091986	-998.7077272612266	-15808.099945830758	7813.7066376893645	7813.7066376893645	316305.54905052204	0.0	337.75905686654886	3400.713412413189	3348.261703700122	1749.8106222118124	1923.887716528758	1577.9636638826569	2155.249512051872	3676.541611801846	4143.813217301862	2164.1021267755104	4365.238758879755	6583.93308415139	2188.0401306734047	1801.3429907498469	3548.6821015446953	3672.044749644119	3092.9594096332617	3532.233475849317	0.0	337.75905686654886	3400.713412413189	3348.261703700122	1749.8106222118124	1923.887716528758	1577.9636638826569	2155.249512051872	3676.541611801846	4143.813217301862	2164.1021267755104	4365.238758879755	6583.93308415139	2188.0401306734047	1801.3429907498469	3548.6821015446953	3672.044749644119	3092.9594096332617	3532.233475849317	6.535117673091882E-4	0.0	0.366	2.387541175664996E-5	2.387541175664996E-5	-15808.099945830758	0.0	-979.863570255096
15160000	-16807.4811165754	-972.9874745402938	-15834.493642035108	6542.566847912109	6542.566847912109	262254.90924474364	0.0	744.5469671630948	2417.755306682181	2309.5593773797245	1364.0568711542362	1487.3505510664352	1510.790822180821	1587.9689966108901	2345.2749451399995	2960.98996346305	1736.0655576698452	3704.2170268928962	5242.934751241005	1870.2054961729061	1321.9016166627177	3361.9368951360343	2652.125364248843	3110.0617828606564	3303.9267087448793	0.0	744.5469671630948	2417.755306682181	2309.5593773797245	1364.0568711542362	1487.3505510664352	1510.790822180821	1587.9689966108901	2345.2749451399995	2960.98996346305	1736.0655576698452	3704.2170268928962	5242.934751241005	1870.2054961729061	1321.9016166627177	3361.9368951360343	2652.125364248843	3110.0617828606564	3303.9267087448793	7.267008582842635E-4	0.0	0.366	2.8472714762854933E-5	2.847271476285496E-5	-15834.493642035108	0.0	-957.5733297439239
15170000	-16791.69417944237	-983.4242986215006	-15808.269880820868	6869.325153060754	6869.325153060754	286128.47746494313	0.0	98.05282016309229	2543.840212072494	2990.1356866531214	1052.9886638545397	1574.51270876094	1819.0231912448726	2064.0359066148076	3043.893110495608	3047.768374790132	2008.0840755023837	4315.060263980969	5914.0140554538775	1970.4793657149949	1687.9518831769242	3284.936343357629	3321.6940933465967	3198.6869459826394	3538.6281309277733	0.0	98.05282016309229	2543.840212072494	2990.1356866531214	1052.9886638545397	1574.51270876094	1819.0231912448726	2064.0359066148076	3043.893110495608	3047.768374790132	2008.0840755023837	4315.060263980969	5914.0140554538775	1970.4793657149949	1687.9518831769242	3284.936343357629	3321.6940933465967	3198.6869459826394	3538.6281309277733	7.046960683979918E-4	0.0	0.366	2.6718590677098278E-5	2.671859067709826E-5	-15808.269880820868	0.0	-967.7929581953036
15180000	-16822.82980867337	-991.0545990659272	-15831.775209607444	7414.838529990862	7414.838529990862	304982.5526984986	0.0	672.4332264862219	3477.9315775452023	3283.8823134083514	1734.726506217646	1604.0194064112482	1711.6678020109541	2099.2950778373915	3371.8975892863014	3414.3983268490197	1994.8153921829196	4382.428772509294	6167.119951061131	1987.5116183480807	1720.7191840959536	4079.6970727961098	2996.498700009938	3321.493984790344	3351.9890795773917	0.0	672.4332264862219	3477.9315775452023	3283.8823134083514	1734.726506217646	1604.0194064112482	1711.6678020109541	2099.2950778373915	3371.8975892863014	3414.3983268490197	1994.8153921829196	4382.428772509294	6167.119951061131	1987.5116183480807	1720.7191840959536	4079.6970727961098	2996.498700009938	3321.493984790344	3351.9890795773917	6.517160063557268E-4	0.0	0.366	2.561197576948907E-5	2.561197576948904E-5	-15831.775209607444	0.0	-974.179365114476
