# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 24 22:22:19 AEST 2020 [seed=1595593337837]
# -threads 8 xml/biphone_binary_CMHR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
100000	-16367.528000043123	-2145.3621019255356	-14222.165898117588	5274.086857597671	5274.086857597671	184858.80435199247	0.0	890.098009137705	1427.1256789440652	1369.2572250796668	543.5179541280173	2744.082238566152	2660.022867608588	1424.8347382873076	3562.1786932750138	1102.460624002978	2718.520230029724	3054.3538273620434	2925.3699915082475	1858.0164328391525	2183.7703509465655	1019.5097115849572	2389.5328600363887	3814.828438945314	1088.5884984504085	0.0	890.098009137705	1427.1256789440652	1369.2572250796668	543.5179541280173	2744.082238566152	2660.022867608588	1424.8347382873076	3562.1786932750138	1102.460624002978	2718.520230029724	3054.3538273620434	2925.3699915082475	1858.0164328391525	2183.7703509465655	1019.5097115849572	2389.5328600363887	3814.828438945314	1088.5884984504085	9.389406747669362E-4	0.0	0.366	0.0011295619534395266	0.14366245215503143	0.6163641279929664	0.38363587200703375	0.5	0.5	3.2067351162170745E-4	0.001827008041704899	8.81700325285443E-5	3.33782165203785	0.0322147702136514	-14222.165898117588	-1199.394378775646	-932.535727950929
110000	-16388.956542410226	-2149.7398378512526	-14239.216704558974	5528.452548682982	5528.452548682982	194962.39381361648	0.0	962.840323149812	1220.5409026004895	1559.1285454820072	818.5628863606868	1915.0309985964063	1920.3562334969263	1480.7485359761372	3906.194992735952	1146.1301669197712	3359.1529416102726	2438.4567273054	3015.9082592913346	2432.8039827591874	1722.1203136723166	751.3285187811108	2672.8098323594245	3867.598766232095	1823.3429139972704	0.0	962.840323149812	1220.5409026004895	1559.1285454820072	818.5628863606868	1915.0309985964063	1920.3562334969263	1480.7485359761372	3906.194992735952	1146.1301669197712	3359.1529416102726	2438.4567273054	3015.9082592913346	2432.8039827591874	1722.1203136723166	751.3285187811108	2672.8098323594245	3867.598766232095	1823.3429139972704	8.797365291708656E-4	0.0	0.366	5.454639512987902E-4	0.15451965533338974	0.6163641279929664	0.38363587200703375	0.5	0.5	2.62290661785165E-4	0.001300680302796294	8.118328420446028E-5	3.1548609266248944	0.13442099898402518	-14239.216704558974	-1199.394378775646	-937.102771229837
120000	-16355.898070775309	-2142.8428337043865	-14213.055237070923	5466.485190639054	5466.485190639054	182924.5074449725	0.0	593.5545802867612	1577.7710026296522	1073.561460085624	379.07627702231673	2743.6383918257757	1799.8737053993648	1459.0755704257078	2390.480738718877	1059.4828475461366	2645.336716010323	2768.7748066448457	2784.7524172679014	1707.4960058117376	1467.822786655006	760.9876733240372	2552.162958775817	3790.7205740002278	1390.6501751435374	0.0	593.5545802867612	1577.7710026296522	1073.561460085624	379.07627702231673	2743.6383918257757	1799.8737053993648	1459.0755704257078	2390.480738718877	1059.4828475461366	2645.336716010323	2768.7748066448457	2784.7524172679014	1707.4960058117376	1467.822786655006	760.9876733240372	2552.162958775817	3790.7205740002278	1390.6501751435374	0.0010429398396876806	0.0	0.366	7.318071837580305E-4	0.14761477653135316	0.6163641279929664	0.38363587200703375	0.5	0.5	2.4925395585831183E-4	0.001100617756061946	8.66081386035361E-5	2.979089799964197	0.09795392370528237	-14213.055237070923	-1199.394378775646	-930.4145329510885
130000	-16349.917444865292	-2133.3551589406193	-14216.562285924672	5019.421118880695	5019.421118880695	165502.4641740631	0.0	727.3343688075598	1075.7256370881253	971.5802884729416	867.3082093004213	2120.1063718693526	1622.8715980490656	1471.4213926045509	2639.6739048742074	793.7864767937835	2073.290486812257	1905.5475820219776	2605.009195518048	2043.781947321471	1236.538086068858	608.9647783122946	2285.895751532898	3281.482351617157	1370.642208104993	0.0	727.3343688075598	1075.7256370881253	971.5802884729416	867.3082093004213	2120.1063718693526	1622.8715980490656	1471.4213926045509	2639.6739048742074	793.7864767937835	2073.290486812257	1905.5475820219776	2605.009195518048	2043.781947321471	1236.538086068858	608.9647783122946	2285.895751532898	3281.482351617157	1370.642208104993	0.0012571174407866815	0.0	0.366	5.029909747190319E-4	0.1516892511669852	0.6163641279929664	0.38363587200703375	0.5	0.5	3.079375227355457E-4	0.0015246081730782388	9.532100324006184E-5	3.2194902839476462	0.0925799016595911	-14216.562285924672	-1199.394378775646	-920.6752901008376
140000	-16390.473015061136	-2172.7386496672557	-14217.73436539388	7007.773872744362	7007.773872744362	235335.74557364473	0.0	710.829217430195	1507.7317780696692	1400.6951827652672	741.2873339967516	3431.54598796862	2324.9899561291604	1700.8882738084885	2278.076294166376	990.7441052908099	2606.4979862578134	3453.7142183926135	3680.579498007979	2021.4863996949425	2027.389602333152	794.5136023666552	1890.0335601350002	4614.220038903848	1647.3227862335445	0.0	710.829217430195	1507.7317780696692	1400.6951827652672	741.2873339967516	3431.54598796862	2324.9899561291604	1700.8882738084885	2278.076294166376	990.7441052908099	2606.4979862578134	3453.7142183926135	3680.579498007979	2021.4863996949425	2027.389602333152	794.5136023666552	1890.0335601350002	4614.220038903848	1647.3227862335445	7.871195407175552E-4	0.0	0.366	9.387196890847404E-4	0.1586787881876939	0.6163641279929664	0.38363587200703375	0.5	0.5	2.0515983499525098E-4	8.661422786621608E-4	6.65925567801712E-5	2.9207872535021835	0.12887571314600332	-14217.73436539388	-1199.394378775646	-957.4809626789078
150000	-16368.64607609494	-2160.9319302332387	-14207.7141458617	5891.810262880955	5891.810262880955	216304.26085543234	0.0	1053.399685992307	1496.9930375785138	1284.5840927315785	1027.9423459692346	3182.9372107290033	2173.309576351845	1168.2965390442596	2236.050295756701	791.830175973661	2652.329072191458	2355.2169008826136	3397.3803271327843	1049.5082541943523	2415.5716141319185	1049.6766232619557	2011.6795094838803	4032.3206123127493	1094.801508444863	0.0	1053.399685992307	1496.9930375785138	1284.5840927315785	1027.9423459692346	3182.9372107290033	2173.309576351845	1168.2965390442596	2236.050295756701	791.830175973661	2652.329072191458	2355.2169008826136	3397.3803271327843	1049.5082541943523	2415.5716141319185	1049.6766232619557	2011.6795094838803	4032.3206123127493	1094.801508444863	7.316521795945304E-4	0.0	0.366	0.0011198386792570026	0.14858735188290342	0.6163641279929664	0.38363587200703375	0.5	0.5	2.2248997217062642E-4	9.46751150711704E-4	7.728397675358311E-5	2.8763652996452267	0.10849575887327756	-14207.7141458617	-1199.394378775646	-948.2499406962237
160000	-16287.392893067014	-2137.0386082545974	-14150.354284812416	4838.450886955452	4838.450886955452	176236.79454766333	0.0	839.4699946335003	1254.1383978815238	812.4613604022294	1083.8423990584474	2657.974743263374	1656.7932348897862	1048.423949741037	1932.7883458388792	761.2921981905839	2630.274655940283	2638.0848304298197	2850.726461895327	702.5836381529152	2081.910904872828	1170.902215471443	1799.7504108000924	3559.4255366321418	1416.5369568736255	0.0	839.4699946335003	1254.1383978815238	812.4613604022294	1083.8423990584474	2657.974743263374	1656.7932348897862	1048.423949741037	1932.7883458388792	761.2921981905839	2630.274655940283	2638.0848304298197	2850.726461895327	702.5836381529152	2081.910904872828	1170.902215471443	1799.7504108000924	3559.4255366321418	1416.5369568736255	9.458335144720646E-4	0.0	0.366	5.817452625070499E-4	0.15705517096693306	0.6163641279929664	0.38363587200703375	0.5	0.5	2.3000008775957872E-4	8.302403573985567E-4	8.996461674428227E-5	2.613123913128388	0.132416911996376	-14150.354284812416	-1199.394378775646	-924.2266897616516
170000	-16321.85174772286	-2132.758149663722	-14189.093598059137	4645.421237015218	4645.421237015218	168473.0185746457	0.0	893.4929143670864	952.998841367179	531.5892618832139	1104.993493890795	1761.9770894089643	1815.3446172074975	1180.6541007363237	1673.528128973853	594.1228863066082	2656.528276644269	2188.208311016787	2731.4407897165206	806.8335759771285	2389.7233063647	854.6112693904984	1359.2489958642632	3057.0735837778993	1725.0947573953663	0.0	893.4929143670864	952.998841367179	531.5892618832139	1104.993493890795	1761.9770894089643	1815.3446172074975	1180.6541007363237	1673.528128973853	594.1228863066082	2656.528276644269	2188.208311016787	2731.4407897165206	806.8335759771285	2389.7233063647	854.6112693904984	1359.2489958642632	3057.0735837778993	1725.0947573953663	9.708472630225114E-4	0.0	0.366	2.703769563398738E-4	0.1749541346094005	0.6163641279929664	0.38363587200703375	0.5	0.5	2.2085611778199224E-4	6.684842291556983E-4	9.395999695550563E-5	2.412426732261575	0.09004049679619881	-14189.093598059137	-1199.394378775646	-918.6788471974323
180000	-16347.256026754245	-2142.03940454841	-14205.216622205835	5654.658193622109	5654.658193622109	189436.5694715777	0.0	804.828814330992	1034.2988866886435	849.7258284807713	734.2147893096677	1856.1073123378721	1978.1412517852007	1304.6865344865105	2540.4524975234153	909.0533403217735	1840.5784584764776	2387.536562282484	3014.0263396474406	706.0518942626511	2411.2690393706102	1947.1086743245646	1615.545955600925	3373.5752845609277	2024.3648074181544	0.0	804.828814330992	1034.2988866886435	849.7258284807713	734.2147893096677	1856.1073123378721	1978.1412517852007	1304.6865344865105	2540.4524975234153	909.0533403217735	1840.5784584764776	2387.536562282484	3014.0263396474406	706.0518942626511	2411.2690393706102	1947.1086743245646	1615.545955600925	3373.5752845609277	2024.3648074181544	8.54223714491592E-4	0.0	0.366	3.577317449122723E-4	0.15712942371900737	0.6163641279929664	0.38363587200703375	0.5	0.5	1.7940747030682208E-4	4.97211040001608E-4	8.352403894369394E-5	2.2953421495811512	0.06664451819432837	-14205.216622205835	-1199.394378775646	-930.4117375805349
190000	-16326.628598983476	-2136.983411163678	-14189.645187819799	5094.053069613111	5094.053069613111	181847.58488961964	0.0	634.3259288935133	1515.941676446144	856.1643162554369	576.0760464066484	1951.9069429060821	1808.3161960319026	1140.2112954085774	1953.931435073107	1529.9948024090456	2063.334699746379	2288.452759411461	2871.148962459565	566.9853658437098	2198.0989466527967	982.2708201432165	1468.1641631134826	3497.049751381857	2156.4419833024454	0.0	634.3259288935133	1515.941676446144	856.1643162554369	576.0760464066484	1951.9069429060821	1808.3161960319026	1140.2112954085774	1953.931435073107	1529.9948024090456	2063.334699746379	2288.452759411461	2871.148962459565	566.9853658437098	2198.0989466527967	982.2708201432165	1468.1641631134826	3497.049751381857	2156.4419833024454	9.126756010644856E-4	0.0	0.366	0.001190914332395681	0.1500840634690031	0.6163641279929664	0.38363587200703375	0.5	0.5	1.7281097063914265E-4	4.441958563151327E-4	8.584850576676729E-5	2.103827981999508	0.001085693738876027	-14189.645187819799	-1199.394378775646	-924.9554028478103
