# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 19:00:45 BST 2019 [seed=666]
# -overwrite -seed 666 testConstantSize.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
17000	-3923.9320559232947	-76.33222724424115	-3847.5998286790536	65.56655606809053	1928.4334439319096	262.07407826134005	20.10747372857244	18.124720633289208	0.2896097636662412	0.222274815002111	0.25659800311524494	0.231517418216403	8.705921576657411E-4	8.705921576657406E-4	-3847.5998286790536	0.0	-72.51748053746603
18000	-3931.306218944582	-78.32883464954874	-3852.977384295033	82.27561215456912	1911.7243878454308	313.7775472177474	28.818554597388932	19.47154258584177	0.27278460305907853	0.2153782463812945	0.25053807531158756	0.2612990752480395	7.912229688451915E-4	7.912229688451915E-4	-3852.977384295033	0.0	-73.32649859112779
19000	-3928.8432680522524	-77.14392495723	-3851.6993430950224	83.67226368390789	1910.3277363160921	306.6909083659357	33.36133317858021	15.072109054694877	0.2844386006943314	0.20999389202951618	0.2463232512559559	0.25924425602019663	7.089575421665935E-4	7.089575421665934E-4	-3851.6993430950224	0.0	-72.27105179690331
20000	-3921.3479498969537	-75.02457503929035	-3846.323374857663	73.16144744631606	1920.838552553684	272.90648996156	28.688848707381993	17.297764528666175	0.285375314087585	0.21486822652064794	0.24768614258011748	0.2520703168116497	7.77257749124249E-4	7.77257749124249E-4	-3846.323374857663	0.0	-70.27572860537104
21000	-3929.070575321013	-79.30434502778174	-3849.7662302932313	77.25931350402679	1916.7406864959733	306.34405835236953	27.47635354207717	14.246439627235443	0.2854526941196249	0.19999004020819833	0.25323940013247853	0.26131786553969827	7.348389820751422E-4	7.348389820751423E-4	-3849.7662302932313	0.0	-75.18423357985482
22000	-3941.480532924607	-80.25615624573916	-3861.224376678868	78.92172784696491	1915.0782721530352	304.9455350603786	44.786162502271665	20.415993021269767	0.28758047760358607	0.2152617784011587	0.25869494030763124	0.23846280368762385	6.657647501865456E-4	6.657647501865457E-4	-3861.224376678868	0.0	-73.68435146961134
23000	-3934.1582794122887	-82.27717058504467	-3851.881108827244	78.71693028389846	1915.2830697161016	318.8716611463921	52.01584694579898	17.455516593684028	0.29694900888889186	0.19237864408927205	0.2642857160222024	0.24638663099963354	7.148285357470383E-4	7.148285357470382E-4	-3851.881108827244	0.0	-75.4380487870372
24000	-3927.6899694605313	-76.02684842008466	-3851.6631210404466	71.1057597645757	1922.8942402354244	271.1538063796545	19.383225543138106	16.143327429333546	0.274386910139833	0.20861566043767743	0.26393732004929576	0.2530601093731937	9.064306379762718E-4	9.064306379762716E-4	-3851.6631210404466	0.0	-72.55281178053008
25000	-3933.038279732336	-83.8415150941104	-3849.1967646382254	83.73091705153924	1910.2690829484607	356.6428241546058	40.6347972094258	19.28864169404933	0.2967434033742752	0.20304748361304875	0.2585727512612442	0.2416363617514319	6.194214038761164E-4	6.194214038761164E-4	-3849.1967646382254	0.0	-77.86036234074989
26000	-3929.9454157554223	-79.55030209926927	-3850.395113656153	72.01988643934516	1921.980113560655	298.00904159797017	28.1429413452601	19.186317146867925	0.27660420189848206	0.20867743259099997	0.25966383895930734	0.2550545265512106	6.669288356198661E-4	6.669288356198664E-4	-3850.395113656153	0.0	-74.76988516037929
